Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1442-1,1442-01-01,,15th century,1440s,29.690728,57.807438,desert of Kerman with city ruins,Kerman Province,Iran,Western Asia,Asia,"In the middle of the desert of Kerman, he arrived at the ruins of a city, the wall of which and four bazaars could still be distinguished; but no inhabitant was to be found in all the country round.
 
  (I passed in the desert near ancient dwellings, none of which presented signs of anything but ruin and decay.) 
 
  This desert extends to the frontier of Mekran and Seistan, as far as the environs of the city of Damghan, and all this space presents formidable dangers to travellers.",45021,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1442-1-30,1442-02-16,,15th century,1440s,30.422509,57.097208,City of Kerman,Kerman,Iran,Western Asia,Asia,"On the eighteenth day of Ramazan (Jan. 30th) I reached the city of Kerman ; it is a pleasant place, as well as one of great importance. The darogah (governor), the Emir HadjiMohamed-Kaiaschirin, being then absent, I was compelled to sojourn in this city until the day of the feast. The illustrious Emir Borhan-Eddin-Seid-Khalil-Allah, son of the Emir Naim-Eddin-Seid-Nimet-Allah, who was the most distinguished personage of the city of Kerman, and even of the whole world, returned at this time from the countries of Hindoostan. He loaded me with attentions and proofs of his kindness.",5,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1442-2,1442-02-01,,15th century,1440s,24.903082,58.725808,"Sea of Oman, and at Bender-Ormuz",Gulf of Oman,,Western Asia; Arabia,Asia,"On the fifth day of Schewal (February 16th) I quitted the city of Kerman. On my road I met the Emir Hadji-Mohammed, on his return from an expedition which he had made into the province of Benboul. Continuing my journey, I arrived towards the middle of the month at the shore of the Sea of Oman, and at Bender-Ormuz. The prince of Ormuz, Melik-Fakhr-Eddin-Touranschah, having placed a vessel at my disposal, I went on board of it, and made my entry into the city of Ormuz. I had had assigned to me a house, with everything that I could require, and I was admitted to an audience of the prince.",5,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1442-2,1442-05-01,,15th century,1440s,27.06263,56.46017,Ormuz,Hormuz,Iran,Western Asia,Asia,"Ormuz, which is also called Djerrun, is a port situated in the middle of the sea, and which has not its equal on the surface of the globe. The merchants of seven climates, from Egypt, Syria, the country of Roum (Anatolia), Azerbijan, IrakArabi, and Irak-Adjemi, the provinces of Fars, Khorassan, Ma-wara-amahar, Turkistan, the kingdom of Deschti-Kaptchack, the countries inhabited by the Kalmucks, the whole of the kingdoms of Tchin, and Matchin, and the city of Khanbâlik (Pekin), all make their way to this port; the inhabitants of the sea coasts arrive here from the countries of Tchin, Java, Bengal, the cities of Zirbad, Tenasserim, Sokotora, Schahrinou, the islands of Diwah-Mahall (the Maldives), the countries of Malabar, Abyssinia, Zanguebar, the ports of Bidjanagar, Kalbergah, Gudjarat, Kanbaït (Cambay), the coasts of Arabia, which extend as far as Aden, Jiddah, and Yembo ; they bring hither those rare and precious articles which the sun, the moon, and the rains have combined to bring to perfection, and which are capable of being transported by sea. Travellers from all countries resort hither, and, in exchange for the commodities which they bring, they can without trouble or difficulty obtain all that they desire. Bargains are made either by money or by exchange.
 
  For all objects, with the exception of gold and silver, a tenth of their value is paid by way of duty.
 
  Persons of all religions, and even idolators, are found in great numbers in this city, and no injustice is permitted towards any person whatever. This city is also named Dâralaman (the abode of security). The inhabitants unite the flattering character of the people of Irak with the profound cunning of the Indians.
 
  I sojourned in this place for the space of two months; and the governors sought all kinds of pretexts to detain me; so that the favorable time for departing by sea, that is to say the beginning or middle of the monsoon, was allowed to pass, and we came to the end of the monsoon, which is the season when tempests and attacks from pirates are to be dreaded. Then they gave me permission to depart. As the men and horses could not all be contained in the same vessel, they were distributed among several ships. The sails were hoisted, and we commenced our voyage.",45053,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1442-05,1442,,15th century,1440s,23.81063,58.34113,Muscat,Muscat,Oman,Western Asia; Arabia,Asia,"As soon as I caught the smell of the vessel, and all the terrors of the sea presented themselves before me, I fell into so deep a swoon, that for three days respiration alone indicated that life remained within me. When I came a little to myself, the merchants, who were my intimate friends, cried with one voice that the time for navigation was passed, and that every one who put to sea at this season was alone responsible for his death, since he voluntarily placed himself in peril. All, with one accord, having sacrificed the sum which they had paid for freight in the ships, abandoned their project, and after some difficulties disembarked at the port of Muscat.",8,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1442,1442,,15th century,1440s,15.33562,69.78887,Voyage from Kalahat to Calicut,Arabian Sea,,Western Asia; Arabia,Asia,"Before long a favourable breeze began to blow, and the vessel floated over the surface of the water with the rapidity of the wind [translator cut description of voyage].
 
  During several days the realization of this sentence, “ They have progressed by the help of a favorable wind,” carried joy and gladness to the heart of my companions; and this maxim: “ Hast thou not seen the ships ride over the sea by the goodness of God,” opened the gate of joy in the hearts of my friends. Finally, after a voyage of eighteen days and as many nights, by the aid of the supreme king and ruler, we cast anchor in the port of Calicut; and the detail of the marvels of this country, and the narrative of the voyage of his humble slave, will here be found described to the life.",13,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1442-11,1443-04-01,,15th century,1440s,11.26523,75.78402,Calicut,Kozhikode,India,Southern Asia,Asia,"Calicut is a perfectly secure harbour, which, like that of Ormuz, brings together merchants from every city and from every country; in it are to be found abundance of precious articles brought thither from maritime countries, and especially from Abyssinia, Zirbad, and Zanguebar; from time to time ships arrive there from the shores of the House of God [Mecca] and other parts of the Hedjaz, and abide at will, for a greater or longer space, in this harbour; the town is inhabited by Infidels, and situated on a hostile shore. (It contains a considerable number of Mussulmauns, who are constant residents, and have built two mosques, in which they meet every Friday to offer up prayer. They have one Kadi, a priest, and for the most part they belong to the sect of Schafei. Security and justice are so firmly established in this city, that the most wealthy merchants bring thither from maritime countries considerable cargoes, which they unload, and unhesitatingly send into the markets and the bazaars, without thinking in the meantime of any necessity of checking the account or of keeping watch over the goods.
 
  The officers of the custom-house take upon themselves the charge of looking after the merchandise, over which they keep watch day and night. When a sale is effected, they levy a duty on the goods of one-fortieth part; if they are not sold, they make no charge on them whatsoever.
 
  In other ports a strange practice is adopted. When a vessel sets sail for a certain point, and suddenly is driven by a decree of Divine Providence into another roadstead, the inhabitants, under the pretext that the wind has driven it there, plunder the ship. But at Calicut, every ship, whatever place it may come from, or wherever it may be bound, when it puts into this port is treated like other vessels, and has no trouble of any kind to put up with.
 
  His majesty, the happy Khakan, had sent as a present for the prince of Calicut, some horses, some pelisses, some robes of cloth of gold, and some caps, similar to those distributed at the time of the Nauruz;. and the motive which had induced him to do so was as follows. Some ambassadors deputed by this monarch, returning from Bengal in company with the ambassadors of the latter country, having been obliged to put into Calicut, the description which they gave of the greatness and power of the Khakan reached the ears of the sovereign of that city. He learned from authentic testimony, that the kings of all the habitable globe, of the East as well as of the West, of the land and of the sea, had sent rival ambassadors and messages, showing that they regarded the august, court of that monarch as the Kiblah, to which they should pay their homage, -as the Kabah, the object to which they should direct their aspirations.
 
 [Text goes on to describe a series of cultural and social considerations in Calicut.]",13-15,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1443-4,1443-04-01,,15th century,1440s,11.26523,75.78402,From Calicut,Kozhikode,India,Southern Asia,Asia,"My reflections led me to the hope, that perhaps the morning beam of happiness was about to dawn upon me from the bosom of Divine goodness, and that the night of chagrin and weariness had nearly reached its close. Having communicated my dream to some skilful men, I asked them its interpretation. On a sudden a man arrived, who brought me the intelligence that the king of Bidjanagar, who holds a powerful empire and a mighty dominion under his sway, had sent to the Sameri a delegate charged with a letter, in which he desired that he would send on to him the ambassador of his majesty, the happy Khakan. Although the Sameri is not subject to the laws of the king of Bidjanagar, he nevertheless pays him respect, and stands extremely in fear of him ; since, if what is said is true, this latter prince has in his dominions three hundred ports, each of which is equal to Calicut, and on terra firma his territories comprise a space of three months' journey. The coast, which includes Calicut with some other neighbouring ports, and which extends as far as Kabel, a place situated opposite the Island of Serendib, otherwise called Ceylon, bears the general name of Melibar. From Calicut are vessels continually sailing for Mecca, which are for the most part laden with pepper.
 
  The inhabitants of Calicut are adventurous sailors : they are known by the name of Tchini-betchegan (son of the Chinese), and pirates do not dare to attack the vessels of Calicut. In this harbour one may find everything that can be desired. One thing alone is forbidden, namely, to kill a cow, or to eat its flesh: whosoever should be discovered slaughtering or eating one of these animals, would be inimediately punished with death. So respected is the cow in these parts, that the inhabitants take its dung when dry and rub their foreheads with it.
 
  The humble author of this narrative having received his audience of dismissal, departed from Calicut by sea. After having passed the port of Bendinaneh, situated on the coast of Melibar, reached the port of Mangalor, which forms the frontier of the kingdom of Bidjanagar.",19-20,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1443-4,1443-04-01,,15th century,1440s,12.91662,74.85343,Mangalor,Mangaluru,India,Southern Asia,Asia,"The humble author of this narrative having received his audience of dismissal, departed from Calicut by sea. After having passed the port of Bendinaneh, situated on the coast of Melibar, reached the port of Mangalor, which forms the frontier of the kingdom of Bidjanagar.
 
 After staying there two or three days he continued his route by land. At a distance of three parasangs from Mangalor he saw a temple of idols, which has not its equal in the universe. It is an equilateral square, of about ten ghez in length, ten in breadth, and five in height. It is entirely formed of cast bronze. It has four estrades. Upon that in the front stands a human figure, of great size, made of gold ; its eyes are formed of two rubies, placed so artistically that the statue seems to look at you. The whole is worked with wonderful delicacy and perfection. After passing this temple, I came each day to some city or populous town.
 
  At length I came to a mountain whose summit reached the skies, and the foot of which was covered with so great a quantity of trees and thorny underwood, that the rays of the sun could never penetrate the obscurity, nor could the beneficial rains at any time reach the soil to moisten it.",20,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Abd al-Razzaq Samarqandi,"Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442.","Abd-Er-Razzak, ""Narrative of the Voyage of Abd-er-Razzak, Ambassador from Shah Rukh, A.H. 845, A.D. 1442,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857)",London,Printed for the Hakluyt society,1857,Male,Afghanistan,Persian,English,1443-4,1443-04-01,,15th century,1440s,13.15017,75.86073,Belour,Belur,India,Southern Asia,Asia,"At length I came to a mountain whose summit reached the skies, and the foot of which was covered with so great a quantity of trees and thorny underwood, that the rays of the sun could never penetrate the obscurity, nor could the beneficial rains at any time reach the soil to moisten it.
 
 Having left this mountain and this forest behind me, I reached a town called Belour, the houses of which were like palaces, and its women reminded one of the beauty of the Houris. In it there is a temple of idols, so lofty as to be visible at a distance of many parasangs. It would be impossible to describe such a building without being suspected of exaggeration. I can only give a general idea of it. In the middle of the town is an open space, of about ten ghez in extent, and which, if one may use a comparison, rivals the garden of Irem. The roses of all kinds are as numerous as the leaves of the trees, on the borders of the streams rise a great number of cypresses, whose towering height is reflected in the waters, plantain trees shoot out their tufted branches, and it would seem as if heaven itself looks down upon this beautiful spot with pleasure and admiration. All the ground of this parterre, all the environs of this place of delight, are paved with polished stones, joined together with so much delicacy and skill, that they seem to form but one single slab of stone, and look like a fragment of the sky which might be supposed to have been brought down to the earth. In the middle of this platform rises a building composed of a cupola formed of blue stones, and terminating in a point. The stone presents three rows of figures.
 
  What can I say of this cupola, which, as regards the delicacy of the work, offered to the world an idea of paradise ? Its vault, rounded and lofty, resembled a new moon ; its elevation vied with that of the heavens.
 
  So great a number of pictures and figures had been drawn by the pen and the pencil, that it would be impossible, in the space of a month, to sketch it all upon damask or taffeta.
 
  From the bottom of the building to the top there is not a hand's breadth to be found uncovered with paintings, after the manner of the Franks and the people of Khata (China). The temple consists of a structure of four estrades; this structure is thirty ghez in length, twenty in breadth, fifty in height.
  
 
 Since that its head shot up towards the skies, that vault, previously without stones in it, now seems formed of them.
 
  Since that its stones have rubbed themselves against the sun, the gold of that orb has taken a purer alloy.
 
  All the other buildings, great and small, are covered with paintings and sculptures of extreme delicacy. In this temple morning and evening, after devotional exercises, which have nothing in them which can be agreeable to God, they play on musical instruments, perform concerts, and give feasts. All the inhabitants of the town have rents and pensions assigned to them on this temple. The most distant cities send hither their alms. In the opinion of these men without religion, this place is the Kabah of the Guères.",20-22,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
