Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,28.6517178,77.2219388,Delhi,Delhi,India,Southern Asia,Asia,"In the end of December, 1831, I had the honour to obtain the final sanction of the Governor-general of India to proceed to Central Asia. I received my passports from his lordship at Delhi on the 23rd of that month, and proceeded by express to Lodiana on the frontiers, where I had the pleasure of meeting my fellow-traveller Mr. James Gerard, of the Bengal army. We here experienced many acts of kindness and assistance from Capt. C. M. Wade, the political agent, whose good offices I have to acknowledge with gratitude. The society of this, the most remote station of British India, also evinced an interest in our welfare which was truly gratifying. We took leave of it at a convivial party given for the occasion on the 2d of January, and on the following day bade a long farewell to such scenes, and plunged into the solitude of an Indian desert.We took the route that leads along the left bank of the Sutlege, till that river is joined by the Beas or Hyphasis.",2,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_1
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01,1832-03-01,,19th century,1830s,28.12791,76.67864,Lodiana,Ludhiana,India,Southern Asia,Asia,"In the upper parts of the Sutlege, near Lodiana, the inhabitants are exclusively agricultural; but, after that river has been joined by the Beas or Hyphasis, the habits of the people are predatory. There they are known under the various denominations of Dogur, Julmairee, Salairee, &c. and by the general designation of Raat, and live in a perpetual state of opposition to one another. In the cultivated parts this country has the appearance of an extensive meadow. It is entirely free from underwood, and some of the wheat fields extend for miles without a hedge. The grain is raised without irrigation, though the water is but twenty-six feet from the surface. There are no trees except in the vicinity of the villages; and such is the scarcity of fuel, that cow dung is universally used in its stead. This is dried and stacked. The fire formed of it throws out a most powerful heat, which leaves the people no cause to regret the want of other fuel. The country below that stripe which fringes the river is known by the name of Malwa. It has a dry climate and soil, and produces gram and barley, with bajree and mut, which are exported to the Punjab.",44687,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_2
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,January 1832,1832-03-01,,19th century,1830s,30.2930623,76.095289,Manja,Manja,India,Southern Asia,Asia,"On the following morning we commenced our march across the “Doab,” between the Beas and Ravee (Hydraotes), which has the name of Manja. It is the highest portion of the Punjab east of the Hydaspes; a fact which is established by the eastern bank of the one river as well as the western one of the other being both elevated. The left bank of the Ravee is about forty feet high, and so is the right bank of the Beas. The wells are also much deeper than south of the Sutlege; here they exceed sixty feet, there they are not twenty-six. The soil is a hard, indurated clay, sometimes gravelly, producing thorny shrubs and brambles, called by the natives jund, khureel, and baboolCultivation depends upon the rain, and irrigation is by no means general. Herds of neelgaee roam over it. Ancient canals.In former years the Mogul emperors, seeing the comparative sterility of this tract, fertilised it by canals from the Ravee, which connected that river with the Beas. The remains of one of them may be yet traced at the town of Puttee, running down at right angles upon the Beas, though it has been choked up for the last 150 years. The district of Manja is celebrated for the bravery of its soldiers, and the breed of its horses, which would always entitle it to the patronage of a sovereign.",10,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_3
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,31.5204,743587,Lahore,Lahore,Pakistan,Southern Asia,Asia,"On the morning of the 17th we entered the imperial city of Lahore, which has once rivalled Delhi. We wound among its ruins; and, when yet three miles distant, were met by Monsieur Allard, and two natives of rank sent to welcome us. The Chevalier came in his carriage drawn by four mules, into which the Dr. and myself stepped, and drove to his hospitable mansion, where we alighted and took up our quarters. After the ceremony of receiving various friendly and formal messages from Runjeet, the native part of the deputation withdrew, leaving a profusion of the fruits of Cashmeer and Cabool as an earnest of the condescension of their master. In the evening, a purse of 1100 rupees was sent to us by the Maharaja; nor was it possible to refuse the money without giving offence.",16-33,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_4
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,34.4931,71.7178,Kote,Kot,Pakistan,Southern Asia,Asia,"Half-way across to the Chenab, we halted in a garden at Kote, the residence of one of Runjeet Sing’s colonels. It was an agreeable halting-place. It was not 100 yards square, but well stored with fruit-trees and flowers: most of the former were now in blossom, and an enumeration of them would give a favourable idea of this climate. They consisted of the peach, apricot, greengage, fig, pomegranate, quince, orange sweet and bitter, lime, lemon, guava, grape, mango, jamboo, bair, date, cardamom, almond, and the apple; with seven or eight other kinds,[42] of which I can only give the native names,—the gooler, sohaujna, goolcheen, umltass, bell, bussoora. The walks of the garden were lined with beautiful cypresses and weeping willows; and in the flower-beds were the narcissus, and rose-bushes of the “sidburg,” or an hundred leaves. Most of the trees and flowers are indigenous, but many had been introduced from Cashmeer; and a native of that valley was the gardener. The proprietor of this pleasant spot was absent: his villa was in disorder, and much neglected, since he is suffering from the avarice of his ruler. His son, a sharp boy of nine years old, paid us a visit, and repeated some lines of a Persian poet which he was reading at school. Little fellow, he is growing up to witness scenes of blood, at all events of alteration, in this land!",42,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_5
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,32.32724,73.779465,Ramnuggur,Rasul Nagar,Pakistan,Southern Asia,Asia,"We reached the banks of the Chenab, or Acesines, at Ramnuggur, a small town, the favourite resort of Runjeet Sing, and where he has often mustered his troops when proceeding on his campaigns beyond the Indus. It stands on a spacious plain for the exercise of his troops. The name of the place has been altered from Russool to Ramnuggur since the Mahommedan supremacy has been overthrown. The one name signifies the city of the prophet, the other the city of a god; nor is it remarkable that the name of the Deity should prevail.The “Doab,” between the Ravee and Chenab, is a little better cultivated, and more fertile, than that which we had passed. Its soil is sandy, and in its centre the wells are but twenty-five feet deep. Their temperature averaged about 70° of Fahrenheit. In the morning, vapour or clouds of smoke ascended from them, till the atmosphere was sufficiently heated to hide it. At this season the climate is cold and bleak, frequently rainy, and always cloudy. The wind generally blows from the north. Sugar.The sugar-cane thrives here; and they were now expressing its juice, which is extracted by placing two wooden rollers horizontally on the top of each other, and setting them in motion by a pair of oxen.",44-45,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_6
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,32.5884,73.0435,Pind Dadan Khan,Pind Dadan Khan,Pakistan,Southern Asia,Asia,"At Pind Dadun Khan we were met and welcomed by the authorities on the banks of the river. They presented us with a purse of 500 rupees, and some jars of sweetmeats. Pind Dadun Khan is the capital of a small district, and has a population of about 6000 souls. It consists of three small towns situated close to each other, and about four miles from the river. Its houses are like others in the Punjab; but their frameworks are made of cedar (deodar), which is floated down with the inundations of the river from the Hemilaya. The durability and fragrance of this wood recommend it for building of every description. We saw a cedar-tree lying on the banks of the Hydaspes, with a circumference of thirteen feet. On this river the Macedonians constructed the fleet by which they navigated the Indus; and it is a remarkable fact, that in none of the other Punjab rivers are such trees floated down, nor do there exist any where else such facilities for the construction of vessels",50-52,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_7
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,32.6305,73.011,Keora,Khewra,Pakistan,Southern Asia,Asia,"At the village of Keora, five miles from Pind Dadun Khan, we examined one of the principal mines. It was situated near the outside of the range, in a valley, which was cut by a rivulet of salt water. It opened into the hill through the red clayey formation above mentioned, at a distance of about 200 feet from the base. We were conducted by a narrow gallery, sufficient to admit of one person passing another, for about 350 yards, of which fifty may be taken as actual descent. Here we entered a cavern of irregular dimensions, and about 100 feet high, excavated entirely in salt. The mineral is deposited in strata of the utmost regularity, occurring, like the external rock, in vertical layers. Some of them, however, subtend an angle of from twenty to thirty degrees, and have the same appearance as bricks that have been placed upon one another. None of the layers exceed a foot and a half in thickness, and each is distinctly separated from its neighbour by a deposit of argillaceous earth about an eighth of an inch thick, which lies like mortar between the strata. Some of the salt occurs in hexagonal crystals, but oftener in masses: the whole of it is tinged with red, varying from the slightest shade to the deepest hue; when pounded, the salt is white. The temperature of the cavern exceeded that of the open air by twenty degrees, where the thermometer stood at sixty-four (in February). The natives state that these mines are much colder in the hot season; but this only shows that they undergo little or no alteration, while the heat outside alters with the season. There was no moist feeling, which one might have expected in a salt mine",53,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_8
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,32.648,74.2121,Julalpoor,Jalalpur,Pakistan,Southern Asia,Asia,"We marched up the right bank of the Jelum to Julalpoor for about thirty miles by a tract of rich land and great fertility. The husbandmen were mowing down the green wheat for the use of their cattle. The salt range runs parallel with the river, and presents a perfect contrast of desolation to its fertile valley; for it has no vegetation. Villages.Many villages, however, are perched upon the outer hills, which rise over one another in a picturesque manner. Nor are they more remarkable for their romantic situation than their comfort. We halted at one of them, which was neat and well kept, and lodged in a room which was about sixteen feet long, and half that breadth. It had cupboards and shelves, while the magazines for grain, which are formed[57] of earth, answered the purposes of tables. The whole buildings, both inside and out, are plastered with a grey-coloured earth, which gives them a cleanly appearance; and since these villages stand on the declivity of the hills, the rain washes down all that is disagreeable with it.",57,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_9
Alexander Burnes,Travels into Bokhara,"Alexander Burnes . Travels into Bokhara, (London: John Murray, 1834), Retrieved https://www.gutenberg.org/files/58074/58074-h/58074-h.htm",London,John Murray,1834,Male,Scotland,English,,1832-01-03,1832-03-01,,19th century,1830s,32.9645,73.5745,Fort Rotas,Rohtas Fort,India,Southern Asia,Asia,"On the 1st of March we reached the celebrated fort of Rotas, considered to be one of the great bulwarks between Tartary and India. As we wound through the dismal defiles, and might be ruminating on the various expeditions which had traversed this very road, the fort burst upon our view like the scene of a magic lantern. It had been hidden from us by towering precipices. We approached its ponderous walls by a straggling path which time had chiselled in the rock, and soon reached its lofty gateway. The black hoary aspect of the fort, and the arid sterility of the surrounding rocks, inspired us with no favourable idea of the neighbourhood, which has been the resort of many a desperate band. We had omitted to provide ourselves with Runjeet Sing’s order for admission into this fortress; but we proceeded to the gateway, as a matter of course, and after a parley the doors were thrown open. The official permission arrived from Lahore on the following day.",62,,,Project Gutenberg,https://www.gutenberg.org/files/58074/58074-h/58074-h.htm#Page_10
