Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,31.3661107,29.9760638,Pompey's Pillar,Serapeum of Alexandria,Egypt,Northern Africa,Africa,"Pompey's Pillar is a shaft of marble, surmounted with a Corinthian capital, and resting on solid masonry composed of ancient ruins and Egyptian fragments. The name it bears, and which has been given to it by modern travellers, has no connexion with its origin. Indeed, if we may credit Greek inscription, this monument is no older than the time of Dioclesian. It has a slight inclination to the South. The capital and base have never been finished. I did not measure its height; but it is loftier by two-thirds than the palm-trees around it. Cleopatra's Needles, of which one (as I before re- marked) has fallen, are obelisks of red granite, having three columns of hieroglyphics on each side. [...] The antique thimbles, which served for the base of these obelisks, still re- main; they rest on socles of three steps, are of Greco- Romanic construction, and confirm the architectural date of the received tradition, which affirms that their second erection occurred about forty years before CHRIST.",27-28,,,Hathi Trust,
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,31.113963,30.191544,Road from Alexandria to Damanhour,Road from Alexandria to Damanhour,Egypt,Northern Africa,Africa,"The road from Alexandria to Damanhour is remarkable for nothing but its sterility. We waded through a sea of sand, in which our attendants and asses sank knee-deep. Occasionally we were blind- ed by gusts of hot wind mixed with dust; and we knew, from the momentary oppression at our lungs, as it passed, that we were encountering the burning breath of the Desert. Here and there, on either hand, were circular villages, built on the rising ground, which, during the overflow of the Nile, be- come islands. The houses are of a conical form, built of brick and earth, and pierced with small, square holes, designed to admit just as much light as is strictly necessary, with just as little heat as possible. At intervals, too, we passed several isolated tombs of hermits and dervises, each shaded by a palm tree; that consecrated friend of the sepulchre, around the tops of which clouds of shrieking hawks flew at our approach.",39,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,31.088309,30.475414,Road from Damanhour to Rosetta,Road from Damanhour to Rosetta,Egypt,Northern Africa,Africa,"... at five hundred paces distance from Damanhour, were in the midst of the Desert, - so closely do the extremes of civilization and desolation approximate in this eastern world.
 We trudged along for several hours through the sand ; and then, ascending a hill, we unexpectedly saw from its summit the Nile !
 Delightful landscapes now succeeded arid plains. In place of a palm-tree here and there lost in the burning horizon, we found forests of fruit-trees and fields of maize. Egypt is a valley, with a river in its centre and an immense garden on each side, shut in by the Desert. Birds of ruby and emerald, of brilliant song and plumage, unknown to us, fill the groves of mimosa and lilachs. Large droves of sheep and buffalo, led by lean, naked herdsmen, followed the course of the Nile which we were ascending. And, finally, by way of climax, two enormous wolves, attracted no doubt by the scent of the cattle, emerged from a wood fifty yards in front, and came to a halt as if to arrest our progress : our guides, however, succeeded in beating them off with stones. Night descended rapidly, and our way, intersected by ditches necessary to the irrigation of the country, became more and more toilsome. In many places our asses sunk to their knees in the swamps, and we were obliged to dismount; and occasionally we ford- ed actual torrents, wading to our armpits : this sort of bath, though much cooler, was also much less agreeable than that of Alexandria. At length the moon arose in full brilliancy, illumined our path, and gave a new character to this strange landscape. Despite our embarrassments, we could not be insensible to its beauties. On the summit of the hills which divide the valley from the Desert, the palm-trees gracefully waved their branches against the sky. Mosques were visible in every direction, their bases laved by the Nile, their walls surrounded by the shade and verdure of the sycamore. But we were constantly interrupted in our ecstacy, by a bog or a ditch ; so that, by the time Rosetta was in sight, we were drenched altogether, and our shoes, like Panurge's, took in water from our shirt-collars.",43,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,31.393259,30.414833,Rosetta,Rashid,Egypt,Northern Africa,Africa,"The houses in Rosetta are of brick, some of them four or five stories high : the piazzas of the lower stories being supported by columns of pink granite, of unequal dimensions, brought from the ruins of ancient Alexandria. The Nile, which here forms a commodious port, flows also through large and beautiful rice-fields; and the delicate green of that plant contrasts finely with the sombre masses of dark sycamores and towering palms.",46,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,31.3837,30.42167,Mosque of Abou Mandour,Masjid Abu Mandur,Egypt,Northern Africa,Africa,"M. Amon gave us these details while taking us to see the mosque of Abou Mandour, which is out of the city and on the bank of the Nile. This oriental edifice stands in the midst of a charming landscape, and reaches far into the river, leaving a narrow pas- sage between its base and the opposite shore. A dome in the form of a heart reversed, surmounted by a crescent, crowns its white and festooned walls : from one of the angles, a madeneh of rare elegance elevates its galleries, while the opposite side seems to uphold an enormous mass of sand, resting like a hill on the declivity of the mountain. Tall palm- trees, also, shoot up their single stems through the thick and sombre foliage of the sycamores, crowning them as with an aigrette. The true believers say that the holy dervise, Abou-Mandour, sustains on his shoulders the mountains of sand which seem ready to swallow up the mosque, and choke the current of the Nile.",48,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,30.681376,30.803021,Nile River between Rashid and Cairo,Nile River between Rashid and Cairo,Egypt,Northern Africa,Africa,"The shores of the Nile presented to our view their extraordinary verdure: the declining sun gilded, with his last rays, a pretty village overtopped with palm-trees. We retired to the stern of our vessel, where the sailors had constructed a tent, or rather an arch of cloth supported by bamboos. We spread our car- pets beneath, and did not wake till morning. The day passed as the preceding one had done; nothing new, in the landscape, nothing interesting on board.",51,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,30.087553,31.230234,Nile River between Rashid and Cairo,Nile River between Rashid and Cairo,Egypt,Northern Africa,Africa,"Towards the close of the third day, after we had encountered divers head winds and shoals, three symmetrical mounds arose slowly under the glowing horizon; they were the Pyramids : and, at the same time, on our left, commenced the chain of Lybian mountains which enclose the Nile with their granite flanks. 
 We were unable to turn away from the gigantic monuments to which belonged so grand a record of antiquity, and so glorious a memento of modern days. There, too, was the battle-field of the modern Cambyses, where we, like Herodotus viewing the corses of the Persians and Egyptians, might have discovered the bones of our fathers. As the sun descended, his beams climbed the sides of the Pyramids, leaving their base in shade ; soon the summit alone sparkled, like a reddened point, and then a single ray, like a dis- tant beacon-light, seemed to float on the sharpened extremity. This soon detached itself and ascended towards the sky, as if to light up the stars, which, a moment after, began to twinkle in the firmament.",51,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,30.003843,31.222036,Cairo,Cairo,Egypt,Northern Africa,Africa,"We weighed anchor at day-break on the following morning, and rapidly approached the Pyramids - which, on their part, seemed to advance upon us, and bend over our heads. At the foot of the Lybian range we began to perceive, through the sandy va- pours that darkened the air, the towers and domes of mosques surmounted with their crescents of bronze. By degrees this curtain, driven by the northern wind which wafted us along, was uplifted from Cairo, and we discovered the jagged outline of the tops of the buildings, their foundations being yet hidden by the swollen banks of the river.",56,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,30.022457,31.225739,Island of Roudah,Rhoda Island,Egypt,Northern Africa,Africa,"The road being thirty feet higher than the river, we had, now, a more extended horizon. In front lay the island of Roudah, the base of the monument where the Nilometer is preserved; an instrument which measures the height of the inundations of the Nile. The lines traced on it indicate the years when the overflow of the water, reaching an unusual elevation, causes seasons of remarkable fertility. Here, every year, the sheiks of the mosques declare the height of the inundation, and apportion the measure of rejoicing which the people may indulge in ; or, with the resignation of Mussulmans, announce sterility and the fasting and famine to which the insufficient rising of the river condemns them. On our right stood the Pyramids of Gizeh, visible from the base to the summit; and there, too, was the hill formed by the Great Sphinx, which has guarded them for three thousand years, turning its granite face, mutilated by the soldiers of Cambyses, towards the tomb of the Pharaohs. On our left, was the bat-tlefield of Heliopolis, rendered famous by Kleber; its immense solitude extends farther than the eye can reach, and is enlivened by one sycamore which flourishes in the burning sand of the Desert.",57-58,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
Alexander Dumas,"Impressions of Travel, in Egypt and Arabia Petræa","Dumas, Alexander. Impressions of Travel, in Egypt and Arabia Petræa. Translated by A Lady of New-York. New York: J. S. Taylor, 1839. https://catalog.hathitrust.org/Record/008642282.",New York,J.S. Taylor,1839,Male,France,French,English,1830,,,19th century,1830s,30.060232,31.227703,Boulac,"Bulaq, Cairo",Egypt,Northern Africa,Africa,"Boulac, which we now passed through, is a sort of suburb of Cairo, standing like a sentinel to guard the city. But half a league of our journey remained We cast a look at the bay, enlivened by a multitude of vessels. Those ascending the Nile were loaded with garden-produce ; those returning brought the fruits of Upper Egypt which the pale sun of the Del. ta cannot ripen. The active and numerous population of this vicinity denoted the approach to a large city.",58,,,Hathi Trust,https://catalog.hathitrust.org/Record/008642282
