Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 2-3.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,-36.8471,174.771,Auckland,"Auckland, New Zealand",New Zealand,Oceania,Oceania,"Skirting the coast, at a distance too great to permit of our noting its general appearance, we passed Cape Brett, situated at the entrance to the Bay of Islands, and steaming down the Hauraki Gulf, between the Great and Little Barrier Islands, soon entered Auckland harbour, where a remarkably pretty landscape was spread out before us. On one side lay the city, its outskirts extending on either side into the hills; while the wide expanse of the harbour, with its numerous inlets and islands, lay stretched out in front of it, seemingly landlocked, and resembling a large lake, surrounded by a background of green hills. Auckland is picturesquely situated in the North Island of New Zealand, at a point where its breadth is only six miles; and possesses two fine harbours. Waitemata, the principal of these, and along the shores of which the city is built, is very fine, and one of the safest in New Zealand. It is an inlet of the Firth of Thames, and consists of an inner harbour, almost landlocked by Rangitoto and Tapu Islands, containing good wharfage accommodation; and an outer bay of considerable extent, called Hauraki Gulf, protected by the Great and Little Barrier Islands. On the western side of North Island, and distant only six miles from Auckland, with which it is connected by a tramway, is Manukau harbour, on which is situated the small town of Onehunga, and from which most of the intercolonial trade is carried on. Auckland is regularly laid out, the streets being straight and wide, and crossing one another at right angles. Queen Street, the principal thoroughfare, extends a distance of a couple of miles from the wharves, and contains the principal buildings. The public buildings are generally good, built for the most part of brick, faced with stone; the most important being the Government Offices, the Post Office and Custom House, and the Supreme Court. Government House is a handsome edifice, erected on an eminence which commands a grand view of the harbour, and situated in the midst of ornamental grounds, containing many fine trees. Auckland contains something under 25,000 inhabitants. It is the second city in New Zealand, in point of population and commercial importance, and was, until 1865, the political capital of the colony; when it was found advisable to select a town with a more central position for the seat of Government, and the Legislature was removed to Wellington. Auckland has lost, in consequence, some of its former importance; but, from its unrivalled position, seems destined to become a great city, especially when the large tract of country occupied by the Maoris is brought under cultivation, and the railway system extended throughout the Island. It is at present a busy thriving place, and is rendered more characteristic of the country than other New Zealand towns by the number of the Aborigines or Maoris seen in its streets.",4-Feb,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 2-3.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,21.3081,-157.8614,Honolulu,"Honolulu, Hawaii",United States of America,Oceania; Pacific,North America,"Honolulu, the metropolis and chief port of the group, is a pretty little town, containing about 10,000 inhabitants. Its appearance, viewed from the harbour, is remarkably picturesque, being embowered in luxuriant vegetation, with a background of volcanic hills of most irregular shapes, their sides covered with verdure, and their craggy peaks rising to a great height. In rear of the town is a peculiarly-shaped eminence called Punchbowl Hill, the summit of which is crowned by a small battery, to protect the harbour. The harbour consists of a roadstead and an inner basin; the former protected by a spit of land extending into the sea, called Diamond Head, and the latter accommodating at its wharves ships of very large tonnage—our steamer, a vessel of 3,200 tons register, being very comfortably berthed. The entrance to the harbour, as in most of the islands in the Pacific, is through a passage in the coral reef that extends round the island of Oahu. These passages through the reefs are supposed to be formed by currents of cold fresh water coming from the land, in which the coral insects that build up these reefs upon submerged portions of the islands cannot exist. Honolulu consists of regularly laid out streets, that have, however, more the appearance of wide, rural lanes, from the luxuriance of the vegetation in the gardens, and the number of beautiful trees standing between the houses. It contains some good public buildings, amongst which it is pleasing to see a public library, with 1,500 books of reference, and numerous churches. The king's palace is a plain unpretentious building of coral-stone, situated on about an acre of well laid out ground, surrounded by a high wall, at the entrance gate in which stands a native sentry, in his neat uniform of blue coat and white trousers.",15-7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 22-4.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,37.7837,-122.433,San Francisco,"San Francisco, California",United States of America,Pacific; Northern America,North America,"San Francisco , the chief city of the State of California, and the New York of the Pacific Coast, is situated at the end of a peninsula thirty miles long and six miles across, which separates San Francisco Bay from the Pacific Ocean. It lies at the foot of high hills, which, in the early days of the city, were cut up by numerous gullies, and the low land at their base was of small extent. Many of these hills have been levelled, the gullies filled up, and the narrow portion of the peninsula widened with land reclaimed from the ocean; thus there are now paved streets and busy thoroughfares, where once large ships rode at anchor. The city is regularly laid out, the streets being straight, broad, and crossing one another at right angles; the business portion is compactly built, and may be said to cover an area of nine square miles, lying between Telegraph, Rincon, and Russian Hills. It is substantially built, for the greater part, of stone; but the outskirts are straggling, the houses being wide apart, and generally of wood. The rapid growth of San Francisco is almost unprecedented, equalled only by that of Melbourne, Victoria, which owes its rise to the same cause, viz., the gold discoveries. The first house built on the present site of the city was in 1835, when the settlement was called Terba Buena, from a medicinal herb found in the vicinity; this was changed to its present name, San Francisco, in 1847. In 1848, when gold was first discovered, the population amounted to 1,000; the great immigration from the East then set in, and in 1850 the population had increased to 25,000; in 1860, to 57,000; in 1870, to 150,000; and is now estimated at over 175,000 inhabitants....The principal thoroughfare is Montgomery-street, which, with its fine blocks of buildings, is a very handsome street. It extends at its northern extremity to the top of a hill, too precipitous for carriages to ascend; but pedestrians can do so by means of a flight of steps, and from the top a fine view of the city and bay is obtained. Market and Kearneystreets are also fine thoroughfares, and contain many of the best retail establishments. In California-street are the principal banks and brokers' offices; whilst Front, Sansome, and Battery-streets form the centre of the wholesale trade of the city. The best private residences are situated in Van Ness Avenue, Pine-street Hill, Bush and Geary-streets. The traffic in some of these streets is very great, and forcibly reminds one of parts of the city of London.",22-4,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 34-5.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,38.5749,-121.4964,Sacramento,"Sacramento, California",United States of America,Pacific; Northern America,North America,"Sacramento, the political capital of the “Golden State,” is a pretty place, containing about 50,000 inhabitants. It is situated at the head of navigation on the Sacramento River, near its confluence with the great American river; and is distant about 125 miles from the Pacific. It very much resembles a large colonial up-country town, and is the seat of some rather extensive manufactures. It is a thriving and busy place, and, during the sessions of the State Legislature, swarms with numbers of political agents and hangers-on. The Capitol, or State House, is a noble building, in the Corinthian style of architecture, surmounted by a grand cupola, which renders it a very conspicuous object, from every point of the surrounding plains. It is, unquestionably, one of the finest edifices in the United States. Sacramento is the centre of a large railway system, and from it, lines radiate to all parts of the State; hence it seems likely in time, to become a large and important city. The streets are broad and well paved, and lined with trees, which form an agreeable shade in summer. The houses are generally built of brick, and have a substantial and pleasing look; whilst the recent erections are really handsome in appearance.",34-5,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 43-5.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,40.7521,-111.8975,Salt Lake City,"Salt Lake City, Utah",United States of America,Plains; Northern America,North America,"The city is built at the foot of the Wahsatch Mountains, which were covered with snow from the summits to the base, and looked very imposing, seeming, as they did, to lift their whitecapped tops right into the clouds. A storm in these mountains, witnessed from the city, is a grand sight. Two peaks or summits, called the Twin Peaks, distant about 15 miles southeasterly, are 11,000 feet high, and have never been free from snow since the settlement in this valley. Salt Lake, that veritable Dead Sea, is 120 miles long, by about 45 miles broad, and contains seven islands. Its waters are so salt that nothing can live in them, and the fish that find their way down the rivers Jordan, and Weber, are soon killed. It is said, that enough salt to supply the whole world, could be obtained by evaporation. I took a sail on
 the lake, but found its banks destitute of vegetation, and its dreary, barren, appearance uninviting. The rivers Jordan and Weber empty themselves into the lake, but there is no outlet; and the waters are said to have risen some 10 feet since 1850. A peculiar feature of Salt Lake is two rocks: one, a great mass, rising abruptly out of the water, and standing black and desolate, called Black Rock; the other, overhanging the margin, and bearing an indistinct resemblance to a human face, is called Profile Rock. Salt Lake City is situated at the foot of the Wahsatch Mountains, on a plain that has, by indomitable perseverance and toil, been converted from a wilderness, impregnated with alkali, and productive only of sagebush, into a smiling agricultural country, dotted over with the farms, or, as they are here called, the “ranches” of the settlers. A slight description of this most remarkable city may not be out of place, before I proceed to give an account of the people who inhabit it, and of the territory in which it is situated. Salt Lake City is regularly laid out in the form of the letter L; the larger portion stretching east and west, and the shorter north and south. The streets—as is usual in all new American towns—are wide, cross one another at right angles, and follow the cardinal points of the compass; but they possess an unique appearance, as they have brooks of clear water flowing down either side, and watering the roots of trees, planted so, as to cast a pleasant shade over the pathway. These shade-trees, bordering every thoroughfare, and the numerous orchards in, and around the city, give it the appearance of being embowered in foliage—very refreshing to the eye in the hot season. The city is laid out in square blocks of ten acres each, covers a space of about nine square miles, and contains a population of some 25,000 inhabitants; 20,000 of whom are Mormons, and the remainder Gentiles—as all are called who do not profess the faith of Mormon.",43-5,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 69-71.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,41.879,-87.6483,Chicago,"Chicago, Illinois",United States of America,Great Lakes; Northern America,North America,"Chicago is, in population, the third city of the Union; in commercial importance, it Tanks after New York; its population may be set down at 400,000. In 1830, it was only a trading station with the Indians, consisting at thattime of a few log houses only; and the city has attained its present proportions, since that comparatively recent date. What causes it, however, to be regarded as the most remarkable city in the world, is the fact, that since the great fire of 1871, the greatest conflagration of modern times—in which three and a half square miles of the principal part of the city were burned; in which 17,450 buildings were destroyed, and 98,000 people rendered homeless; the monetary loss of which, was estimated at little short of thirtyseven millions sterling, ten millions only of which, were coveredMby insurance—the city has sprung up like a phoenix out of its ashes, and now shows but few traces of the dire calamity. The buildings destroyed, have all been replaced by noble stone edifices; so that now Chicago may justly claim to be a “City of Palaces.” In 1874, another fire broke out in the devoted city, and six hundred acres of buildings were consumed; yet, in spite of these disastrous drawbacks, Chicago exhibits but few remains of either devastation. The position of the city is most favourable, being situated mid-way between the Eastern and Western States; on Lake Michigan, which gives it a splendid water-way. It is also the centre of a vast railway system, and has in consequence become the greatest grain emporium in the world, and also the largest cattle and lumber market. It has not been without straining every nerve, that the city has been rebuilt in such an incalculably short time; house rents are very high in consequence, and ratepayers obtain some concession, by paying their rates in advance. Chicago is well laid out, the streets being generally eighty feet wide; some of them are from three to seven miles in length, run due north to south, and east to west, and cross one another at right angles. The Chicago River runs through the city, and with its two branches, divides it into three parts; between which, communication is effected by means of thirty-three bridges. These bridges swing on central pivots, and have to be opened to allow vessels to pass; but as this is found to interrupt the street traffic, they are commencing to build tunnels, under the bed of the river. Two have already been completed; one connects the northern and western divisions of the city, and is 1,600 feet long; the other joins the northern and southern, and is 1,900 feet in length.",69-71,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 76-8.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,42.3439,-83.0583,Detroit,"Detroit, Michigan",United States of America,Great Lakes; Northern America,North America,"Detroit is a clean and pretty town, containing many fine villa residences; it is situated on the Detroit River—a noble stream, twenty miles long, connecting Erie Lake with Lake St. Clair; and forming here, the best harbour on the whole chain of lakes. Detroit is the principal city of Michigan, and contains some 100,000 inhabitants; the river front for miles is lined with warehouses, dry-docks, shipbuilding yards, founderies, and grain-elevators; and the city is laid out on the usual American rectangular plan. The streets are broad; those containing the business premises vary from 50 to 100 feet in width; the avenues of private mansions from 100 to 200 feet. They are generally planted, with a double row of trees on both sides, and these beech, chestnut, oak, elm, and maple trees, all covered with foliage, give a pretty countrified appearance to the city, and form a most agreeable shade. The Campus Martius, a fine open space or square, is the principal feature in the arrangement of the city. Taking up the whole side of this square stands the City Hall, a noble stone building in the Italian style; consisting of three stories, above the basement, and surmounted by a Mansard roof. In the middle of the square is the Soldier's Monument; erected in memory of the Michigan soldiers who fell in the civil war. On the north side of the Campus Martius is the Opera House, one of the largest buildings of the kind, in the country. This square is crossed by Woodward and Michigan Avenues, and from it radiate Munroe Avenue and Fort-street. These avenues, for miles, are lined on both sides with detached, and semi-detached houses, each standing in its own garden. In the centre of the city is a semicircular park, called the Grand Circus, which is divided in two by Woodward Avenue, each part containing a fine fountain. The principal buildings are the Custom House, and Post Office, both under the same roof, and the Board of Trade. The Great Wheat Elevator of the Michigan Central Railway Company is a large building, from the cupola of which a grand view is obtained of the city, river, and Lakes St. Clair and Erie. The manufactures of the city are rather extensive, comprising ironworks, machine-shops for the construction of railway rolling-stock; flour mills, breweries, and extensive tobacco and cigar factories; the shipping interests are also large. Pork and fish-packing are carried on very extensively.",76-8,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 86-7.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,43.6599,-79.3884,Toronto,"Toronto, Ontario",Canada,Northern America,North America,"Toronto is, after Montreal, the largest city of Canada; it has a population of 60,000; and is situated on a beautiful bay, the entrance to which is narrow, and protected by a long spit of land, called Gibraltar Point. The city has a very English appearance, and the streets, though not wide, are generally well paved. The principal are King and Yonge streets, which contain all the best retail establishments. Front street, containing large blocks of warehouses, is also a fine thoroughfare. The University of Toronto is a grand edifice, in the pure Norman style of architecture; the buildings forming three sides of a quadrangle. It is a noble institution, and one of which Canadians may justly be proud; it possesses a library of 20,000 volumes, and a fine museum of natural history. Adjoining the University is the Queen's Park, comprising fifty acres of well laid out ground; approached by long avenues of chestnut, beech, elm, and oak trees. In the park is a fine monument, surmounted by a large figure of Britannia; erected to the memory of those Canadians, who fell in repelling the Fenian invasion of 1866. The Post Office, built in the Ionic style, is a fine building; the City Hall is plain and unpretentious; the Custom House and Court House are handsome structures. Osgoode Hall is a very imposing, and extensive building of the Ionic Order; it contains the Provincial Courts, and has a fine law library. Amongst other buildings of a public character may be enumerated St. Lawrence Hall, the Masonic Hall, and the Exchange. Toronto is to Canada, what Edinburgh is to Scotland, the seat of its higher educational system; and contains many fine public schools, and colleges. Knox College, a Presbyterian institution, is one of the principal, and most successful. Trinity College is a spacious building, with numerous turrets and quaint gables; and is situated in the midst of extensive grounds. The Normal School, for the training of teachers, the Model Schools, and the Educational Museum are plain buildings; but standing together, as they do, in a large park, they have a very picturesque appearance.",86-7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 94-6.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,45.5046,-73.5679,Montreal,"Montreal, Quebec",Canada,Northern America,North America,"Montreal, the commercial metropolis of Canada, is a nice clean city of 110,000 inhabitants, containing fine blocks of buildings; but especially notable, for the number, and beauty of its churches. It is situated on the Island of Montreal, which is thirty miles long, and ten broad, and is formed by the junction of the Ottawa, with the St. Lawrence. It is connected with the main land, by the splendid Victoria Bridge, called by Montrealers “the eighth wonder of the world.” This celebrated bridge is a mile and a half long, or with its approaches, nearly two miles; is supported upon twenty-four piers, and two abutments of solid masonry; the span between the centre piers being thirty-three feet. The iron tube, through which the lines are laid, is twenty-two feet high, and sixteen feet wide. This bridge ,was erected by Robert Stephenson, and though rather an eyesore, obstructing as it does, the view of the noble river; is the only means of traffic with the mainland, when the river being frozen over, navigation is impeded. The city is laid out very much like an old French town, but has of late been much improved; the streets are gradually being widened; and the city with its fine blocks of buildings, and its numerous public edifices, looks substantial, and shows the evidences of great accumulated wealth. The Quays are very fine; built entirely of solid limestone, and extending for several miles, undisfigured by unsightly warehouses, and stores, as is unfortunately so often the case. At a short distance from the city is the Mont Real, which gives to the city its name of Montreal, now used in place of the ancient Indian one Hochelaga. From the summit of this beautiful eminence, a magnificent panorama is presented of the city, with its noble quays, and glittering spires. From it can also be seen, the great St. Lawrence, as it winds its way, for miles, through a gently undulating plain, dotted with pretty little villages. This “mountain,” as it is locally called, is a general recreation ground for the people of Montreal; and round the base, and winding around the hill, are beautiful drives. St. James, and Notre Dame streets, are the principal promenades, and contain the best retail establishments. St. Paul street, fronting the quays, and extending their entire length, is the principal commercial thoroughfare; whilst other smaller streets, branching off these main arteries, contain large blocks of warehouses. The principal residences are in the suburbs, extending to the foot of the mountain.",94-6,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
Alfred Falk,Trans-Pacific Sketches: A Tour through the United States and Canada,"Alfred Falk, Trans-Pacific Sketches: A Tour through the United States and Canada (Melbourne: George Robertson, 1877), 98-100.",Melbourne,George Robertson,1877,Male,England,English,,,1877-XX-XX,,19th century,1870s,45.4181,-75.6965,Quebec,"Québec City, Quebec",Canada,Northern America,North America,"I left Montreal for Quebec, by the steamer City of Montreal, in the evening; and arrived at the latter city early the next morning. These river steamers are most commodious, and beautifully fitted up; and form, in the warm weather, a far more agreeable mode of travelling, than the dusty railway cars. The first appearance of Quebec from the river is very grand; here the banks rise precipitously, and are covered with fine trees, nestling amongst which are numerous private residences. The river widens considerably, and is commanded by the guns of the citadel, perched high up on the height; from which the ramparts extend round the city, rendering it so strong a fortress, that it has been called the “Gibraltar of America.” Since the regular troops who garrisoned it were recalled, and the charge of the fortress assumed by the Canadian Government; the ramparts are falling into decay, and the guns rusting. The British Government commenced the building of three powerful forts on Point Levi, opposite to Quebec, on the other side of the river; but left them in an incomplete state, and nothing has been done by the Canadian Government to finish them. It would consequently not be a difficult matter, for an enterprising enemy, to carry Quebec, as it stands, by a coup de main; and this fortress, formerly considered impregnable, in the hands of an enemy commanding the navigation of the St. Lawrence, would virtually place Canada at his feet...The streets of Quebec are very narrow, and steep; especially those connecting the Upper, with the Lower Town. A large portion of the Upper Town is taken up by the buildings of the great religious corporations of the dominant denomination; such as the Seminary, Laval University, the Ursulines, the Hôtel Dieu, and the ancient Jesuit College; which latter has more recently been used as a barracks. Over the remaining portion of Upper Town, not taken up by the fortifications, are crowded the quaint, mediæval streets, and houses; the latter built generally of stone, two storeys high, and roofed with a shining tin, which gives the city, when the sun shines on it, a very glittering appearance. The Lower Town is the oldest, and most important; here are clustered at the foot of the promontory, under the guns of the grand battery, 200 feet above, the principal wharves, ferry-landings, commercial houses, and banks.",98-100,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01890/01890.pdf
