Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,"25th January, 1859",,,19th,1850s,20.18604,-79.60766,Caribbean Sea,Caribbean Sea,,Caribbean,"Americas, North America","But I was ambitious of a quicker transit and a less beaten path, and here I am lying under the lee of the land, in a dirty, hot, motionless tub, expiating my folly. We shall never make Cien Fuegos by the 28th, and then it will be eight days more before I can reach the Havana. May God forgive me all my evil thoughts!
  
  Motionless, I said; I wish she were. Progressless should have been my word. She rolls about in a nauseous manner, disturbing the two sardines which I have economically eaten, till I begin to fear that my friend's generosity will become altogether futile. To which result greatly tends the stench left behind it by the cargo of salt fish with which the brig was freighted when she left St. John, New Brunswick, for these ports. ""We brought but a very small quantity,"" the skipper says. If so, that very small quantity was stowed above and below the very bunk which has been given up to me as a sleeping-place. Ugh!
  
  [Location estimated.]",Ch. 1,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,29th of January,,,19th,1850s,21.29565,-80.29979,Caribbean Sea,Caribbean Sea,,Caribbean,"Americas, North America","The sails are still flopping against the yard. It is now noon on the 29th of January, and neither captain, mate, crew, nor the one solitary passenger have the least idea when the good brig —— will reach the port of Cien Fuegos; not even whether she will reach it at all. Since that time we have had wind enough in all conscience—lovely breezes as the mate called them. But we have oversailed our mark; and by how much no man on board this vessel can tell. Neither the captain nor the mate were ever in Cien Fuegos before; and I begin to doubt whether they ever will be there. No one knows where we are. An old stove has, it seems, been stowed away right under the compass, giving a false bias to the needle, so that our only guide guides us wrong. There is not a telescope on board. I very much doubt the skipper's power of taking an observation, though he certainly goes through the form of holding a machine like a brazen spider up to his eye about midday. My brandy and cigars are done; and altogether we are none of us jolly.
  
  [Location estimated.]",Ch. 1,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,"17th of November, 1858",,,19th,1850s,50.91054,-1.4049,Southampton,Southampton,England,West Europe,Europe,"On the 17th of November, 1858, I left the port of Southampton in the good ship 'Atrato.' My purposed business, O cherished reader! was not that of writing these pages for thy delectation; but the accomplishment of certain affairs of State, of import grave or trifling as the case may be, with which neither thou nor I shall have further concern in these pages. So much it may be well that I should say, in order that my apparently purposeless wanderings may be understood to have had some method in them.",Ch. 1,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,2nd of December,,,19th,1850s,18.33809,-64.89409,St. Thomas,St. Thomas,Jamaica,Caribbean,"Americas, North America","And in the good ship 'Atrato' I reached that emporium of travellers, St. Thomas, on the 2nd of December. We had awfully bad weather, of course, and the ship did wonders. When men write their travels, the weather has always been bad, and the ship has always done wonders. We thought ourselves very uncomfortable—I, for one, now know better—and abused the company, and the captain, and the purser, and the purveyor, and the stewards every day at breakfast and dinner; not always with the eloquence of the Frenchman and his walnut, but very frequently with quite equal energy. But at the end of our journey we were all smiles, and so was the captain. He was tender to the ladies and cordial to the gentlemen; and we, each in our kind, reciprocated his attention. On the whole, O my readers! if you are going to the West Indies, you may do worse than go in the 'Atrato.' But do not think too much of your withered apples.
  
  I landed at St. Thomas, where we lay for some hours; and as I put my foot on the tropical soil for the first time, a lady handed me a rose, saying, ""That's for love, dear."" I took it, and said that it should be for love. She was beautifully, nay, elegantly dressed. Her broad-brimmed hat was as graceful as are those of Ryde or Brighton. The well-starched skirts of her muslin dress gave to her upright figure that look of easily compressible bulk, which, let 'Punch' do what it will, has become so sightly to our eyes. Pink gloves were on her hands. ""That's for love, dear."" Yes, it shall be for love; for thee and thine, if I can find that thou deservest it. What was it to me that she was as black as my boot, or that she had come to look after the ship's washing?
  
  I shall probably have a word or two to say about St. Thomas; but not now. It is a Niggery-Hispano-Dano-Yankee-Doodle place; in which, perhaps, the Yankee-Doodle element, declaring itself in nasal twang and sherry cobblers, seems to be of the strongest flavour; as undoubtedly will be the case in many of these parts as years go on revolving. That nasal twang will sound as the Bocca Romana in coming fashionable western circles; those sherry cobblers will be the Falernian drink of a people masters of half the world. I dined at the hotel, but should have got a better dinner on board the 'Atrato,' in spite of the withered apples.",Ch. 2,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,1858,,,19th,1850s,17.95254,-76.805,Kingston Harbor,Kingston Harbor,Jamaica,Caribbean,"Americas, North America","From St. Thomas we went to Kingston, Jamaica, in the 'Derwent.' We were now separated from the large host of Spaniards who had come with us, going to Peru, the Spanish Main, Mexico, Cuba, or Porto Rico; and, to tell the truth, we were not broken-hearted on the occasion.
  
  [...]
  
  Kingston harbour is a large lagune, formed by a long narrow bank of sand which runs out into the sea, commencing some three or four miles above the town of Kingston, and continuing parallel with the coast on which Kingston is built till it reaches a point some five or six miles below Kingston. This sandbank is called ""The Palisades,"" and the point or end of it is Port Royal. This is the seat of naval supremacy for Jamaica, and, as far as England is concerned, for the surrounding islands and territories. And here lies our flag-ship; and here we maintain a commodore, a dock-yard, a naval hospital, a pile of invalided anchors, and all the usual adjuncts of such an establishment. Some years ago—I am not good at dates, but say seventy, if you will—Port Royal was destroyed by an earthquake.
  
  Those who are geographically inclined should be made to understand that the communication between Port Royal and Kingston, as, indeed, between Port Royal and any other part of the island, is by water. It is, I believe, on record that hardy Subs, and hardier Mids, have ridden along the Palisades, and not died from sun-stroke in the effort. But the chances are much against them. The ordinary ingress and egress is by water. The ferry boats usually take about an hour, and the charge is a shilling. The writer of these pages, however, has been two hours and a quarter in the transit.",Ch. 2,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,1859,,,19th,1850s,21.52175,-77.78116,Cuba,Cuba,Cuba,"Caribbean, Latin Americ","Americas, North America","Cuba is the largest and the most westerly of the West Indian islands. It is in the shape of a half-moon, and with one of its horns nearly lies across the mouth of the Gulf of Mexico. It belongs to the Spanish crown, of which it is by far the most splendid appendage. So much for facts—geographical and historical.",Ch. 10,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,1858,,,19th,1850s,17.93676,-76.8411,Port Royal,Port Royal,Jamaica,Caribbean,"Americas, North America","We had no Spaniards in the 'Derwent,' but a happy jovial little crew of Englishmen and Englishwomen—or of English subjects rather, for the majority of them belonged to Jamaica. The bad weather was at an end, and all our nautical troubles nearly over; so we ate and drank and smoked and danced, and swore mutual friendship, till the officer of the Board of Health visited us as we rounded the point at Port Royal, and again ruffled our tempers by delaying us for some thirty minutes under a broiling sun.",Ch. 2,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,1858,,,19th,1850s,18.01787,-76.8099,Kingston,Kingston,Jamaica,Caribbean,"Americas, North America","Were it arranged by Fate that my future residence should be in Jamaica, I should certainly prefer the life of a country mouse. The town mice, in my mind, have but a bad time of it. Of all towns that I ever saw, Kingston is perhaps, on the whole, the least alluring, and is the more absolutely without any point of attraction for the stranger than any other.
  
  It is built down close to the sea—or rather, on the lagune which forms the harbour, has a southern aspect, and is hot even in winter. I have seen the thermometer considerably above eighty in the shade in December, and the mornings are peculiarly hot, so that there is no time at which exercise can be taken with comfort. At about 10 a.m., a sea breeze springs up, which makes it somewhat cooler than it is two hours earlier—that is, cooler in the houses. The sea breeze, however, is not of a nature to soften the heat of the sun, or to make it even safe to walk far at that hour. Then, in the evening, there is no twilight, and when the sun is down it is dark. The stranger will not find it agreeable to walk much about Kingston in the dark.
  
  Indeed, the residents in the town, and in the neighbourhood of the town, never walk. Men, even young men, whose homes are some mile or half-mile distant from their offices, ride or drive to their work as systematically as a man who lives at Watford takes the railway.
  
  Kingston, on a map—for there is a map even of Kingston—looks admirably well. The streets all run in parallels. There is a fine large square, plenty of public buildings, and almost a plethora of places of worship. Everything is named with propriety, and there could be no nicer town anywhere. But this word of promise to the ear is strangely broken when the performance is brought to the test. More than half the streets are not filled with houses. Those which are so filled, and those which are not, have an equally rugged, disreputable, and bankrupt appearance. The houses are mostly of wood, and are unpainted, disjointed, and going to ruin. Those which are built with brick not unfrequently appear as though the mortar had been diligently picked out from the interstices.
  
  But the disgrace of Jamaica is the causeway of the streets themselves. There never was so odious a place in which to move. There is no pathway or trottoir to the streets, though there is very generally some such—I cannot call it accommodation—before each individual house. But as these are all broken from each other by steps up and down, as they are of different levels, and sometimes terminate abruptly without any steps, they cannot be used by the public. One is driven, therefore, into the middle of the street. But the street is neither paved nor macadamized, nor prepared for traffic in any way. In dry weather it is a bed of sand, and in wet weather it is a watercourse. Down the middle of this the unfortunate pedestrian has to wade, with a tropical sun on his head; and this he must do in a town which, from its position, is hotter than almost any other in the West Indies. It is no wonder that there should be but little walking.
  
  But the stranger does not find himself naturally in possession of a horse and carriage. He may have a saddle-horse for eight shillings; but that is expensive as well as dilatory if he merely wishes to call at the post-office, or buy a pair of gloves. There are articles which they call omnibuses, and which ply cheap enough, and carry men to any part of the town for sixpence; that is, they will do so if you can find them. They do not run from any given point to any other, but meander about through the slush and sand, and are as difficult to catch as the musquitoes.",Ch. 2,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,1858,,,19th,1850s,18.01668,-76.97481,Spanish Town,Spanish Town,Jamaica,Caribbean,"Americas, North America","That which tends in part to the desolation of Kingston—or rather, to put the proposition in a juster form, which prevents Kingston from enjoying those advantages which would naturally attach to the metropolis of the island—is this: the seat of government is not there, but at Spanish Town. Then our naval establishment is at Port Royal.
  
  [...]
  
  New York, probably, might be no whit improved were the National Congress to be held there; nor Amsterdam, perhaps, if the Hague were abandoned; but it would be a great thing for Kingston if Spanish Town were deserted.
  
  The Governor lives at the latter place, as do also those satellites or moons who revolve round the larger luminary—the secretaries, namely, and executive officers. These in Jamaica are now so reduced in size that they could not perhaps do much for any city; but they would do a little, and to Kingston any little would be acceptable. Then the Legislative Council and the House of Assembly sit at Spanish Town, and the members—at any rate of the latter body—are obliged to live there during some three months of the year, not generally in very comfortable lodgings.
  
  Respectable residents in the island, who would pay some attention to the Governor if he lived at the principal town, find it impossible to undergo the nuisance of visiting Spanish Town, and in this way go neither to the one nor the other, unless when passing through Kingston on their biennial or triennial visits to the old country.
  
  And those visits to Spanish Town are indeed a nuisance. In saying this, I reflect in no way on the Governor or the Governor's people. Were Gabriel Governor of Jamaica, with only five thousand pounds a year, and had he a dozen angels with him as secretaries and aides-de-camp, mortal men would not go to them at Spanish Town after they had once seen of what feathers their wings were made.
  
  It is like the city of the dead. There are long streets there in which no human inhabitant is ever seen. In others a silent old negro woman may be sitting at an open door, or a child playing, solitary, in the dust. The Governor's house—King's House as it is called—stands on one side of a square; opposite is the house of the Assembly; on the left, as you come out from the Governor's, are the executive offices and house of the Council, and on the right some other public buildings. The place would have some pretension about it did it not seem to be stricken with an eternal death. All the walls are of a dismal dirty yellow, and a stranger cannot but think that the colour is owing to the dreadfully prevailing disease of the country. In this square there are no sounds; men and women never frequent it; nothing enters it but sunbeams—and such sunbeams! The glare from those walls seems to forbid that men and women should come there.
  
  The parched, dusty, deserted streets are all hot and perfectly without shade. The crafty Italians have built their narrow streets so that the sun can hardly enter them, except when he is in the mid heaven; but there has been no such craft at Spanish Town. The houses are very low, and when there is any sun in the heavens it can enter those streets; and in those heavens there is always a burning, broiling sun.
  
  But the place is not wholly deserted. There is here the most frightfully hideous race of pigs that ever made a man ashamed to own himself a bacon-eating biped. I have never done much in pigs myself, but I believe that pigly grace consists in plumpness and comparative shortness—in shortness, above all, of the face and nose. The Spanish Town pigs are never plump. They are the very ghosts of swine, consisting entirely of bones and bristles. Their backs are long, their ribs are long, their legs are long, but, above all, their heads and noses are hideously long. These brutes prowl about in the sun, and glare at the unfrequent strangers with their starved eyes, as though doubting themselves whether, by some little exertion, they might not become beasts of prey.
  
  The necessity which exists for white men going to Spanish Town to see the Governor results, I do not doubt, in some deaths every year. I will describe the first time I was thus punished. Spanish Town is thirteen miles from Kingston, and the journey is accomplished by railway in somewhat under an hour. The trains run about every four hours. On my arrival a public vehicle took me from the station up to King's House, and everything seemed to be very convenient. The streets, certainly, were rather dead, and the place hot; but I was under cover, and the desolation did not seem to affect me. When I was landed on the steps of the government-house, the first idea of my coming sorrows flitted across my mind. ""Where shall I call for you?"" said the driver; ""the train goes at a quarter past four."" It was then one: and where was he to call for me? and what was I to do with myself for three hours? ""Here,"" I said; ""on these steps."" What other place could I name? I knew no other place in Spanish Town.
  
  [...]",Ch. 2,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
Anthony Trollope,The West Indies and the Spanish Main,"Anthony Trollope, The West Indies and the Spanish Main (London: Chapman & Hall, 1859), https://www.gutenberg.org/files/55100/55100-h/55100-h.htm.",London,Chapman & Hall,1859,Male,England,English,,1858,,,19th,1850s,18.10958,-77.2975,Jamaica (countryside),Jamaica (countryside),Jamaica,Caribbean,"Americas, North America","I have spoken in disparaging terms of the chief town in Jamaica, but I can atone for this by speaking in very high terms of the country. In that island one would certainly prefer the life of the country mouse. There is scenery in Jamaica which almost equals that of Switzerland and the Tyrol; and there is also, which is more essential, a temperature among the mountains in which a European can live comfortably.
  
  I travelled over the greater part of the island, and was very much pleased with it. The drawbacks on such a tour are the expensiveness of locomotion, the want of hotels, and the badness of the roads. As to cost, the tourist always consoles himself by reflecting that he is going to take the expensive journey once, and once only. The badness of the roads forms an additional excitement; and the want of hotels is cured, as it probably has been caused, by the hospitality of the gentry.
  
  [...]
  
  It is of course known that the sugar-cane is the chief production of Jamaica; but one may travel for days in the island and only see a cane piece here and there. By far the greater portion of the island is covered with wild wood and jungle—what is there called bush. Through this, on an occasional favourable spot, and very frequently on the roadsides, one sees the gardens or provision-grounds of the negroes. These are spots of land cultivated by them, for which they either pay rent, or on which, as is quite as common, they have squatted without payment of any rent.
  
  These provision-grounds are very picturesque. They are not filled, as a peasant's garden in England or in Ireland is filled, with potatoes and cabbages, or other vegetables similarly uninteresting in their growth; but contain cocoa-trees, breadfruit-trees, oranges, mangoes, limes, plantains, jack fruit, sour-sop, avocado pears, and a score of others, all of which are luxuriant trees, some of considerable size, and all of them of great beauty. The breadfruit-tree and the mango are especially lovely, and I know nothing prettier than a grove of oranges in Jamaica. In addition to this, they always have the yam, which is with the negro somewhat as the potato is with the Irishman; only that the Irishman has nothing else, whereas the negro generally has either fish or meat, and has also a score of other fruits besides the yam.
  
  The yam, too, is picturesque in its growth. As with the potato, the root alone is eaten, but the upper part is fostered and cared for as a creeper, so that the ground may be unencumbered by its thick tendrils. Support is provided for it as for grapes or peas. Then one sees also in these provision-grounds patches of coffee and arrowroot, and occasionally also patches of sugar-cane.",Ch. 3,,,Project Gutenberg,https://www.gutenberg.org/files/55100/55100-h/55100-h.htm
