Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 125-7.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,29.9471,-90.0893,New Orleans,"New Orleans, Louisana",United States of America,Northern America,North America,"New Orleans is the twelfth city of the States. In my “citizen” days it was the fourth, ranking after New York, Philadelphia, and Baltimore. It is the chief city of Louisiana, and the most southern metropolis. After Liverpool, it is the largest cotton market in the world, handling 2,000,000 bales annually, and is the third of American seaports. The population is about the same as Edinburgh, 242,039 (winter, 260,000), the percentage of nationalities being —Anglo-American, 18 per cent.; French, 17; German, 15; Irish, 14; Italian, 8; Spanish, 2.3; and 25 per cent. coloured, or 177,376 white and 14,663 coloured. Baton Rouge, a quaint old place 89 miles up the river, with a population of 10,478, is the State capital In latitude 29.56 and longitude 90.4 w., New Orleans is 106 to 108 miles from the Delta of the Mississippi, in the Gulf of Mexico, and is one of the most picturesque and interesting cities in America owing to the survival of the buildings, manners, and customs of the original French and Spanish. G. W. Cable describes it as “a city of villas and cottages, of umbrageous gardens intersected by 470 miles of unpaved streets shaded by forest trees, haunted by song-birds, fragrant with a wealth of flowers that never fails a day in the year, and abundant in season with fruit—the fig, plum, pomegranate, and orange.” The Creoles are “a handsome, graceful, and intelligent race, of a decidedly Gallic type.” Its history begins with the mention of the Mississippi being traversed by white men (Spaniards) in 1536, then in 1539–41–42–43; with the settlement of French in 1699, the city being founded by Bienville in 1718, and passing under Spanish domination 1764–1801. It was then Americanised by purchase, 1803; besieged in 1812 by the British, being the scene of battle in 1815, and taken in the Civil War in 1862. Its State was admitted to the Union in 1812. There are five parks, four libraries, four theatres, eighty public or private schools, fifty institutions (of which eleven are charitable), twelve insurance companies, ten railroads, twelve steamboat lines, thirty-four sea-going. Its exports are £248,000,000; imports, £50,000,000; bank capital, £2,000,000; and its valuation in 1894, £28,000,000; manufactures, £12,000,000; commerce, £88,000,000; revenue, £600,000; debt, £3,100,000 (steadily if slowly disappearing). There are twelve miles of water front. Since the '30's, when the city bade fair to reach if not outshine New York, there has not been such a spirit of emulation and enterprise as there is now. Public and private improvements are being carried out on a liberal scale. The conversion of 186 miles of streets into beautiful avenues, and transforming the car service from horse to electric, is costing £1,000,000,—(one system was the first n the States)—and all around the least changeable is all change.",125-7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 22.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,40.6771,-73.9448,Brooklyn,"Brooklyn, New York",United States of America,Northern America,North America,"A stranger tourist of the later past would have considered Brooklyn a part of New York, separated as it was only by a bridge, but one of great magnitude and unique completeness for all kinds of vehicular as well as for pedestrian traffic. It is only now, however, at the end of 1897, that it is a part of New York included in the temporary term of Greater New York. This new district has until now been the fourth city of the United States in size and industrial interest, with 806,343 inhabitants in 1890. It is the “City of Churches,” and the “Dormitory of New York,” owing to so many city business men living there. It covers an area of 24 square miles, threaded with electric cars, and has five elevated railways within it, and three railway stations. The beautiful Prospect Park is the chief attraction for strangers. It has 550 acres, the lake being 60 acres in extent.",22,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 32-3.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,41.4968,-81.6915,Cleveland,"Cleveland, Ohio",United States of America,Northern America,North America,"Next day I was at Cleveland, where I found many buildings and monuments of great interest, and a splendid electric car service….Cleveland in 1830 had only a population of 1000. In 1890 it had 261,353, having increased 60 per cent. in the last decade. Its manufactures employ 50,000 hands, and are of the annual value of £21,100,000, while its iron and steel works are valued at £5,000,000. It is one of the chief ship-building cities. The streets are broad and well paved, with green lawns and squares and numerous trees, by which it has acquired the name of the “Forest City.” Its chief business blocks are substantial, and the public buildings handsome. The Garfield Memorial, which cost £26,000, and is 165 feet high, is perhaps the most beautiful monument of the kind. It is in Lake View Cemetery, at the further end of Euclid Avenue, one of the extremely beautiful residence streets in America, with handsome houses surrounded by pleasant grounds and trees.",32-3,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 38-9.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,41.8674,-87.6588,Chicago,"Chicago, Illinois",United States of America,Northern America,North America,"Chicago is, as all the world knows, the second city in the United States, with a population, in 1890, of 1,099,850. It has a water front on Lake Michigan of 22 miles. Its streets are wide and straight, and its buildings in the business quarter so lofty as to be famous. To name the various public halls, art, educational, literary, and other institutes, municipal and commercial buildings, and state edifices, is to enumerate every kind of structure in any city except a Cathedral, although it has a Bishop. 600 students entered its University in 1892. Its public parks, embracing 1795 acres, form a green band round the city, and afford a continuous drive of 37 miles. Lake Shore Drive, Michigan Boulevard, and Drexel Boulevard, are fine residence streets, with tasteful houses and ornamental gardens. I must not omit to mention the Pullman car works, which constitute a model little town of 11,000 inhabitants, there being five or six thousand operatives in the works. The famous stock yards had no interest for me. Instead, I paid a visit to the University, where my friend Professor Smith was, and I also left my card of introduction at the Bishop of Chicago's City rooms. The trade of Chicago is second only to New York, and in 1892 was of 308 millions sterling value, its manufactures being 117 millions. 21,123 vessels entered or cleared Chicago in 1892, being 25 per cent. above New York. The Illinois Steel Co., of which Mr. W. R. Stirling, of the Brotherhood Council, was the vice-president, employs twelve thousand men, and the M'Cormick Company produces 120,000 harvesting machines annually. The many enormously tall edifices are really steel-framed buildings veneered with stone and brick, the lower ornamental walls being often filled in last. Their height is now limited to 150 feet. The rapid running elevators make the upper stories as accessible as the ground ones. I found it quite easy to have my hair cut twenty stories up without finding it standing on end. The airiness of the position was refreshing. Like New York, Chicago is not its own State capital, that being Springfield, Illinois, a town of only 25,000 inhabitants.",38-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 42-3.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,43.6563,-79.3791,Toronto,"Toronto, Ontario",Canada,Northern America,North America,"This episode and the observation of so much that was British led me to feel myself more at home. Throughout the whole day's experience of place and people I felt I was no longer in the United States, but in a British colony, the visible representations of home relations being the postman, the police, and the Queen Victoria coinage. Shops and places of business are also in their style more English. The ladies are less American in caste and manner, and seem just those we meet in London or Edinburgh thoroughfares. The Queen City, as Toronto is called, is the second in Canada, the population being 181,220. It extends eight miles along the lake, the buildings being substantial and sometimes handsome. The spire of St. James's Cathedral is 316 feet high, and was once the highest in America. At the Queen's Park, a wooded area of 40 acres, stands the massive buildings of the Provincial Parliament, costing £300,000, and the University of Toronto, the finest composition of college architecture in the Western Hemisphere. The main building, designed by Cumberland & Storm, costing £100,000, was burnt in 1890, but has been rebuilt, the architect of the restored building being Mr. Dick, once of Edinburgh, who hospitably entertained me as a friend of Mr. Hippolyte Blanc, R.S.A., and drove me round a good part of the city. 1300 students attend the University and College, and 300 that of Trinity College, an Anglican University.",42-3,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 42-3.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,45.42,-75.6965,Ottawa,"Ottawa, Ontario",Canada,Northern America,North America,"Ottawa was only incorporated as a city in 1854, when it had but 10,000 inhabitants. It was made the capital by the Queen's selection of it as the official capital, in order to end the conflicting claims of Montreal, Quebec, Kingston, and Toronto. Like Washington it has thus had the opportunity to make itself worthy of the position to which it had been raised, and is already one of the handsomest and best kept cities of the Dominion. Like its States sister, too, it is the scientific centre of the country, with the headquarters of the chief scientific societies and collections, while the presence of the Governor-General constitutes it a natural focus of cultivated and fashionable society. The first settler established himself in 1800 on the opposite side of the river—the district now called Hull, with 11,265 inhabitants. Twenty years after he transferred his claim on the subsequently called “Bytown” side—the original name of Ottawa until it became a city. The inhabitants of Ottawa numbered 44,154 in 1891, and must now have risen to 50,000. They are nearly equally divided between French and British and Protestants and Roman Catholics. The Rideau and Chaudière Falls close to the city are very picturesque. The Rideau descends by six locks into the Ottawa River, picturesquely situated beside two bridges at acute angles.",47-8,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 54.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,43.4477,-73.688,Lake George,"Lake George, New York",United States of America,Northern America,North America,"Lake George (New York State), called the Loch Lomond or Windermere of America, is south-east of the celebrated Adirondack Mountains, an area of pleasure resorts stretching 120 miles north and south, and 80 miles east and west. It is 33 miles long, and from ¾ to 3 miles wide, dotted with 222 pretty islands. Its position made it the scene of conflicts between the French and English in the 17th and 18th centuries, and is associated with the romances of Fenimore Cooper.",54,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 54.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,44.5635,-73.3452,Lake Champlain,"Lake Champlain, Vermont",United States of America,Northern America,North America,"Lake Champlain receives the waters of Lake George at its north end, and discharges itself into a Canadian river which flows into the St. Lawrence. Its length is 120 miles, and its width varies from ¼ to 12 miles. It extends a short distance into Canada. There are 50 islands in it, the largest of which is 30 square miles. The Adirondacks are on its west side, and, like its neighbour lake, it was the scene of battles until England obtained possession in 1759. General Abercrombie, Lord Howe, Lord Amherst, and General Burgoyne were prominently engaged in actions along its shores.",54,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 55.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,42.9622,-73.6984,Saratoga,"Saratoga Springs, New York",United States of America,Northern America,North America,"Saratoga is the most noted inland watering place in the States—180 miles from New York, 36 from Albany, and 12 from the Hudson. Its normal population, which is 12,000, is doubled in July and August, when the wealth of the United States is there displayed. Political, legal, and banking conventions are popular. At the battle of Saratoga, in 1777, Sir John Burgoyne surrendered to the Americans. The hotels accommodate 20,000 visitors. One has a dining-room 275 feet long. Broadway, the finest street, shaded by fine elms, is three miles long. A band plays thrice daily in the prettily laid out Congress Spring Park.",55,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
Arthur Giles,"Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time","Arthur Giles, Across Western Waves and Home in a Royal Capital: America for Modern Athenians, Modern Athens for Americans; A Personal Narrative in Tour and Time (London: Marshall, Hamilton, Kent & Co., 1898), 73-4.",London,"Marshall, Hamilton, Kent & Co.",1898,Male,,English,,,1898-XX-XX,,19th century,1890s,38.9043,-77.031,"Washington, D.C.","Washington, D.C.",United States of America,Northern America,North America,"Washington, which has a population of about 190,000, or 203,000 with Georgetown, covers an area of about 12 square miles, and is one of the most beautiful cities in the United States, of which it has been the seat of Government since 1800. Its wide, finely laid out, asphalted streets, leafy squares and circles (some adorned with statues) and its shade tree avenues bearing names of different states, presents a system which deserves the name of city gardening. Pennsylvania Avenue, stretching a distance of a mile and a third, runs from the Capitol to the White House. The Capitol is one of the most beautiful buildings in the world, 751 feet in length, and from 121 to 324 feet wide. The main edifice is sandstone, painted white, but the two wings are white marble. It occupies an area of 3½ acres. The park in which it stands is about 50 acres in extent. Its style is Classic, with Corinthian details. Opposite the central portico on the east side is a colossal statue of George Washington, and on the broad steps in front of the main doorway the inauguration of the Presidents of the United States takes place. The west side, upon which the city has extended, is approached by broad flights of steps, with a fine marble terrace. Sculpture and painting has contributed to perpetuate at the Capitol the political and historical events of the nation. The Hall of Representatives measures 139 feet by 93 feet, and is 36 feet high. There are desks for 352 members and 4 delegates. The size of the Senate Chamber is only 113 feet by 80 feet, the height being the same as the other chamber. It is more ornate than the Hall of Representatives. There are, of course, many Government buildings which were open to us, but the Bureau of Engraving and Printing, for the manufacture of paper money and bonds, and the Treasury Building, with its hundreds of millions of dollars in coin, appealed to the common interest of everyone.",73-4,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/17213/17213.pdf
