Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 7.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,51.30874,45.79746,Volga,Volga River,Russia,Northern Asia; Eastern Europe,Asia,"I started from the church of our holy Saviour of Zlatoverkh, with the kind permission of the Grand-Duke Michael Borissowich and the bishop Gennadius of Twer ;went down the Volga, came to the convent of the holy life-giving Trinity, and the holy shrines of Boris and Gleb the martyrs ; and received the blessing of the hegumen Macarius and the brethren.",44989,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 8.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,56.32686,44.00587,Nijni-Novgorod,Nizhny Novgorod,Russia,Northern Asia; Eastern Europe,Asia,"And the Grand-Duke of all Russia allowed me to leave the country unhindered, and I went on by Plesso to Nijni-Novgorod, to the namestnik Michael Kisseleff, and to Iwan Saraeff, the collector of duties, both of whom let me pass freely.
 
 Vassili Papin merely passed through that town ; but I stopped a fortnight to wait for the Tartar ambassador of Shirvanshah-Assanbek, who was coming with falcons from the Grand-Duke Ivan, ninety in number.",4,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 15.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,46.52513,48.34528,River Buzan,"Buzan River, Astrakhan Oblast",Russia,Northern Asia; Eastern Europe,Asia,"With him I descended the Volga. We passed unmolested through Kazan, the Orda, Ooslan, Sarai, and Berekezany, and we entered the river Buzan. Here we fell in with three godless Tartars, who told us false tidings: -”The sultan Kaissim watches foreign merchants in the Buzan, and three thousand Tartars are with him.""",5,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 16-17.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,46.3586,48.05694,Astrakhan,"Astrakhan, Astrakhan Oblast",Russia,Northern Asia; Eastern Europe,Asia,"Assanbek, the ambassador of Shirvanshah, gave to each of them a coat and a piece of linen, that they might guide him around Astrakhan, avoiding the town. They took the coat, but informed the zar of Astrakhan. I abandoned my boat and crept into the ambassador's with my companions, and we sailed by Astrakhan at moonlight. The zar perceived us, and at once the Tartars cried : “Do not fly;"" and the zar ordered the whole orda to chase us.",5,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 18.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,46.70999,47.97826,Bogoon (Buzan),"Buzan, Astrakhan Oblast",Russia,Northern Asia; Eastern Europe,Asia,"For our sins we were overtaken on the Bogoon (Buzan).
 
 One of our men was shot; but we shot two of theirs. The smaller of our boats ran foul of some fishing-stakes, was seized, and instantly plundered with all my things in her. In the larger we reached the sea, but having grounded at the mouth of the Volga we were taken, and the boat was hauled up again to the fishing-stakes. There they took her and four head Russians, dismissing us bare and naked beyond the sea, and forbidding us to return home because of the news.",6,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 19.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,42.06742,48.28909,Derbend,"Derbent, Republic of Dagestan",Russia,Northern Asia; Eastern Europe,Asia,"And so we went on to Derbend in two boats : in one, the ambassador Assanbek, some Teziks, and ten head Russaks; in the other, six Muscovites and six Tweritians. A storm having arisen at sea, the smaller boat was wrecked on shore. Then came the Kaitaks' and made the whole party prisoners, and we came to Derbend, where Vassily Papin had arrived safe and well, but we robbed. I prayed him and also Assanbek, the ambassador of Shirwanshah, as we had travelled together, to take pity on the men that had been plundered by the Kaitaks near Tarki. And this he did, and went up the hill to Boolat-bek; and Boolat-bek sent immediately to Shirvanshah-bek, to say that a Russian craft had been wrecked near Sarai, and that the Kaitaks coming up had taken the people and plundered their goods. Shirvanshah-bek at once dispatched a messenger to Alil-bek, the Kaitakian Kniaz, his brother-in-law, saying, “A ship of mine was wrecked near Tarki, and thy people arriving seized my people and plundered their goods. Now, for the sake of me, thou shouldest send them to me and recover their goods, for these people are sent in my name. And shouldest thou ever want any thing of me, do thou name it, and I will not refuse it to my brother ; but for the sake of me let them go in liberty.” Alil-bek complied willingly, and immediately sent the prisoners to Derbend, whence they were directed to Shirvanshah in Koytul, his own orda.",45084,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 19, 20.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,40.40926,49.86709,Bakou,Baku,Azerbaijan,Eastern Europe; Western Asia,Asia; Europe,"As for me, I went to Derbend and then to Bakou, where the fire burns unextinguished,",7,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 21.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,39.76808,64.45557,Chebokhara (Bokhara),Bukhara,Uzbekistan,Eastern Europe; Western Asia,Asia; Europe,"...and thence across the sea to Chebokhara (Bokhara). Here I lived six months, [goes on about another city].",7,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 24.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,36.56587,53.05863,Sareh,"Sari, Mazandaran Province",Iran,Western Asia,Asia,"...and one month I lived at Sareh, in the land of Mazanderan,…",7,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
Athanasius Nikitin,"The Travels of Athanasius Niktin, a Native of Twer.","Athanasius Nikitin ""The Travels of Athanasius Niktin, a Native of Twer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. Richard Henry Major, trans. Count Wielhorsky (London: Printed for the Hakluyt society, 1857), 25.",London,Printed for the Hakluyt society,1857,Male,Russia,Russian,English,1466,1469,,15th century,1460s,36.47063,52.34662,Amyl (Amol),"Amol, Mazandaran Province",Iran,Western Asia,Asia,And I lived ...and one month at Amyl (Amol).,7,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067
