Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,40.81114,0.51839,Saragossa,,Spain,Mediterranean; Southern Europe,Europe,"THUS saith Rabbi Benjamin, Son of Jonah, of laudable Memory. I sat out upon my Travels from Saragossa, and had an agreeable Passage on the River Ebro to Tortosa: from whence I went in two Days to Tarracone, which is the modern Tarragona , an ancient City near the Sea, built by the Giants and Javanites ; the Buildings of which are not to be equalled in all the Land of Sepharad.",2,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,41.38739,2.16856,Barcelona,,Spain,Mediterranean; Southern Europe,Europe,"From hence you go, in two Days to Barcelona ; where you find a holy College of wise and prudent Men, who have among them most excellent Presidents and Rulers, namely Rabbi Sefath, Rabbi Schealthiel, R. Solomon, the Son of R. Abraham, the Son of R. Hhafdai, of happy Memory. This is a small yet elegant City, situated on the Sea Shore, and as it lies very convenient for Trade, is frequented by Merchants from all Parts, particularly from the Land of Javan, which is Greece ; Pisa Genoa, Sicily, Alexandria in Egypt, from the Land of Israel, and all the Confines thereof ; from hence you go in a Day and half to Gerunda, the modern Girona, in Catalonia , where you find a small College of Jews.",2,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.18427,3.00307,Narbonne,,France,Mediterranean; Western Europe,Europe,"Three Days after you leave Gerunda, you arrive at Narbonne, which City is the chief of the Law, and from thence the Law flows or is communicated to all Countries, Here you find mod excellent Rabbis, men of princely Rank ; the chief of whom is R Kalonimus, Son of the great princely R. Theodore, of blessed Memory, who according to his own Genealogy, is descended from the Stock and Lineage of David: this Man has large Possessions and Farms, which have been given him by the Lords of that Country, and which Nobody can take from him. Among those of the first Rank must likewise be reckoned R. Abraham, Head of the Sanhedrim, likewise R. Macbir, and R. Jehuda, and many other Disciples of the wise Men like unto them ; there lived in this Place, about this Time, near three hundred Jews.",2,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.34423,3.21579,Beziers,,France,Mediterranean; Western Europe,Europe,"Bedras lies four Parasangs from this Place, where there is a College of the Disciples of the wise Men, the chief among whom are R. Solomon Halaphta, and R. Joseph, Son of R. Nathaniel of pious Memory.",3,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.61076,3.87671,Montpellier,,France,Mediterranean; Western Europe,Europe,"Leaving Bedras, you go in two Days to Montpelier, a Place well adapted for Trade, about two Parasangs from the Sea, much frequented by great Numbers of Edomites and Ishmaelites from every Quarter. FromAl Erva, which is Algarve, Lombardy from mighty Rome, Egypt, Palestine, Greece, Spain, and England, together with the Genoese and Inhabitants of Pisa, so that there are to be found here Men of all Nations and Languages. There are in the fame Place, the mod famous Jewish Philosophers of this present Age, the chief of whom are R. Reuben, the Son of Theodore, and R. Nathan, Son of R. Zacharias, aslo R. Samuel, their Principal ; lastly R. Schelemji, together with R. Mordecai, of happy Memory, Some of them are very rich, and are therefore very bountiful to their poor Brethren, hospitably entertaining them, and manfully standing in the Breach for all those, who place themselves under their Protection.",3,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.67445,4.13536,Lunel,,France,Mediterranean; Western Europe,Europe,"Lunel is four Parasangs from hence, where there is a holy College of Israelites, who study the Law Day and Night. Here some Time ago dwelt our great Rabbi Meschulam, of happy Memory; and in the same Place live his five Sons, who are great Philosophers and very rich, i.e. R. Joseph, R. Isaac, R. Jacob, R. Aaron, and R. Asher, a devout Man, who being separated from all worldly Business, studies the Law Day and Night ( mortifying ) and afflicting himself very much, and never eating Animal Food. This Man is well skilled in the Talmudic Writings. Here you likewise meet with that great R. Moses Gisso, and R. Samuel (Hhasan), R. Solomon the Prieft, with R. Jehuda the Physician, the Son of Tibbon the Spaniard, all the Jews who come to this Place to be instructed in the Law from the most distant Countries are kindly received, and supplied with Food, Cloaths, &c. at the publick Charge. They really are wise and holy Men, diligent Observers of the Precepts ; always ready to assist and protect their Brethren, whether Neighbours or Foreigners. This Place contains about three hundred Jews (whom may the Rock and Redeemer of Israel preserve.) This Town lies two Parasangs from the Sea.",3,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.69298,4.27832,Posquières,,France,Mediterranean; Western Europe,Europe,"From there it is two parasangs to Posquières, which is a large place containing about forty Jews, with an Academy under the auspices of the great Rabbi, R. Abraham, son of David, of blessed memory, an energetic and wise man, great as a talmudical authority. People come to him from a distance to learn the Law at his lips, and they find rest in his house, and he teaches them. Of those who are without means he also pays the expenses, for he is very rich. The munificent R. Joseph, son of Menachem, also dwells here, and R. Benveniste, R. Benjamin, R. Abraham and R. Isaac, son of R. Meir of blessed memory.",4,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.67707,4.4337,Bourg de St. Gilles,,France,Mediterranean; Western Europe,Europe,"Thence it is four parasangs to the suburb (Ghetto?) Bourg de St. Gilles, in which place there are about a hundred Jews. Wise men abide there; at their head being R. Isaac, son of Jacob, R. Abraham, son of Judah, R. Eleazar, R. Jacob, R. Isaac, R. Moses and R. Jacob, son of rabbi Levi of blessed memory. This is a place of pilgrimage of the Gentiles who come hither from the ends of the earth. It is only three miles from the sea, and is situated upon the great River Rhone, which flows through the whole land of Provence. Here dwells the illustrious R. Abba Mari, son of the late R. Isaac; he is the bailiff of Count Raymond.",4,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.67664,4.62777,Arles,,France,Mediterranean; Western Europe,Europe,"Three Parasangs beyond this Town lies the City of Arles, in which are two hundred Jews, the chief of whom are R. Moses, R, Tobias, R. Isaiah and R. Solomon, the great R. Nathan, and R. Abba-Mari, of laudable Memory.",4,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.29648,5.36978,Marseilles,,France,Mediterranean; Western Europe,Europe,"From Arles you go in three Days to Marseilles, in which are many very illustrious and wise Men, insomuch that there are two Synagogues in it ; containing near three hundred Jews each, one of which is rather low, as to its Situation, and hangs over the Sea, Shore, the other is likewise near the Sea, but situated exceeding high on a Fortress, containing a venerable College of the Disciples of the wise men, R Simeon, the Son of R. Antoli, R. Jacob, his Brother, and R. Lebaro, are Governors of the higher Synagogue, and R. Jacob Phirphieno, a very rich Man, R. Abraham and his Son-in-Law R. Meir, R. Isaac, and that other Meir, of laudable Memory, preside over the lower. This Maritime City is very famous for its Commerce.",4,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,44.40564,8.94625,Genoa,,Italy,Mediterranean; Southern Europe,Europe,"From Marseilles you embark for Genoa, another maritime Town, and get there in about four Days. Here live two Jews, R. Samuel, the Son of Celam, and his Brother, they are Natives of Sabatha (which is the modern Vadi) and good Men. The City is encompassed with a Wall, subject to no King, but governed by Senators, who are appointed by the common Suffrages of the People. All the Inhabitants have Turrets on the tops of their Houses, from whence in Times of civil Commotion, they make War upon each other. The Genoese are Lords of the Ocean, having a great Number of light, nimble Ships called Galleys, which are perpetually scouring the Seas for Plunder and Spoils, which they bring back to Genoa.",5,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.72283,10.40168,Pisa,,Italy,Mediterranean; Southern Europe,Europe,"[The Genoese] are at War with the People of Pisa, who live about two Days Journey from hence. This City is very large, ornamented with ten thousand Turrets, from which they annoy their Enemies, and defend themselves, in Time of civil Commotions, like the Genoese. The Citizens are brave Men, subject to no King or Prince whatever ; but are governed by Senators of their own chilling ; there are about twenty Jews in it, the chief of whom are R. Moles, R. Hajim and R. Jofeph, of laudable Memory. The City has no Wall round it, and is four Miles distant from the Sea, but has a navigable River, for the convenience of their Vessels, which runs into the very City.",5,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
Benjamin of Tudela,The Itinerary of Benjamin of Tudela,"Benjamin of Tudela, The Itinerary of Benjamin of Tudela, trans. Marcus Nathan Adler (New York: House of the Jewish Book, 1907).",New York,House of the Jewish Book,1907,Male,Spain,Hebrew,English,1160,1173,,12th century,1160s,43.84307,10.50271,Lucca,,Italy,Mediterranean; Southern Europe,Europe,"Lucca(where there are about forty Jews) lies four Parasangs from Pisa, it is a large City : the most eminent of the Jews, who reside here are R. David, R. Samuel, and R. Jacob.",5,,,Project Gutenberg,https://www.gutenberg.org/ebooks/14981
