Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1917,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,1.3521,103.8198,Singapore,Singapore,Singapore,South Eastern Asia,Asia,"Singapore, with its green lawns and trees, has a pleasant, though humid climate, cooler than that of Batavia, and quite comfortable although so near the equator.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1918,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,35.4437,139.638,Yokohama,Yokohama,Japan,Eastern Asia,Asia,"As we entered the bay of Yokohama the sun was setting over a landscape that realised one's preconceived ideas of the beauty of the country. On one side, low ridges with rows of picturesque pine-trees just as you know them from Japanese prints, while in the background to the west, above the clouds rose the top of Fuji, nearly 4,000 metres above sea-level. We steamed up in absolute calm, while the long twilight was still further prolonged by a brilliant afterglow.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1919,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,35.0116,135.7681,Kyoto,Kyoto,Japan,Eastern Asia,Asia,"Of the many temples I visited in Kioto the first was Chion-in, which lies impressively on an elevation at the foot of a charming wooded hill. The tiny lake at the back of the quaint structure, the peaceful atmosphere, the sunshine, and singing birds—the tout ensemble was inexpressibly beautiful.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1920,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,6.5971,106.806,Buitenzorg,Bogor,Indonesia,South Eastern Asia,Asia,"During the few days I stayed in Buitenzorg, the botanical gardens were a source of ever new delight. It was in the latter half of November and thus well into the rainy season. Usually showers came every afternoon, but the mornings, even up to eleven o'clock, always appeared like spring-time, only in a more magnificent edition than that of temperate zones. In the effulgence of light and the fresh coolness of the first hours of the day, plant and animal life seemed jubilant.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1921,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,7.6145,110.7122,Java,Java,Indonesia,South Eastern Asia,Asia,"The total population of the island is probably 3,000,000. As regards the South and Eastern Division of Dutch Borneo—roughly half of the island—to which my travels were confined, the census returns of 1914 give in round figures a total of 906,000 people, of whom 800 are Europeans (470 men and 330 women), 86,000 Chinese, 817,000 Dayaks and Malays, and 2,650 Arabs and other aliens.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1922,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,3.3186,114.5944,Bandjermasin,Banjarmasin,Indonesia,South Eastern Asia,Asia,"In the beginning of December I arrived at Bandjermasin, the principal town in Dutch Borneo, inhabited for the most part by Malays and Chinese. It is the seat of the Resident of the vast South and Eastern Division and has a garrison. The sea loudly announces its presence here, the tide overflowing much of the low ground, hence the Malay name, bandjir = overflow, másin = salt water. Large clumps of a peculiar water-plant float on the river in Bandjermasin in great numbers, passing downward with the current, upward with the tide, producing a singular, but pleasing sight.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1923,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,2.8448,117.3648,Tandjong Selor,Tanjung Selor,Indonesia,South Eastern Asia,Asia,"Two days later, among mighty forests of nipa-palms, we sailed up the Kayan or Bulungan River and arrived at Tandjong Selor, a small town populated by Malays and Chinese, the number of Europeans being usually limited to two, the controleur and the custom-house manager. It lies in a flat swampy country and on the opposite side of the river, which here is 600 metres wide, lives the Sultan of Bulungan.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1924,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,2,113,Upper Mahakam,Mahakam River,Indonesia,South Eastern Asia,Asia,"On the Upper Mahakam I later made acquaintance with some of the Punans who roam the mountainous regions surrounding the headwaters of that river. Those are known under the name Punan Kohi, from a river of that name in the mountains toward Sarawak. The members of the same tribe further east in the mountains of the Bulungan district are called Punan Lun, from the River Lun, to whom the present individuals probably belonged. According to the raja, there are two kinds of Punans here, and his statement seems to be borne out by the variations in their physical appearance.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1925,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,2.9042,116.9852,Bulungan,Bulungan Regency,Indonesia,South Eastern Asia,Asia,"The controleur told me that his large district, the northernmost part of Dutch Borneo, called Bulungan, comprised ""about 1,100 square miles."" He estimated the number of inhabitants to be about 60,000, roughly speaking, 50 to each mile, but the population here as elsewhere follows the rivers. The Dayaks are greatly in majority, the Malays inhabiting the Sultan's kampong and a couple of small settlements in the vicinity.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
Carl Lumholtz,Through Central Borneo: An Account of Two Years Travel in the Land of the Head Hunters Between the years 1913 and 1926,"Lumholtz, Carl. Through Central Borneo; an Account of Two Years' Travel in the Land of Head-Hunters Between the Years 1913 and 1917. C. Schreibner’ Sons. New York, NY. 1920.",New York,C. Schreibner's Sons,1920,Male,Norway,English,,1913,1917,,20th century,1910s,1.7,115,Apo Kayan,Apo Kayan,Indonesia,South Eastern Asia,Asia,"He expressed his opinion that the government would find it extremely difficult to stamp out head-hunting in Apo Kayan, with its 15,000 Dayaks, because the custom is founded in their religious conception. ""Our ancestors have always taken heads,"" they say; ""we also do it, and the spirits will then be satisfied. We have learned it from our ancestors, who want us to do it."" ""They often ask us,"" the lieutenant said: ""When are you going to leave Long Nawang? When you are gone then we will again take up the head-hunting.""",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/7489,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
