Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.60368,-58.38155,Buenos Aires,Buenos Aires,Argentina,Latin America,South America,"Buenos Aires is now undoubtedly the capital of South America by right of its position , its wealth, its population and its magnificence. The fault of it is that it is too large. Nearly one-fifth of the population of Argentina is to be found condensed in Buenos Aires, and much of it is urgently wanted elsewhere. It has survived all the vicissitudes of early colonization, and lived to complete in another half its destiny as the most magnificent and ""up to date"" of all the cities of South America. It is not a new growth, an upstart, liek many of the mushroom cities of North America. It possesses a history and the respectability which belongs of right to a town owning stirring traditions lasting through centuries. As a town, it belongs to a fine old worl aristocracy, and the same air which pervades Rio de Janeiro is perceptible in Buenos Aires, undestroyed, uncontaminated even, by the busy chaos of telephone wires, electric tram constructions, and other accessories of modern civilization which enclose it as an iron network.","69, 70",,,,,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,791,791,,20th century,1900s,-32.68256,-69.3617,"The Andes, Mendoza Province","The Andes, Mendoza Province",Argentina,Latin America,South America,"From Mendoza there starts a metre-gauge railway (the trans-Andine) up the barren valleys which lead to the Uspallata pass. Over the rising slopes which border the foothills, between stony unprofitable shelves of detritus and a scanty scrub of salt bush and acacia (growing scantier with the rise of the country), the rail runs easily. It might be a tract in the Baluch lowlands, or in the South African Karoo that we pass over-but for the frequent cactus. As we rise higher the hills grow to greatness, the landscape becomes variegated in colour, marbled on the hill-side with splashes of pink where the granite outcrop occurs, and powdery white about the lower slopes. But the prevailing tint is red. Bush there is little or none, but the feathery pampas grass fits itself into cracks and clefts, advertising its existence with waving plumes ; Farther up the line, where it twists in and out of frequent gullies, and breaks into ladder-rail to lift it over steeper grades, the walls of the valley approach each other. The river, smaller and swifter, and no longer meandering from side to side of the flat bottom of a slabsided canon, becomes white with the milky outflow of the glacier, and the stone-strewn sides of the slopes above it stand at steep angles. Now and then a perfect fan, smoothed and rounded, radiates out from a crack in the mountains, and down its steepest slope (just where the water-parting should be) is cut the water-course, defying all ordinary problems of gravitation and offering despair to the topographer. On the whole, I must confess to disappointment with my first view of the Andes. I did not expect Himalayan scenery, but I did expect something of the softer charm which radiates everlastingly from the pine-clad summits of the European Alps.","143, 144",,,,,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-22.90684,-43.17289,Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,South America,"Rio de Janeiro, with its magnificent mountain entourage ; its harbour, which for loveliness of scenery far surpasses any harbour that I have seen (my experiences do not include Australia); its stately and picturesque Spanish streets and general air of old-world and faded splendour, is very typical of the State of which it is the capital. Since the dignified old Emperor Pedro stepped down from his throne to make way for the republic, Brazil has retrograded step by step. This is frankly admitted by Brazilians themselves, although they would not have the Empire back with magmficent possessions of as vet undeveloped natural resources, and a rich heritage of splendid possibilities, the material prosperity, the credit, and the respectability of Brazil has rather diminished than increased. Some of these national assests departed with the Empire, and Rio de Janeiro bears witness to a general downward tendency. It is written largely and plainly all over its dilapitated palaces and evil-smelling boulevards.","68, 69",,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.57806,-58.42653,"Palermo, Buenos Aires","Palermo, Buenos Aires",Argentina,Latin America,South America,"No more perfect drive exists anywhere than the long, palm-bordered drive to Palermo, where the broad roadway is occasionally packed so full of carriages and riders as to render progress at anything but a foot's pace impossible. Fashionable Buenos Aires, at the fashionable hour, circulates chiefly about the Florida, or drifts slowly to the north-west in the direction of the Palermo. It is here that one meets all the most effective dandies and the best-dressed women of the town, and the beauty of the gardens whitch stretch away on either side of the road, the attractions of the racecourse, and of certain sporting accessories, are quite sufficient to justify the popularity of this society migration. Added to other advantages the lighting arrangements by electricity are perfect.",76,,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.56208,-58.45668,"Belgrano, Buenos Aires","Belgrano, Buenos Aires",Argentina,Latin America,South America,"There is much in Belgrano to remind one of Italy. The tall black cypresses, the discoloured and weather-stained red and yellow walls of some of the older places, the creeping plants which cluster on them and hang out their brightest flowers over the copings, the quaint architecture of some of the smarter residences (which are not old at all, but brand new) and the general air of peaceful vegetating idleness are as Italian as are the workmen that one meets in the road, or finds employed in the docks and water-works. Italians are a great force in Buenos Aires. Out of teh 800,000 inhabitants of the city some 300,000 are Italian. But it is very difficult to determine the proportion between the floating foreign population and the permanent colonists.","76, 77",,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.63449,-58.36313,"The Boca, Buenos Aires","La Boca, Buenos Aires",Argentina,Latin America,South America,"There is a back door to the town which is called the Boca. Here swarm the submerged units of this cosmopolitan society, living (or existing) in an atmosphere of squalid poverty. The Boca is the old town. Wooden houses of the old pattern on piles set in the river mud still exist in the Boca. Irregular and overcrowded streets and all the picturesque attributes if a decomposing suburb are to be found a little to the south of the docks by anyone who wishes to study all the aspects of one of the most remarkable cities of the world.",79,,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.64991,-58.3414,The Docks of Buenos Aires,"Dock Sud, Buenos Aires",Argentina,Latin America,South America,"The docks of Buenos Aires form matter of general interest because to a certain extent they represent the weakness as well as the strength of the city, the disadvantage of its geographical position as a commercial port. The difficulty of access is often quoted as a guarantee for the security of the town in case of war. It would be impossible to bombard Buenos Aires from any point attainable by ships of sufficient capacity to effect a bombardment. But military safety hardly compensates for commercial inconvenience. [...] The approach to Buenos Aires from the sea after leaving the coast port of Monte Video is up the broad estuary of the La Plata-- an estuary so broad that land cannot be distinguished on the horizon of its wide red shimmering surface. But in all this width it is difficult to find a channel for oceangoing streamers drawing 25 feet.","79, 80",,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.92049,-57.95356,"La Plata, Buenos Aires","La Plata, Buenos Aires",Argentina,Latin America,South America,"La Plata is in itself a city of exotic growth for which it is difficult to find a satisfactory raison d'itre. It is in many respects a remarkable city. The public buildings are magnificent, and the effect when lit up by a perfect system of electric lighting is superb. A modern writer has described it as ""a city of palaces, plazas, avenues and parks."" It is better designed and better lighted and embellished even than Buenos Aires. Ten million sterling are said to have been spent over La Plata without touching the port. But it has no trade or industry of its own. No busy traffic fills its wide, grass grown, deserted streets. There would be no inhabitants but for Buenos Aires. It is an overflow resovoir for the too abundant business population of the great South American capital, and it exists rather as a suburb-- an inconveniently placed suburb-- than as the self-sustained capital of one of the richest provinces of Argentina, which it was meant to be.","80, 81",,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.34202,-58.59132,Delta between Las Palmas and the Parana River,"Lujan River, Buenos Aires",Argentina,Latin America,South America,"Into the Tigre there flows a broad, flat stream called Las Palmas (or Lujan) which runs more or less parallel to the Parana, leaving a wide space of rich delta between them, intersected by a network or innumerable minor channels and waterways. Here on a Sunday morning a great part of Buenos Aires society loses itself. There are yacht clubs and rowing clubs, and every species of waterside amusement at the end of the 21 mile run by rail from the city, and there is enough space in the woods and gardens of the delta to absorb the whole pleasure-loving population of the city. Within memory of living people this delta was covered by forest and undergrowth thick enough to contain the lairs of the spotted jaguar of South America, which has left its name to the river but is no more to be found in its neighborhood. This is the fruit-growing suburb of the town. Miles upon miles of peach trees, mixed with figs and other fruit, extend in lines along the banks of the streams and canals, well-tended and cared for, and teh amount of fruit that is thrown upon the market from the delta country must be often in excess of the demand, even in this fruit-eating centre. The surface of the river is occasionally covered with the floating debris of the market gardens. A curious population has sprung up in the delta, which, I am told, is an admixture of Basque, Spaniard, and Italian, speaking Spanish and living an easy, indolent life in a sort of Eden which requires but little delving. They are a cheery, good-looking people, bright, intelligent, and contented, taking no great interest in politics, and indifferent to the revolutionary agitaions which occasionally rage around them. The richness of the delta alluvium extends to the districts which border it. It is on Las Palmas that the most productive grazing land in Buenos Aires providence is to be found. It is here that it is possible to put sixty sheep to an acre of grass (one hardly likes to write it down!), and these sixty sheep will live on that same acre all the year round. Cattle raising and agriculture are the backbones of the Argentine industry; the future of the country mostly depends on them.
 
 [Author describes in great detail horse breeding, cattle breeding, and sheep farming]","84, 85",,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
Col. Sir Thomas Hungerford Holdich,The Countries of the King's Award,"Thomas Hungerford Holdich, The Countries of the King's Award (London: Hurst and Blackett, 1904), Hathi Trust.",London,Hurst and Blackett,1904,Male,England,English,,1902,1902,,20th century,1900s,-34.60749,-58.37137,"Teatro Colon, Buenos Aires","Bank of the Argentine Nation, Buenos Aires",Argentina,Latin America,South America,"Can any audience in the world rival that of the Opera House at Buenos Aires for its display of charming toilettes and handsome women? Something of the Old World custom of separating women from men in large assemblies seems still to prevail in South America. At any rate I observed that the women love to place themselves in artistic rows (there is, by the way, one gallery reserved for women only), and admit of no ugly black and white blotches of male attire to interfere with the harmony of their perfect colour arrangements. It almost appears as if each individual unit dressed with a view to the effect of the whole company. And the total effect is brilliant, harmonious, and infinitely delicate and pleasing in colour expression. The opera itself is excellent ; no expense is spared by a music-loving people to obtain the best artists in the world. But that is a detail. No one goes to the Buenos Aires opera merely to listen to the music.",94,,,Internet Archive,https://archive.org/details/countriesofking00hold,,,,,,,,,,,,,,,,,,,,,
