Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 30-1.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-06,,19th century,1830s,39.9399,-75.1656,Philadelphia,"Philadelphia, Pennsylvania",United States of America,Nothern America,North America,"Philadelphia, the reverse of Lisbon, at first presents no beauties; no domes or turrets rise in air to break the uniform stiff roof-line of the private dwellings. And, if I remember right, the only buildings which show their lofty heads above the rest, are the State House, Christ Church (both built prior to the Revolution), a Presbyterian meeting-house, and shot-tower. The city, therefore, when viewed from the water, and at a distance, presents any thing but a picturesque appearance. It is somewhat singular, too, that there should be such a scarcity of spires and conspicuous buildings, there being no fewer than ninety places of worship, besides hospitals and charitable institutions in great numbers. In place, too, of noble piers and quays of solid masonry, which we might reasonably expect to find in a city containing near 140,000 inhabitants, and holding the second rank in commercial importance in North America, there are but some shabby wharfs, and piers of rough piles of timber, jutting out in unequal lengths and shapes, from one end to the other of the river front; and these again are backed by large piles of wood, warehouses, and meanlooking stores... Fifty paces hence, the stranger enters the city, which possesses an interior almost unrivalled in the world. On walking through the fine broad streets, with rows of locust or other trees, which planted on the edge of the causeway, from a most delightful shade, and take away the glare of the brick buildings, he is struck immediately with the air of simplicity, yet strength and durability which all the public edifices possess, while the private dwellings with their neat white marble steps and window-sills bespeak wealth and respectability. The neatness, too, of the dress of every individual, with the total absence of those lazy and dirty vagabonds who ever infest our towns, and loiter about the corners of all the public streets, passing insolent remarks upon every well-dressed man, or even unattended female, impress a foreigner with a most pleasing and favourable idea of an American city. The river in front of the town is about a mile wide, but the channel is considerably contracted by an island which extends nearly the full length of the town, and consequently renders the navigation more intricate. It is prettily planted with trees, and a ship has been run ashore at one end, and converted into a tavern, a house being raised upon the upper deck. It was quite a gala day, numerous steam-vessels and rowing boats, proceeding up the stream to Kensington (part of the suburbs,) and we arrived just in time to see a large ship of 600 tons burthen glide gracefully from the stocks.",30-1,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 75.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-06,,19th century,1830s,39.2981,-76.6095,Baltimore,"Baltimore, Maryland",United States of America,Nothern America,North America,"The city contains upwards of 70,000 inhabitants, and possesses considerable trade, particularly in flour and cotton; every stream in their vicinity being studded with. mills. It is not quite so regularly built, being upon very abrupt ground, as Philadelphia; but contains many excellent streets, and fine market-houses. Ample proofs, too, are given of its prosperity on the shores of the harbour, which resound with the clang of workmen's hammers employed in the construction of numerous ships and steam-vessels.",75,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 83-4.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-06,,19th century,1830s,38.9068,-77.032,"Washington, D.C.","Washington, D.C.",United States of America,Nothern America,North America,"A few hundred paces from the hotel, up the Pennsylvania Avenue, I crossed a small muddy creek, classically denominated the Tiber, and, soon after gained the large iron gates at the entrance of the area within which the Capitol is situated. It is upon a lofty eminence, overlooking the plain upon which the city is built; and several broad flights of steps lead to the principal entrance. The first stone was laid by Washington, during his administration, in September, 1793; but it was not finished to its present state until some time after the conclusion of hostilities in 1815, previously to which the wings only were built of substantial materials, the intermediate space between them, now occupied by the Rotunda, being formed of wood. It was consumed in the conflagration of the public buildings which ensued on the entrance of the British into the city, on the evening of the 24th of August, 1814. It is situated nearly in the centre of the area, which contains 22½ acres of ground, and is surrounded by a low wall and strong iron balustrade, a small shrubbery of low trees being planted within the railing. The western front, towards the city, is tastefully laid out in grass terraces and gravel walks; while on the eastern a garden has been fenced off within an iron railing, to which however every one has free access. The eastern front of the building stands upon higher ground than the western; and, to remedy this defect in the appearance, an earthen terrace was formed at some distance (probably 20 feet) from the basement story on the latter side, which, in addition to answering the primary object, affords, by being underbuilt, excellent cellars for fuel. The entrance, then, is from this terrace into the Rotunda, which is on the second story, and paved with stone, receiving light from the dome, 96 feet above the floor. Its diameter is also the same; and the echo of footsteps along the pavement, or the voices of people conversing, almost equals that in the whispering gallery of St. Paul's. The western side of it is ornamented with four large oil-paintings, by Colonel Trumbull, an officer of the American army, and aid-de-camp to Washington during the revolutionary war.",83-4,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 94-5.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-06,,19th century,1830s,38.7109,-77.0938,Mount Vernon,"Mount Vernon, Virginia",United States of America,Nothern America,North America,"Having hired a horse, I proceeded on my journey to Mount Vernon, the burial-place of Washington. The guide-book told me that “the road to it was uninhabited and difficult to trace;” but setting forth on my pilgrimage, and travelling over a sandy, poor country, I managed tolerably well for the first few miles; until, arriving at the meeting of four roads, I was at a complete non-plus , there being neither sign-post nor living being from whom I might gain further information. Trusting to my horse and good luck, I rode on at a brisk trot for several miles, when, meeting a woman, I discovered that I had taken a wrong road, so struck off at once into the forest; and after losing my temper ten times, and my road twice as often, by an hour after mid-day I arrived at the lodge-gates of Mount Vernon. I was obliged to adopt this inconvenient method of travelling, as the steam vessels from Alexandria, which pass within 200 yards of the house, are not permitted to land passengers, on the plea that great depredations were committed amongst the trees and gardens. The proprietor certainly does not appear to encourage pilgrims to the tomb; the road through the grounds from the lodge to the house being, if possible, worse than the highway, and running for a considerable distance up a deep ravine, and over the rough stony bed of a winter's torrent. It was much the fashion, during my stay in America, for the Volunteer Corps and “Republican Associations of young men,” to make a pilgrimage to the tomb in a body; and the middle and southern States, who never allow an opportunity of having a laugh against their Yankee brethren to escape them, say, that the order forbidding steamers to land their passangers arose in consequence of a gentleman cutting so many walking-sticks from the sacred ground that, upon his return to Boston, he made a good round sum of money by retailing them at a dollar each. The house was originally built by Lawrence Washington pleasant residence during several months. The thermometer frequently stood as high as ninety-six degrees in the shade at Gadsby's hotel: the members of Congress might daily be seen crawling along the Pennsylvania Avenue towards the Capitol, with umbrellas to protect them from the powerful rays of the sun, at ten o'clock; and though receiving eight dollars per day (1 l 14 s. ,) their places were not sinecures, the House only adjourning for an early dinner at two o'clock, and then sitting again until sunset, and once until nine at night",94-5,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 130-1.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-07-04,,19th century,1830s,40.7349,-73.9932,Manhatten,"New York City, New York",United States of America,Nothern America,North America,"So many Americans had spoken to me of the grandeur and magnificence of Broadway, some even asserting that no street in London was superior to it, that I felt very much disappointed, and think that the same comparison might have been more justly drawn with Liverpool. The shops in it certainly cannot vie with those even in the latter town; but, in the number of equipages, New-York excels it, and far outvies London, or any English town, in its hackney coaches, which are so remarkably neat, and even handsome, that a foreigner might be well excused for imagining them to be private carriages. Broadway is throughout the day thronged with gay vehicles and equestrians, and a perpetual stream of that convenient but uncomfortable London Carriage, an “omnibus,” not the least remarkable thing about those in New-York bring that (though every man affects to despise titles and rank) they are all named “Lady Clinton,” “Lady Washington,” “Lady Van Rensselaer,” and others as strangely inconsistent. Sometimes, too, servants in half livery may be seen sitting on the box of a carriage, whose door-pannels are ornamented with a crest. This street is about three miles in length, and eighty feet in width, extending in nearly a straight line from one end of the city to the other. The streets are clean for an American city; but the appearance of the cholera had caused the corporation to exert themselves in attending more closely to the cleanliless of them. Some wag observed, in one of the public prints, that the scavengers had actually dug down to the pavement in one or two places, and that the city was cleansed tho-roughly. Manhattan Island, on which the city stands, and which is formed by the Hudson, the Harlæm, and East rivers, with the bay on the south, is fifteen miles in length, and from two to three in breadth. The Old Town, near the bay, much resembles an English one, but the northern part of it is as regularly laid out as Philadelphia or Washington, and numbers about eighty-seven streets. The wharfs are similar to those of Philadelphia, but not quite so ragged, and extend much farther up the east than the Hudson, or North River, as it is generally called, thus depriving the great discoverer of the honour of giving his name to the noble stream. On the south-west point of the island, overlooking the bay, is a fine public promenade, of from 500 to 600 yards in length, and 150 in breadth, prettily laid out in walks, and planted with trees. In the evenings it is generally crowded with citizens, who assemble to derive the benefit from a pleasant breeze off the water, or listen to a band that frequently plays in the Castle garden, which is connected with he walk by a wooden bridge, upon which, and along the whole extent of the public walk, may be seen various Cockney anglers, of most persevering dispositions. The former promenade is called the Battery, from having in the olden times of the Dutch settlers, or during the Revolutionary war, mounted a few guns; and the Castle garden in a similar manner possesses no garden, nor could it ever have possessed one, being a modern stone fort, with twenty-eight embrasures, built upon a solid rock, which appeared but a short distance above the water. This being an unprofitable kind of investment of funds, has been let by the Corporation to a publican, who has converted it to a much more profitable use, charging sixpence sterling for admission, and giving a ticket, so that the visitor may enjoy a stroll upon the upper platform of the fort, admire the view, and then call for a glass of some liquor at the bar, for which he is not charged any thing. The Battery, nevertheless, is the most pleasant promenade in New-York, and far excels any thing else of the kind in America.",130-1,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 137.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-07,,19th century,1830s,41.3072,-72.9246,New Haven,"New Haven, Connecticut",United States of America,Nothern America,North America,"Having touched at several small towns, we arrived at New-Haven, eighty-six miles from New-York, in six hours and a half. The town having some high bluff rocks rising at the back of it, is situated at the head of a bay of considerable extent, which affords an excellent shelter from the sea, and a small battery, dignified with the appellation of Fort Hale, occupies a point about two miles up the bay. When within half a mile of the pier, the steamer was boarded by a health officer who expressed himself satisfied with the Captain's word that there were no cholera cases on board; so, being permitted to land, I proceeded to an hotel in a large square called the Green, about three-quarters of a mile in circumference. It has three churches in a line near the centre of it, and at a short distance in another line a state-house (which is almost a fac-simile of the Philadelphian bank and a Methodist chapel; while the opposite side of the square is occupied by the large brick buildings of the Yale College. The square as also the streets of the town (which contains 11,000 inhabitants) are planted with fine elm trees, which keep them, however, exceedingly wet and dirty. The college has four houses. for the lodging of the students, 158 chapels, and a Lycæum (in which are the recitation rooms) and possesses an excellent library. It was commenced in 1700, by the recommendation of eleven of the principal ministers of neighbouring towns, who had been appointed to adopt such measures as they should deem fit for the regulation of a college. Its first commencement was held at Saybrook in 1702, and removed to New Haven in 1717. The Hon. Elihu Yale, Governor of the East India Company, being its principal benefactor, his name was bestowed upon it. It is considered one of the best colleges in the States, and from four to five hundred young men study at it.",137,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 163-4.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-07,,19th century,1830s,41.7672,-72.6853,Hartford,"Hartford, Connecticut",United States of America,Nothern America,North America,"The inhabitants of Hartford appear strictly attentive to their religious observances. There are nine or ten churches to 8500 inhabitants; and, on walking out in the afternoon, there was literally not one person to be seen in the streets. Feeling rather ashamed at being apparently the only absentee from divine service, I proceeded a short distance out of the town to the Deaf and Dumb Asylum, which was the first establishment of the kind in the States, and is partly conducted by a gentleman who has the misfortune to be afflicted himself in the same manner. The building is a very extensive one, situated on an eminence overlooking the town, and generally contains from sixty to seventy inmates...The Connecticut River, on whose right bank the town stands, is about 300 yards broad, and connected with the large manufacturing village of East Hartford, one mile distant, by a bridge of seven arches, at which the sloop navigation ceases. The town would be a very handsome one, if a little more attention were paid to the cleanliness of the streets; but, like most American towns, the dirt was six inches deep in them. Grass, rank docks, and other weeds, were growing on every side of the State House and one half the square, which was cut up in every direction, after a heavy shower of rain, by deep ruts and innumerable water-courses.",163-4,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 166.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-07,,19th century,1830s,41.8303,-71.4163,Providence,"Providence, Rhode Island",United States of America,Nothern America,North America,"After a tedious journey of fifteen hours, we arrived at Providence, pleasantly situated on both sides of the river of the same name. On the eastern bank, it is built at the foot of a range of heights which run parallel with the stream, and upon the summit of them are the two large tasteless buildings of the Brown University. An Englishman's ideas of a college are associated with cloisters, antique piles, and black-lettered volumes, and he would fix the seat of the genius of learning in some venerable pile of building which possessed an air of grandeur. He could scarcely reconcile to himself a four-storied, redpainted, brick house as her abode; and would pardon her for taking alarm and fleeing from such a spot, where too her votaries are distinguished by no classical garb. I believe it is rather the case with this College, which does not bear so high a name as that at Hartford or New-Haven, or Cambridge; but, of all the public buildings in America, I thought the colleges were the most tasteless. Steam-vessels and sloops navigate the river up to the bridges, which connect the two towns; where the stream is considerably contracted by the piers which have been thrown out, but immediately above them it expands again into a fine cove or bay of half a mile in width, with neat houses encircling it. The town containing between 16,000 and 17,000 inhabitants is a manufacturing place of considerable importance, and printed calicoes of very durable colours are struck off. In the cotton works many very young children are employed; but there were propositions (as in England, by Mr. Sadler) to limit the number of working hours.",166,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 166-7.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-07,,19th century,1830s,41.8782,-71.3834,Pawtucket,"Pawtucket, Rhode Island",United States of America,Nothern America,North America,"At Pawtucket, four miles from the town on the Seekhonk River, there are twelve cotton, and a variety of other mills. I walked there over the most passable road I had as yet seen, and saw many wagons laden with the raw material, which had been landed at Providence, on their way to the flourishing manufactories. A large new Almshouse is situated upon the same range of hills as the College, built by the bequest of Mr. Dexter, a second Mr. Girard, who also bequeathed an extensive farm in the vicinity of the town for some other charitable purpose, and a fine plot of land to be used as a public parade ground.",166-7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
Edward Thomas Coke,"A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832","Edward Thomas Coke, A Subaltern's Furlough: Descriptive of Scenes in Various Parts of the United States, Upper and Lower Canada, New-Brunswick, and Nova Scotia, during the Summer and Autumn of 1832 (New York City: J. & J. Harper, 1833), 171-2.",New York City,J. & J. Harper,1833,Male,England,English,,,1832-07-18,,19th century,1830s,41.4855,-71.3123,Newport,"Newport, Rhode Island",United States of America,Nothern America,North America,"It appears to be the intention of the American Government to render the harbour impregnable. Fort Adams, which is building upon a point of land, and connected with the town by a narrow neck, was commenced five years since, and is likely to take three more to finish it, though 300 workmen are kept in employ: the annual expenditure upon it is nearly 100,000 dollars. Fort Woolcott is situated upon an island in the centre of the harbour, between Fort Adams and the town. There is another fort upon Rose Island, a short distance above the town, at the entrance to the Naraganset River; while a fourth occupies a rocky point called the Dumplings, at the entrance to the bay, opposite to Fort Adams. The town is a fashionable watering place for the southern people, there being a most extensive and beautiful beach upon the opposite side of the neck to that upon which the town is built, and having the additional luxury of a fine sea breeze, which sets in during the summer months from about nine in the morning until sunset. The surrounding country is rather devoid of trees, a complaint which a traveller will not often have to make in America, but so many are rising up round the pretty residences in the vicinity of the town, that in a few years it will be a most attractive place. After making one or two almost ineffectual attempts at taking a sketch of the town, against which I believe there was neither pain nor penalty attached, I again rose, having rested myself for two hours in gazing upon the scene, and, regaining the road, proceeded on my journey, almost wicked enough to wish that the cholera might pay the inhabitants of New-port a visit, in return for their inhospitable conduct to travellers, and those who were seeking a place of refuge.",171-2,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/0265a/0265a.pdf,,,,,,,,,,,,,,,,,,,,,
