Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols, (London: Printed by William Nicol, 60, Pall Mall, 1850), 3.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1640,,,17th century,1640s,40.36071,28.9072,Port of Brússa,"Mudanya, Bursa, Turkey",Turkey,West Asia,Asia,"It is the port of Brússa, and forms a safe harbour, being closed against the wind from seven points and open only to the North. The anchorage is excellent. At the head of the harbour stands the custom-house, the lease of which amounts to a million aspers. The town is built by the sea-shore, on a low rocky ground...The houses are all faced with brick. There are three mosques (jámí) and seven mesjids, three kháns, one bath, two schools for boys, and two hundred small streets; but no room for reading the Korán or tradition, because the greater number of the inhabitants are Greeks. There are fine gardens producing superior figs and grapes. From the excellence of its vinegar, it has acquired the name of Dárkhill (vinegar-house). South-east of the town we passed on horseback continuously through gardens and the cultivated field called Filehdár. The river Nílúfer, not fordable in the beginning of spring, is a clear stream, which issuing from the mountains Rúhbán, Ketelí and Castel, waters the valley of Fillehdár and disembogues into the White Sea. The main road crosses it over a handsome bridge, each arch of which resembles the arch of heaven...",3,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 52.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1643,,,17th century,1640s,42.17036,41.73794,Fásha River,"Rioni River, Georgia",Georgia,West Asia,Asia,"The Fásha (Phasus) is a great river like the Danube, in some places a mile, in others but half a mile broad, and from eight to ten fathoms deep, fresh as the spring of life; it disembogues in a gulf at the north end of the Black Sea, one thousand three hundred miles from Constantinople. It rises between Mingrelia, Georgia, Thágistán, Kabartaí, and Circassia, from Mount Caucasus (Kúhal-burz), Ubúr, and Sadasha, and passes between Mingrelia and Abáza into the Black Sea. On the east side are the Mingrelian villages, on the west the Abáza; and both shores being covered with thick forests...",52,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 90-91.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1645,1647,,17th century,1640s,40.79931,29.424,Gebíze,"Gebze, Turkey",Turkey,West Asia,Asia,"It lies an hour’s distance from the sea, at the top of a dry mountain; there are about one thousand houses with gardens, in the ancient style, three mosques, the largest of which covered with lead, outshines the mosques of the Vezírs at Constantinople; it was built by Mustafa Páshá, the builder of the bridge called by Sultán Súleimán, the bridge of the illiberal (Namerd), who when governor of Egypt had the finest stones cut in plates to adorn this mosque, and made a stone candelabrum of them, which has no equal in the world. The stones came direct from Egypt to the landing-place of Daríjí, where they were disembarked...Close to the mosque is a Caravánseraï, affording accommodation for three thousand men, and two thousand horses, with a stable appropriated for camels. In the dining-room (dar-ul-ita’ám), old and young men and women dine in plenty; and at the Caravánseraï, every evening, every fire-place is furnished with a dish of soup, a loaf of bread, a candle, and a bag of forage for every horse, ass, mule or camel. A bath is attached to it, covered with lead like all the other buildings of this foundation. Besides this Caravánseraï there are forty large and small kháns, and one hundred and eighty shops, all the work of Sinán; the mosque in the market is an old simple building; the houses are all faced with red bricks, the water of the wells is a little thick, but the air is good.",90-91,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 182.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1647,1647,,17th century,1640s,40.59963,43.09609,Castle of Karss,"Kars, Turkey",Turkey,West Asia,Asia,"At a gun-shot distance on the north side is a high mountain, at the foot of which this fortress rises on a separate hill; the lower castle is situated in the plain, and has five strong walls. The gate of the outer or lower castle looks to the east, and that of the inner or upper castle to the west. There is only the house of the commander, and barracks for the garrison of two hundred men; no bath, market, or any remarkable building. The lower town or suburb is surrounded by two strong walls, and has three iron gates which are adorned with all kinds of armour. One of these gates on the west is the water-gate, also called the gate of the troops, looking towards Erzerúm; the second or middle gate opens to Kaghzmún; the third to the east is the gate of Behrám-páshá, opening towards Eriván. Watchmen keep watch the whole night, lighting torches and lamps. The lower castle is surrounded by a lake instead of a ditch, which encircles it from the middle gate to the gate of Behrám-páshá, and hence it is impossible to get possession of the fortress. There are two hundred and twenty strong towers, and two thousand and eighty battlements; the circumference of the whole is five thousand seven hundred paces. The buildings consist of three thousand houses, forty-seven mosques",182,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 230-231.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1648,1648,,17th century,1640s,39.93803,32.86172,Angora,"Ankara, Turkey",Turkey,West Asia,Asia,"The castle is situated on a high mountain, mocking all assaults, rising in four natural terraces, so that there is a distance of three hundred paces from one enclosure to the other; the height of each wall is sixty cubits and the breadth ten royal cubits; the foundations are all built on vaults. The castle forms an oblong square from east to west. It has four iron-gates one behind the other towards the west, each strengthened behind by iron cages...The colleges are richly endowed, three houses for lectures on tradition, an hundred and eighty schools for boys, two hundred baths, seventy palaces with gardens; all these buildings are of brick not stone, and covered with earth instead of with bricks, six thousand six hundred and sixty houses, and two hundred sebíl-kháneh or establishments for distributing water. The shops are two thousand, and there is an elegant bezestán with four gates with chains; the market places are almost all on elevated spots; the coffee houses and barber’s-shops are always crowded; the public places and streets are paved with white stones.",230-231,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 4.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1640,,,17th century,1640s,40.18724,29.06109,Town of Brússa,"Bursa, Turkey",Turkey,West Asia,Asia,"The town of Brússa having been built towards the North on natural rocks has no ditch, but on the side of the head fountain (Búnár-báshí) and the quarter of the Mills, it has a deep one, which at the time of the Asiatic rebellions of Kará Yazijí, Kallender and Sa’íd Arab was filled up. Some of the stones of the walls are of the size of the cupola of a bath, and some bear Greek inscriptions on them. The town is protected against southerly and easterly winds from its being situated at the foot of Mount Olympus. The houses have a northern aspect and look over the plain of Filehdár. The fortress, the circumference of which is eleven thousand paces, has six thousand battlements, sixty-seven towers, and four gates, viz. the gate of the head fountain, the prison-gate, the hot-baths’-gate to the west, and the gate of the fishmarket.",4,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 15.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1640,,,17th century,1640s,40.11403,29.08974,Ghází Yailá,"Kirazlı Yayla, Bursa, Turkey",Turkey,West Asia,Asia,"...set out from Búnár-báshí ascending during five hours. The first height, Ghází Yailá, is so called because the Moslim victors (Ghází) had a station here during the siege of Brússa, which lasted a whole year. It is a pleasant spot with meadows and chesnut-trees, a small rivulet running through it is full of trout. From this place a full view of the town of Brússa is obtained.",15,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 15.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1640,,,17th century,1640s,40.14018,29.14149,Sobrán Yailássí,"Softaboğan Şelalesi, Bursa, Turkey",Turkey,West Asia,Asia,"Five hours further on is the table-land called Sobrán Yailássí, a large plain with chesnut-woods; trout are also found in the lakes of it; we took a great many of them, and ate them fried with fresh butter; each fish seemed like one of the dishes Jesus multiplied amongst the people (six thousand men). Some hundred thousand sheep graze here...",15,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 15-16.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1640,,,17th century,1640s,40.07034,29.22163,Menzíl Bakajak,"Uludağ Mountain, Turkey",Turkey,West Asia,Asia,"Next day we mounted again in a south-east direction (Kibláh) the road lined with hyacinths, roses, basilicon, and other flowers, the scent of which perfumed our brains. We refreshed ourselves with water from the living spring, and came after three hour’s travelling to the place called Menzíl Bakajak, where we halted three days and three nights in the woods, delighting in fresh fish and roasted sheep... This look-out is on the top of an isolated rock, which stretches towards the town like an elephant’s proboscis and hangs over so deep a precipice that nobody dares look down. From it the plain Filehdár, with all its villages, fields, and cultivated grounds appear, like a picture on paper. It is so steep and prominent that the great mosque, the castle and bezestán of Brússa seem as it were sinking into the base of the mountain, and from the summit cannot be seen at all. Rocks towering to the sky take the appearance here of many strange shapes, such as dragons, elephants and eagles. We mounted still further in the direction of the Kiblah through flowery meadows, where no tall trees were to be seen, and after five hours came to the station of Sultán Suleïmán’s fountain-head. A delightful spot with a spring of water so cold that a man cannot take out of it three stones in succession. There is here a large mass of rock the size of the cupola of a bath, which vibrates on being touched, and also many rivulets containing trout of one or two becas each.",15-16,,,,,,,,,,,,,,,,,,,,,,,,,
Evliya Çelebi,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 30.",London,William Nicol,1850,Male,Türkiye,Arabic scripted Ottoman,English,1640,,,17th century,1640s,40.75856,29.38807,Darija,"Darica, Turkey",Turkey,West Asia,Asia,"...Darija, a square castle on a chalk cliff eighty miles from Constantinople. This castle is built of stone, has one gate, which looks on the harbour, thirty houses faced with brick, one mosque, but no market or bath, and neither commander nor garrison. It is said to have derived its name from the children of Darius, who were imprisoned here in a cave; it was conquered by Mahommed I. in the year 827 (1423), is ruled by a Súbashí and belongs to the district of Gebízeh. Below the castle there are three hundred neat houses faced with brick, a mosque, a khán, a bath, and small streets; its harbour is the port of Gebízeh. At an hour’s distance from here the road to Erzerúm and Baghdád passes through mountains.",30,,,,,,,,,,,,,,,,,,,,,,,,,
