Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1583,1585,,16th century,1580s,"4,097,486,803","2,905,514,347",Calcedonia,Kad?köy,Turkey,Western Asia; Mediterranean; Southeast Europe,Europe; Asia,Mentre q[ues]to Padre stava in Costantinopoli con certe occas[io]ni fece alcune scorse nel Asia che sta al rimpetto di detta Città et da moderni è detta Natolia al antica Città di Calcedone dove fu fatto quel conseglio universale la quale hoggidi è restata un Casale de greci un poco piu dentro in terra scorgendose le sue moraglia nel lito del mare.,158,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1583,1585,,16th century,1580s,"4,102,658,035","2,901,641,363",Scutari,Üsküdar (Istanbul),Turkey,Western Asia; Mediterranean; Southeast Europe,Europe; Asia,Ando ancora a Scutari terra grandiss[im]a et popolatiss[im]a quasi tutta da Turchi soli habitata.,"158, 159",,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"4,046,826,558","2,906,200,246",Bosforo,Bosphorus Strait,Turkey,Western Asia; Mediterranean; Southeast Europe,Europe; Asia,Nella partenza di Costantinopoli navigò per il Bosforo sopradetto ch’e come un canale per il q[ua]le l’acqua del mare maggiore entra nel Arcipelago passando per la Marmora et dura diciotto miglia da Costantin[opo]li,158,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"4,210,205,404","2,794,428,644","Gattopoli
",Ahtopol,Bulgaria,Southeast Europe; Balkans,Europe,Smontò alcune volte in terra in alcuni luochi dove erano anticam[en]te famose città et hoggidi restano casali come sono Gattopoli Sissopoli Verduizo Misenbria il cui Metropolita haveva conosciuto in Costantin[opoli] et era suo grande amico benche di la era stato scacciato et dato ad un altro credo da Batt[ist]a patriarca che ne haveva venduti m[ol]ti.,159,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"4,320,637,284","2,790,719,649",Varna,Varna,Bulgaria,Southeast Europe; Balkans,Europe,Seguita poi Varna et Pongola et Prossavizza luochi tanto abbandonati che trovorno darsi quindici ovi di gallina per un aspro che vale sei quattrini romani et le galline due aspri l’una et quattro aspri un metro di vino di capacità di quattro fiaschi.,159,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"4,418,270,375","2,863,381,641",Costanza,Costanza,Romania,Southeast Europe; Balkans,Europe,[...] smontorno ancora in un casale dove era stata la nobile città di Costanza nelle ruine della quale faceva cavare belliss[i]mi marmi grandi con speranza di trovarvi un tesoro un certo Turco ricco di quel Paese,160,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"4,518,264,033","2,927,011,947",Bocca del Danubio,Danube Delta,Romania/Ukraine,Southeast Europe; Balkans; Eastern Europe,Europe,Entro poi con con grandiss[im]a difficolta nella bocca del Dannubio passando per la Valacchia et per la Moldovia ritrovando di qua et di la del fiume legni come forche piene di carne di morene secche per viliss[im]o prezzo vendendosene una grande intiera quanto uno huomo per sessanta aspri cioe uno scudo che dentro tiene quase un barrile di caviaro si come piu diffusam[en]te ha scritto nei libri dei suoi viaggi.,160,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"4,715,767,572","2,758,462,989",Giassi,Iasi,Romania,Southeast Europe; Balkans,Europe,Nella Moldova si fermo qualche giorno in Giassi dove ritrovo quasi tutti i christiani latini dei quali in quei due principali del Mold[ova] et Valachia erano pochi anni sono in grandiss[im]o num[er]o e[ss]ere passati per mancam[ent]o di sacerdoti latini al rito greco fino alli mercanti da Sio et d’altri luochi d’Italia o vero in buona parte per non restare senza culto divino. Cerco questo P[adre] di dire la messa et e[ss]endo condotto in una chiesa latina la trovò profanata da Ministri lutherani che spesso venivano a quel luoco p[er] servitij degli Artigiani che sono quasi tutti Thedeschi overo Ungari lutherani; era piena di bandera per attorno alle mura et nel pavi[men]to seppolture con bastioni impennacchiati et trombe scolpite et arme di varie famiglie et queste sono le croci et le imagini de lutherani. [...] Fu proposto a q[ue]sto P[adre] dal sig[no]r Bartholom[e]o Bruti huomo honoratiss[im]o et chariss[im]o al sig[nor] Prencipe di quel luoco et da certi mercanti Siotti nobili che s’egli si contentava di stare ivi per aiuto de’ latini et di quei Moldavi l’harebbono per mezzo del Prencipe fatto creare vescovo di quel luovo dove vacava quella sedia per m[ol]ti mesi con gran danno dei popoli; il che subbito ricuso il P[adre] ma privatam[ente] ci sarebbe restato s’havesse havuta licentia dal suo superiore poiche si parla quasi da tutti in latino et la lingua del paese et la Valachia e mezza latina et volgare imbastardita con qualche parola che vi hanno portato li calogeri i Mercanti et i Principi trattenendosi ivi tre overo cinq[ue] giorni.,160,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"487,022,471","2,658,618,354",Caminizza,Kamianets-Podilskyi,Ukraine,Eastern Europe,Europe,[...] passando per Caminiza nella Podolia ivi si fermo al quanto et ci disse messa dove era conosciuta et amata la Comp[agni]a credo per haverci fatto missioni.,161,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
Giulio Mancinelli,"Historia della 
vocatione et 
peregrinatione","Giulio Mancinelli, ""Historia della vocatione et peregrinatione,"" Unpublished manuscript, Archivum Romanum Societatis Iesu.",Unpublished,"ARSI, Vita 42",unpublished,Male,Italy,Italian (17th century),,1586,,,16th century,1580s,"4,984,626,655","2,401,641,747",Leopoli,Lviv,Ukraine,Eastern Europe,Europe,[...] Se ne venne a Leopoli Metropoli della Russia dove fu alloggiato da quello Arcives[cov]o con m[ol]ta charità et vi si fermo intorno ad un mese facendo q[ua]lche frutto in quella Corte et con altri amici del che quel Prelato molto si compiaceva et se ne gloriava dicendo agl’altri habemus homine[m] sancut[m] domi et per tutto quel tempo si confesso da lui ma occorrendo ammalarsi per le scommodità patite se ne ando a Hieroslavia [...].,162,,,Archivum Romanum Societatis Iesu,,,,,,,,,,,,,,,,,,,,,,
