Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 4-5.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,18.3531,-64.945,St. Thomas,"Saint Thomas, U.S. Virgin Islands",United States of America,Nothern America,North America,"The scene on shore that evening and next morning was certainly astonishing enough. All that the power of wind could do had, it seemed, been done. An avenue of tall cocoanut palms before an unchurchlike Lutheran church was destroyed, the huge and beautiful fronds, being either rent off, or torn into ribbons, hung down in long weepers. Whole streets were blocked up with every kind of furniture, mingled with great stones, fragments of ships, timbers, and branches of trees. The top of one huge barricade was surmounted by half a piano, and a merchant's counting-house displayed a great hole, through which a ship's bowsprit had been driven—much to the discomfiture of the clerk inside—by the great tidal wave which had accompanied the cyclone. In places by the sea-shore huge fires were burning, and beside these, dead bodies were being landed, nailed up in rude chests, and carried off for burial. A local Roman Catholic clergyman, amid the general paralysis, worked gallantly under the burning sun recovering bodies in the harbour. He manned a boat with some of his black sheep , went out with crucifix and holy water, and disputed with the sharks for the possession of the corpses. The air of St. Thomas, as may be supposed, infected with the taint of dead bodies floating in the harbour, or concealed under the ruins, was anything but pleasant or healthy. In fact, St. Thomas is, under any circumstances, little better than a pest-house, and is seldom free from yellow fever.",4-5,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 7.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,17.4957,-62.9767,St. Eustacius,Sint Eustatius,Caribbean Netherlands,Caribbean,North America,"We then steered straight for Saba, whose lofty volcanic cone, truncated at the top, with St. Eustacius, another extinct volcano, behind it, presents a magnificent appearance. Saba rises in immensely steep slopes from the water's edge, and is green and beautifully fertile. This islet belongs to the Dutch, and contains about 1,500 people, mostly belonging to the Anglican Church. The inhabitants bear a good character for industry. They are visited annually by the English Bishop of Antigua, but so great is the difficulty of landing, that his lordship has never effected it without a ducking. There is no resident clergyman, but the Dutch Governor holds 8 some sort of commission from the Anglican Bishop to read the Scriptures, conduct public prayer, and bury the dead. A queer kind of compact exists between the Bishop and the Methodist preachers of St. Eustacius, by which the former binds himself not to visit that island, if the latter keep clear of Saba—a provision rather cruel to the St. Eustacians!",7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 8-9.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,17.3395,-62.766,St Kitts,Saint Kitts and Nevis,Saint Kitts and Nevis,Caribbean,North America,"The solitary Swedish possession, the Isle of St. Bart, next appeared in the far distance; and the scenery as we approached St. Kitts, and saw the cloud-capped volcanic mountain of Nevis behind, became continually more and more beautiful. St. Kitts looks very pretty from the sea. A zone of rich cultivation runs round the island, sloping gradually upwards to a zone of forests, overtopped by the offsets and central peak of the volcanic Mount Misery. We reached St. Kitts a little before sunset, and, going ashore, I had time to explore the ruins of Basseterre, the capital and only town, which had lately been destroyed by fire. Here stood the one fine Anglican church of all the West Indian Islands. The shell alone is left, but this is enough to show that it had been a really noble and striking edifice, solemn, massive, well adapted to the climate, and thoroughly church-like in appearance. The architect was Mr. Christian. It is built of a dark reddish-brown stone, with a massive tower, nave, aisles, and chancel. The bells, stained glass, lectern, and, indeed, all the internal fittings, except a pavement of Minton's tiles, had fallen a prey to. the flames. Almost the only houses which escaped the conflagration were those cut off from the rest by a pretty public garden, where 9 a fountain plashing amidst bowers of sweet roses presented an unexpected, and certainly an un-English and un-Colonial, bit of civilization. St. Kitts, or St. Christopher, has its name from its great discoverer, Columbus.",8-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 9.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,17.0731,-61.8163,Antigua,Antigua,Antigua and Barbuda,Caribbean,North America,"Re-embarking at night, I woke next morning off English Harbour in Antigua, just in time to see the Bishop and his amiable family going ashore; his lordship being then on his way back from the Anglican Synod at Lambeth. Antigua is less fertile and less beautiful than most of the other Lesser Antilles, consisting chiefly of dry, rounded hills, of no great elevation. The capital, St. John's, I did not see, as it lies on the opposite side of the island. It boasts of a cathedral church, which, to judge from a picture, must strongly resemble a third-rate town-hall. Antigua is remarkable for one production only, its pineapples, which, especially the black variety, are delicious in the extreme.",9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 10-14.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,15.3082,-61.3802,Roseau,"Roseau, Dominica",Dominica,Caribbean,North America,"This was Roseau, the capital of Dominica, or Sunday Island, so called by Columbus because he discovered it on the Lord's day. I landed on a rotten quay, half ruined by a great ocean wave coincident with the recent hurricane at St. Thomas's. A rumour of that catastrophe had already reached Dominica by a sailing-craft, and the quay was thronged by crowds of negroes and creoles, all open-eared to hear the news. I was detained nearly half-an-hour giving an account of the scene of destruction I had witnessed; and it was past midnight when I found myself ensconced in bed in a house of entertainment kept by an old black widow, who proved a kind-hearted and obliging person. The house was built of wood, and was not particularly weather-tight, as I found to my cost during a tremendous shower of tropical rain which fell shortly before daybreak, The following morning, however, was fine; and a blazing sun and blue sky set off to advantage the marvellously rich vegetation in which Roseau lies embosomed, and by which, indeed, it is partly overwhelmed. The town, or rather city, for it is the seat of a Roman Catholic bishopric, presents a curious picture of soft and gentle decay. The island being, in a financial point of view, well nigh ruined, trade has almost entirely deserted the capital. The houses, which are most of them mere wooden shanties , raised a little way from the ground upon stone piles, are either falling or fallen into decay, and the sites of many are overgrown with trees and brushwood. The city was originally well laid out, with straight streets crossing each other at right angles, but, with one or two exceptions, they are now covered with grass, which is kept cropped beautifully short by sheep or goats, which pasture before their owners' doors. At intervals, majestic sandbox and other trees raise their gnarled trunks from the footways. A few general stores and merchants' offices upon the quay, and in one adjacent street, seem to engross all the business of the place: all else, saving only a noisy Methodist meeting-house, is as quiet as Venice. Saving only two venerable gigs, there are no wheeled carriages in the island. A soft melancholy seems to pervade the whole place...The market at Roseau, to turn to more legitimate traffic, is but poorly supplied with fish by reason of the great paucity of boats and fishermen, but fruit is brought in in great variety and abundance. The cookery at my boarding-house was very tolerable, and perhaps better than what could be had at a house of similar pretensions in England: the principal difference being, that instead of Susan's hair, one found Quasheba's wool in the dishes. The situation of the city of Roseau is lovely in the extreme. It occupies the seaward portion of a little triangular plain, the delta of a small river. 14 At one end of the town is a pretty savannah abutting on the public cemetery, and surrounded by dilapidated shanties; at the other end is the river, which, rushing down from a beautiful mountain valley behind, finds its way to the sea between the mahogany legs of numerous negress washerwomen, and over the bodies of squads of happy little blackamoors who lie soaking in the clear sweet water, with their black noses sticking out like so many little sucking hippopotami. A mile up this river I found a most delectable bathing-place, where one can get a header into deep water from a rock, and be carried down by the swift, clear current to a bank of sand below. Half a mile behind the town the hills begin to rise, and swell upwards into lovely peaked mountains, clothed with dense forests to their very summits. Following the river up from the plain, the scenery is of exquisite beauty. The road, constructed of old by the French, but now well-nigh overgrown, keeps alongside and above the stream, which dashes below over a thousand rounded boulders torn from the hills above.",45213,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 19-22.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,14.7434,-61.1764,St. Pierre,"St. Pierre, Martinique",France,Western Europe,Europe,"The wind kept shifting all day, and we were sometimes becalmed; so at length I betook myself to one of the boats along with the captain and two of the crew, and about five arrived at St. Pierre, the commercial capital and largest town in Martinique. Had I come by the steamer I should not have been allowed to land at all, as all communication was cut off from St. Thomas, as an infected port. Abolished in France, the passport system still flourishes in Martinique, and before dinner I was compelled to deposit the passport I had obtained from the governor of Dominica at the bureau of the police. I found tolerably comfortable quarters at the Hôtel des Bains, but the cuisine was far from good. The spécialité was palmice , the centre of the top of a kind of cabbage-palm, an excellent dish, which in colour and flavour somewhat resembles seakale. St. Pierre is a pretty and pleasant town, thoroughly French in character. It stands on a strip of land between the sea, and lofty, and, in some places, almost precipitous, hills, and it partly ascends the lower slopes of the latter. There is a pretty little promenade shaded by tamarind-trees close to the sea, and another higher up is shaded by fine mangroves. There is no regular harbour, but the bay affords a tolerably safe anchorage. The trade is considerable. The streets are well laid out and contain fairly good shops. There is generally an air of quiet respectability and homeliness about the whole place which is very pleasing. A small theatre is occasionally open, and the young men have an excellent amateur musical society. Water is abundant, streams of it conducted from the mountains running rapidly through every street, and occasionally jetting up in fountains. At one end of the town a swift torrent finds its way to the sea. Above, in a lofty and beautiful situation, stands the College, where a large number of the boys and young men of Martinique and Guadaloupe receive their education. This institution appears to be in excellent order and flourishing condition. It contains a small museum, a pleasant garden, and a splendid swimming, bath, which the pupils appeared to enjoy amazingly....The view from the signal-station on the lofty hill above St. Pierre is rich and beautiful beyond description, and the scenery altogether justifies the title which the French have applied to Martinique of the “Queen of the Antilles.” A small steamer plies between St. Pierre, the commercial capital, and Port de France, the military capital and seat of Government, and performs the voyage in about a couple of hours. The coast all the way is very pretty, the eye sweeping over snug shingle-roofed villages, peeping out from dense groves of cocoa-nut palms, to the lofty “Pitons” or sugar-loaf mountain peaks above. The rocks in places form precipices, which exhibit their volcanic origin.",19-22,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 23-5.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,14.6059,-61.0692,Port de France,"Fort-de-France, Martinique",France,Western Europe,Europe,"Port de France is situated in a wide and deep bay, extending far into the land, and forming a magnificent anchorage. The harbour, in fact, is unrivalled in the Antilles. It is astonishing that England should have restored Martinique to France, seeing that it lies immediately between Dominica and St. Lucia, islands of less value, which she retained. It would be invaluable in time of peace as a packetstation, and in time of war as a rendezvous for the Queen's ships. The great fort presents a very imposing aspect from the sea, but, with the present calibre of artillery, would probably not be near so formidable as an entrenched earth-work citadel upon a lofty hill about a mile inland. The streets of the town are laid out at right angles to each other, and are clean and well watered with runnels upon either side, but they have somewhat of a deserted look. At one end of the town is the Savane , which is to Port de France what the Champs Elysées are to Paris, or the Esbeykeyeh to Cairo. It is a large and beautiful public promenade, shaded by grand trees, open to the sea in two directions, and commanding a lovely view inland of the forest-clad peaks of the “Pitons.” In the centre stands a fair white marble statue of unhappy Josephine, a native of Martinique. She is represented looking across the lovely bay to her quiet birthplace amongst the green cane-fields, and holds in her hand a medallion of her base betrayer, Napoleon le Grand. Twice a week the Savane is enlivened by a military band, when a good opportunity is afforded of seeing some of the Martinican belles, who certainly sustain their reputation for uncommon beauty. Round the Savane stand the residences of the Governor and the General, together with the various public offices. Near the military harbour are some magnificent sablier or sandbox trees of surprising height and girth. Hard by is a new and splendid dry dock, large enough to contain vessels of the first-class; and vessels of the Royal Navy and Royal Mail Steam Company are sometimes compelled to avail themselves of its advantages to clean and refit. The harbour generally displays one or two French war-steamers, and some of the packets of the line which plies between St. Nazaire and Cayenne...At the end of the town opposite to the Savane a river joins the sea, and immediately beyond a magnificent fountain of water dashes down the staircased side of a precipitous hill-bank. The stream is brought by a subterraneous aqueduct from the mountains, and rushing forth in great volume from a semi-cupola, tumbles in a succession of waterfalls to the river. This fine work resembles in no small degree the fountain of S. Paolo on the Janiculum at Rome. It is called the “Canal de Gueydon,” having been constructed in 1856 by a Governor-General of that name. The view from the top is lovely, commanding the whole town, the harbour, the bay, Fort St. Louis, and the opposite mountains. Notwithstanding the presence of a small garrison and its being the seat of Government, there is little life stirring in Port de France, but it is a pleasant, civilized little place, and the whole island is apparently far better governed than any of those belonging to the English.",23-5,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 28-9.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,14.0098,-60.9901,Castries,"Castries, St. Lucia",St. Lucia,Caribbean,North America,"After a very agreeable visit to Martinique, I proceeded to Barbados, touching en route at St. Lucia, an English island, with which I had afterwards several other opportunities of making acquaintance. On this occasion I had only time to view the capital, Castries, which is prettily, if not very healthily, situated at the end of a bay, which, once entered, affords an excellent and safe anchorage for ships. The town is pretty; but as dull and stagnant as its own ditches. The people generally speak a French patois. The “French” or rather Roman church stands in a shady square, which boasts of a fountain and walks shaded by fine trees. The paltry edifice belonging to the Anglicans stands on a little knoll, which rises from a swamp outside the town. Venomous serpents are so numerous as to preclude the idea of evening services. To minister to the handful of semi-Presbyterianized Anglicans, one of the ablest and best-informed Churchmen in the diocese has been appointed, as to a penal settlement. This is one of the penalties of being “high” without being “dry” in a West Indian diocese! Upon the “Morne,” a mountain high above the town of Castries, is a deserted barrack and the residence of the administrator of the Government. The view from this elevated spot is exquisite in the extreme, and the prospect along the coast reminded me of many scenes in the Riviera between Nice and Genoa. Far off across the flashing strait gleam the distant mountains of Martinique. Behind, all is mountains, with deep valleys between. Peak rises behind peak, and each is fringed to the very summit by the greenest of green forests. The worst of looking at views in St. Lucia is that, in your ardour for the picturesque, you are likely enough to sit down on a snake. Fatal accidents are of continual occurrence. The snakes even enter the precincts of the town, and yet no reward is offered for their destruction.",28-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 30-2.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,13.1023,-59.614,Bridgetown,"Bridgetown, Barbados","Bridgetown, Barbados",Caribbean,North America,"Bridgetown, the capital of Barbados, occupies the flat shore of a slight indentation in the coast, which is dignified by the name of Carlisle Bay. Seen from the anchorage, with the “villa-built residences” of Fontabelle on the left, and the barracks and trees of the barrackyard on the right, and with a background of cane-fields sloping backwards to the highest part of the island, the view, though utterly untropical, is not otherwise than pretty. But any favourable illusion is immediately dispelled upon landing. I have been at Suez, I have been at Southport, and I have been at Bognor; but a town so detestable in all ways as Bridgetown I have never beheld. Built upon no particular plan, its dirty lanes are continually blocked with sugar-drays and other vehicles....There is not a decent street or a passable building in the town. A pretty drinking-fountain, indeed, was sent out from England, and erected in an open space, but for some reason known to the “powers that be” alone, it is always dry. In another open space, defiled by heaps of rubbish and two or three squalid hovels, stands a statue of Nelson, painted with exquisite taste of a bright pea-green colour! This space is called Trafalgar Square; and it is an article of the Barbadian creed that it rivals “the finest site in Europe.” At this point a little muddy creek runs up into the land, and in wet weather receives a driblet of fresh water from the upper country. The upper part of the creek, near the Rectory and the General's residence, forms an unwholesome little swamp, overgrown with dwarf mangroves, and emitting an indescribable stench when, at low tide, it is exposed to the rays of the tropical sun. Two hundred years ago Ligon complained of this creek, that it “vented out so loathsome a savour as cannot but breed ill blood;” and it will probably be two hundred years more before the modern Bims will bestir themselves to abate the nuisance. The chapterless cathedral and parish church of St. Michael stands in this neighbourhood. It is a big ugly pew-rented church, without any architectural features whatsoever. There is no cathedral service, but the old “parson and clerk duet” of the last century still prevails. What little singing there is, is “done” by a few quavery “ladies and gentlemen of the congregation,” stuck up in a west gallery, for flirtation and observation. The daughter churches—here called chapels—are, with one exception (St. Leonard's), even more hideous than their particularly plain mother. The creek already named is crossed by a bridge, which may possibly be finished in the course of a century or two. It is the successor of the original wooden bridge from which the city derived its name, the more picturesque name of St. Michael's being now applied only to the parish. Below the bridge, narrow quays extend as far as the sea. Here lighters are being continually filled with sugar and rum for conveyance to the ships, which are compelled to lie at anchor in the roadstead.",30-2,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
Greville John Chester,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Greville John Chester, Transatlantic Sketches in the West Indies, South America, Canada, and the United States (London: Smith, Elder & Co., 1869), 36-7.",London,"Smith, Elder & Co.",1869,Male,England,English,,,1867,,19th century,1860s,13.1626,-59.5541,Barbados,Barbados,Barbados,Caribbean,North America,"It is hard to give a readable description of a place which in great measure is physically so tame and uninteresting as is Barbados, but the attempt shall nevertheless be made. The island, which is twenty-one miles long by fourteen in breadth at the widest point, resembles in shape a shoulder of mutton, the thin end being towards the north. It is divided into eleven parishes, most of which are again divided ecclesiastically into chapelry districts. The geological structure of the island is curious, and deserves a closer investigation than it has received. Unlike the rest of the Antilles, it presents no traces of igneous origin or volcanic formation. At least three-fourths of the island—all, i.e. except the so-called “Scotland district”—is formed of reefs of coral rock, which rise in successive terraces from the south and west towards the east and north, the former being evidently those which were the last upheaved. Upon these terraces of coral lies a deposit of brown or black soil, the remains of the forests, which, before its settlement and cultivation, everywhere covered the island. This soil is of great richness, and notwithstanding the destructive practice of burning the trash of the sugar-canes year after year, seems still of exuberant fertility. Latterly, however, guano has been used to a considerable extent, and without artificial stimulus the soil can scarcely be expected to hold out for many years longer. The expanses of ground lying upon the successive rock-terraces are of a plain or gently undulating character, and present to view wide tracts of undivided cane-fields, and yam and sweet-potato grounds, dotted here and there with the wooden shanties of the labourers, and the estate-houses and mills of the planters, with their tall chimneys, and groups of three or four cabbage-palms. But for these last the beholder might almost fancy himself in Lincolnshire: nothing can be uglier or more prosaic. There are no hedges or other divisions between the cane-fields; and, except the few around the estate-houses, scarcely a tree is to be seen. From these plains rise the grey terraces of coral rock, which bound the prospect in that direction, and which often form steep precipices, at the foot of which the waves of the ocean probably beat in the successive ages of their upheaval.",36-7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/01403/01403.pdf,,,,,,,,,,,,,,,,,,,,,
