Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,77.6192349,-42.8125967,Greenland,Greenland,Greenland,Arctic Region,North America,"GREENLAND lies but forty miles to the West of Iceland, beginning from 59° 50´ North Latitude. The Eastern coast extends itself in the North as far as Spitzbergen, between 78° and 80°; which is thought to be an island, separated from the continent of Greenland. The Western shore is discovered as far as seventy odd degrees. Whether it be a large island, or borders upon countries to the North, is not yet found out; there seems great reason to believe it is contiguous to America on the North West side; because there we meet with the bay or inlet, which in the sea charts is called Davis’s Straits, from an Englishman, who in the year 1585 was the first discoverer of it; and is yearly frequented by ships of different nations, on account of the Whale Fishery: but nobody as yet has been able to find out the bottom of it.",2,Of the Situation and Extent of Greenland.,1,Project Gutenberg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,60.2761751,-44.0675789,Baal River,Nuup Kangerlua,Greenland,Arctic Region,North America,"Greenland is a high and rocky country, always covered with ice and snow (except on the sea side, and in the bays or inlets) which never thaws nor melts away. You may judge of the height by the prospect they yield at more than twenty Norway miles distance from the shore. The whole coast is surrounded with a vast number of large and small islands. There are a great many inlets and large rivers to be met with, among which the principal is called Baal’s River, in 64°, and has been navigated eighteen or twenty Norway miles up the country; where the first Danish lodge was settled in the year 1721.",5,,,Project Gutenberg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,65.4175454,-52.8967885,West Bygd,[Maniitsoq],Greenland,Arctic Region,North America,"The ancient historians divide Greenland into two parts or districts, called West Bygd, and East Bygd. As to the West district, which is said to have contained four parishes, and one hundred villages, all we find in the ancient histories amounts to this, viz. that in the fourteenth century it was sorely infested by a wild nation called Schrellings, and laid so waste, that when the inhabitants of the Eastern district came to the assistance of the Christians, and to expel the barbarous nation of the Schrellings, who were fallen upon the Christians, they found to their great astonishment the province quite emptied of its inhabitants, and nothing remaining but some cattle and flocks of sheep, straying wild and unguarded round about the fields and meadows; whereof they killed a good number, which they brought home with them in their ships.",12,,,Project Gutenberg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,70.46667,-22.41667,Bay of Good Hope,Cape Hope,Greenland,Arctic Region,North America,"In the great Bay, which in the sea charts goes under the name of Baal’s River, and at present is called the Bay of Good Hope (from the Danish colony settled near the entrance of this inlet), there are on both sides of the colony many good pieces of meadow ground, for the grazing and pasturing numbers of cattle, besides plenty of provision, which the sea as well as the land yields.",43,"Treats of the Nature of the Soil, Plants, and Minerals of Greenland.",41,Project Gutenberg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,69.1144133,-52.2863487,Bay of Disco,Disko Bay,Greenland,Arctic Region,North America,"THE natives of Greenland have no reason to complain of rains and stormy weather, which seldom trouble them; especially in the Bay of Disco, in the 68th degree of Latitude, where they commonly have clear and settled weather during the whole summer season: but again, when foul and stormy weather falls in, it rages with an incredible fierceness and violence, chiefly when the wind comes about Southerly, or South West; and the storm is laid and succeeded by fair weather as soon as the wind shifts about to the West and North.",50,"Treats of the Nature of the Soil, Plants, and Minerals of Greenland.",41,Project Gutenberg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,61.994618,-49.6659478,Western coast,[Paamiut],Greenland,Arctic Region,North America,"IT is undoubted, that the modern inhabitants of Greenland are the offspring of the Schrellings, especially those that live on the Western coast; and there may be some mixture, for aught we know, of the ancient Norway colonies that formerly dwelled in the country, who in length of time were blended and naturalized among the natives, which is made probable by several Norway words found in their language. For, although the Norway colonies were destroyed, yet there were, no doubt, some remains of them, which joined with the natives and became all one nation. With these inhabitants all the sea coasts are peopled, some more and some less.",114,"Of the Inhabitants, their Houses, and House Furniture.",114,Project Gutenberg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,77.619235,-41.637984,inner parts of the country,Greenland,Greenland,Arctic Region,North America,"In the inner parts of the country nobody lives, except at certain times in the summer season, when they go rein deer hunting. The reason of this is, that (as has been said above) the whole upland country is perpetually covered with ice and snow.",114,"Of the Inhabitants, their Houses, and House Furniture.",114,Project Gutenburg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,78.991657,-41.637984,Old lands,[Avannaata and Northeast Greenland National Park],Greenland,Arctic Region,North America,"If the old lands, formerly inhabited and manured by the Norway colonies, were anew peopled with men and cattle; they would, without doubt, yield as much as either Iceland or Feroe, seeing there is as good pasture ground as in those islands.",181,,,Project Gutenburg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,67.302567,-50.217063,West side,"[Qeqertalik, Qeqqata, Sermersooq, and Kujalleq]",Greenland,Arctic Region,North America,"I shall forbear to mention salmon and cod fishing, as it seems at present to be but of little or no importance, especially on the West side",181,,,Project Gutenburg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
Hans Egede,A Description of Greenland,"Hans Egede, A Description of Greenland, 1818, https://www.gutenberg.org/cache/epub/58308/pg58308-images.html.",London,"Printed for T. and J. Allman, Princess Street, Hanover Square",1818,Male,Norway,Danish,English,1721-05-12,1736,,18th century,1720s; 1730s,61.299129,-45.51854,Southern coast,[Kujalleq],Greenland,Arctic Region,North America,"though I am credibly informed by the natives, that on the Southern coast they catch abundance of fine large cod.",181,,,Project Gutenburg,https://www.gutenberg.org/cache/epub/58308/pg58308-images.html,,,,,,,,,,,,,,,,,,,,,
