Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 7-10.",London,Macmillan and Co.,1867,Male,England,English,,,1866-12-14,,19th century,1860s,40.719,-74.0061,New York City,"New York City, New York",United States of America,,North America,"The stores of the Broadway are the most wonderful glorified shops ever seen. Something between a Manchester warehouse and a London clubhouse. Everybody is talking so much of the rush there will be to the Exhibition in Paris, that we have actually been this day to the Cunard Office, and secured passages back to England, to sail from New York on March 20th; some ten days after which, au revoir. I have spent all my day in going to and fro in Broadway, the wonderful street of New York; in ten years' time the finest street in the world. At present, there are still so many small old houses standing in line with the enormous stores, that the effect is somewhat spoilt, by reason of the ranks not being well dressed. Broadway is now much in the condition of a child's mouth when cutting its second set of teeth; slightly gappy. The enormous stores look even larger now than they will do when the intervals are filled up. The external splendour of the shops is chiefly architectural; they make no great display of goods in the windows; but the large size of the rooms with enables them to set out and exhibit many times the amount of goods that an English shopkeeper shows. The city of New York is on the southern point of Manhattan island; having the East River running along one side, and the North River or Hudson along the other. Some day far in the future, when the present municipality is purged or swept away, and the splendour of the Thames Embankment scheme has been realised, New York will probably have two lines of quays, planted with trees and edged with warehouses, which will make it one of the finest cities in the world. The business quarter is at the point of the peninsula. The fashionable quarter is to the North, reaching every year farther inland. As the city increases, the stores keep moving Northwards, taking possession of the houses, and driving the residents farther back. The land is not yet built over up to Central Park, said to be so called because it will be the future centre of the city that is to be....New York is not a difficult city to find your way about in. Along every Avenue runs a line of Street Cars on an iron tramway. The cars take you for ten cents currency, about fourpence English, from one end of the city to the other. The Avenues are the streets which run the length of the city from North to South, parallel to Broadway; and are called First, Second, Third Avenue, numbering from the East. The streets run at right angles to the Avenues; and are called on the one side of Broadway First, Second, and Third East Street, and on the other side of Broadway First, Second, and Third West Street. The whole city is shaped somewhat like a kite, with Broadway for the wooden rib in the middle. The method and arrangement is admirable, but the rate at which you move on wheels would excite the contempt of a London cabby. There are two Hansome cabs in New York, but they do not take; horses are falling down too much just now.",44752,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 15-6.",London,Macmillan and Co.,1867,Male,England,English,,,1866-12-21,,19th century,1860s,39.9377,-75.167,Philadelphia,"Philadelphia, Pennsylvania",United States of America,,North America,"Philadelphia is a most difficult town just now for pedestrians, the doorsteps being all of white marble glazed with ice; and sliding on the pavement may be had in perfection. Spent the best part of the day in slipping about, trying to deliver letters of introduction. The system of naming the streets of Philadelphia and of numbering the houses is extremely ingenious, and answers perfectly when you have made yourself acquainted with it; but as it takes an ordinary mind a week to find it out, the stranger who stops four or five days is apt to execrate it. All the streets run at right angles to one another, so that a short cut, the joy of the accomplished Londoner, is impossible. It is a chessboard upon which the Bishop's move is unknown. Nothing diagonal can be done. The city is ruled like a page of a ledger, from top to bottom with streets, from side to side with avenues. It is all divided into squares. When you are first told this, a vision arises of the possibility of cutting across these squares from corner to corner. Not a bit of it—a square at Philadelphia means a solid block of houses, not an open space enclosed by buildings. When you have wandered about for some time, the idea suggests itself that every house is exactly like the house next to it; although the inhabitants have given up the old uniformity of costume, the houses have not; and without this elaborate system of numbering, the inhabitants of Philadelphia would never be able to find their way home. Nevertheless, if that is the finest town in which its inhabitants are best lodged, Philadelphia is the finest town in the world. It lodges a much smaller population than that of New York in more houses. In no other large town are rents comparatively so cheap. Every decent working-man can afford to have his separate house, with gas and water laid on, and fitted with a bath.",15-6,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 58-9.",London,Macmillan and Co.,1867,Male,England,English,,,1867-01-03,,19th century,1860s,38.8903,-77.0036,"Washington, D.C.","Washington, D.C.",United States of America,,North America,"We went this morning over the Capitol, an enormous edifice still in progress; parts of it are continually built on to, and rebuilt, to meet the wants of the legislature. The two new white marble wings are very beautiful, and nearly complete, and the dome is on the same scale with them, and of the same material. The centre is now out of proportion since the wings were built, and is of stone, painted white to match the rest in colour and preserve it from the frost. If the South had succeeded in seceding, it might have sufficed; but now it is bound to grow, and Congress are going to vote the amount of dollars necessary to make the Capitol complete. When completed it will be magnificent. We are very unlucky in seeing these great marble palaces (for several of the public buildings of Washington are of this material) with the snow upon the ground. Against the pure white snow they appear dingy; under a summer sun they must show to far greater advantage. What ancient Athens appeared like, surrounding its marble temples, I can hardly realise; but the effect of the splendid public buildings in Washington is very much detracted from by the sheds and shanties which are near them. The builders of Washington determined that it should be a great city, and staked out its streets accordingly twice the width and length of any other streets: rightly is it named the city of magnificent distances. But although the Potomac is certainly wide enough, and apparently deep enough, to justify a certain amount of trade, and its situation is more central than that of Philadelphia, the town has never grown to fill the outlines traced for it. To make a Washington street, take one marble temple or public office, a dozen good houses of brick, and a dozen of wood, and fill in with sheds and fields. Some blight seems to have fallen upon the city. It is the only place we have seen which is not full of growth and vitality. I have even heard its inhabitants tell stories of nightly pig-hunts in the streets, and of the danger of tumbling over a cow on the pavement on a dark night; but this must refer to bygone times.",58-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 100-1.",London,Macmillan and Co.,1867,Male,England,English,,,1867-01-15,,19th century,1860s,37.5335,-77.4364,Richmond,"Richmond, Virginia",United States of America,,North America,"Got a carriage driven by a nice intelligent negro, and drove out to see the lines. Those we saw consisted of a line of forts, encircling Richmond, earthworks, generally open to the rear, about two miles from the town, and about half a mile apart, each road approaching the town is also protected by earthworks. The most conspicuous weathercock in the town is a golden trumpet on the spire of one of the churches—no bad symbol of beleaguered Richmond, to which the wind brought tidings of war from whichever side it blew. Saw four turkey buzzards sitting on a rail, looking exactly like disreputable turkeys; they are the scavengers of this country. During the war time they are said all to have disappeared from Richmond, there was so much better feasting outside. When the Confederates marched out, the town was set on fire in the tumult. It was nobody's business or care to put it out, and according to our landlord, 1,244 buildings, valued at 3,000,000 dollars, were burnt. About one-half of the space cleared by the fire is now covered again with large handsome stores, said to be double the size of those they replaced. These are being built by Richmond men, but not by the owners of the former stores. Richmond is very different in appearance from any city we have passed through yet; it looks nearly a century older. You see in the suburbs a great many houses which look like the town-residences of well-to-do gentry. Some of these have large Grecian porticoes for shade, and others verandas, story above story, large enough to be in fact a set of open-air summer-rooms, showing that it is hot here sometimes, though cold enough at present.",100-01,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 129-30.",London,Macmillan and Co.,1867,Male,England,English,,,1867-01-23,,19th century,1860s,33.7565,-84.392,Atlanta,"Atlanta, Georgia",United States of America,,North America,"At 10.30 a.m. we arrived at Atlanta. Here we come upon the track of Sherman's terrible march. He burnt Atlanta to the ground, leaving only two stores standing. The old wooden town is now nearly re-built of brick. We have now glorious summer weather; making us rejoice that we have postponed going north, where all the world is snowed up, and trains are being dug out of the drifts: many stories in the papers also of gales upon the eastern coast, and wrecks about Cape Hatteras, causing me to rejoice that we had not gone south by ship as proposed at one time. As we approached Atlanta the country became more cleared and cultivated. Sixteen miles before reaching it, our eyes were rejoiced by the sight of Stone Mountain, a bare granite bluff, the first hill we have seen in America. The whole coast-line, down which we have travelled, appears to be one level flat. A good deal of stone is being quarried here for the new buildings at Atlanta. The city of Atlanta seems to have no particular natural advantages, but derives its importance from being situated at the junction of four railroads, which run north to Chattanooga, south to Macon, east to Charleston, and west to Montgomery.",129-30,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 145-6.",London,Macmillan and Co.,1867,Male,England,English,,,1867-01-26,,19th century,1860s,30.6933,-88.0428,Mobile,"Mobile, Alabama",United States of America,,North America,"Mobile seems to have suffered little from the war, except by impoverishment and stagnation of trade. It was one of the last places which surrendered to the North. Admiral Farragut defeated the Confederate gun-boats in Mobile Bay, and took the town without its passing through the ordeal of either burning or bombardment. The great devastation was committed by the inhabitants themselves, who now lament bitterly that, in clearing the ground for fortifications which were never used, they cut down the whole of the fine evergreen oaks and magnolias which formerly shaded the suburbs. We were driven to-day along the ‘Shell-road,’ which skirts the western side of the bay. Mobile oysters are beautiful when fried, and after death the shells are made into the smoothest of turnpike roads. Before the war this road ran through a wood of magnificent magnolias, which when in blossom used to fill the air with perfume. The part of the grove next to the town is all swept away, the trees which shaded the citizens' summer evening drive have been felled. Camellias grow here in the gardens, ten feet high; and roses and jonquils are in blossom. Palmettoes grow along the shore, and one house in Government Street had an orange-tree growing on the turf, covered with large dark-red oranges. Several of the best houses in Government Street are said to be tenanted by the former owners of blockade-runners; a trade in which the Jews largely embarked.",145-6,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 148.",London,Macmillan and Co.,1867,Male,England,English,,,1867-01-29,,19th century,1860s,29.9368,-90.0813,New Orleans,"New Orleans, Louisana",United States of America,,North America,"New Orleans is called ‘the Crescent City,’ from its curving round a bend of the Mississippi. It contains about 200,000 inhabitants, and before the war was the chief market of the world for cotton, and the chief market of the United States for sugar. During the war, the market of New Orleans was closed. The year before the war, Louisiana could show 1,292 plantations under cultivation, producing 500,000 hogsheads of sugar. In 1864 there were but 180 plantations at work, and their production of sugar was but 6,750 hogsheads. Ninetenths of the sugar-cane raised in the U. S. is grown in Louisiana. Before the war, Cuba sent her sugars to New Orleans to be sold; at present they go to New York. The natural market is beginning now, as the Americans say, to ‘recuperate;’ and our walk on the Levée was very amusing.",148,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 7-10.",London,Macmillan and Co.,1867,Male,England,English,,,1866-12-14,,19th century,1860s,40.719,-74.0061,New York City,"New York City, New York",United States of America,Noth Eastern Noth America,North America,"The stores of the Broadway are the most wonderful glorified shops ever seen. Something between a Manchester warehouse and a London clubhouse. Everybody is talking so much of the rush there will be to the Exhibition in Paris, that we have actually been this day to the Cunard Office, and secured passages back to England, to sail from New York on March 20th; some ten days after which, au revoir. I have spent all my day in going to and fro in Broadway, the wonderful street of New York; in ten years' time the finest street in the world. At present, there are still so many small old houses standing in line with the enormous stores, that the effect is somewhat spoilt, by reason of the ranks not being well dressed. Broadway is now much in the condition of a child's mouth when cutting its second set of teeth; slightly gappy. The enormous stores look even larger now than they will do when the intervals are filled up. The external splendour of the shops is chiefly architectural; they make no great display of goods in the windows; but the large size of the rooms with enables them to set out and exhibit many times the amount of goods that an English shopkeeper shows. The city of New York is on the southern point of Manhattan island; having the East River running along one side, and the North River or Hudson along the other. Some day far in the future, when the present municipality is purged or swept away, and the splendour of the Thames Embankment scheme has been realised, New York will probably have two lines of quays, planted with trees and edged with warehouses, which will make it one of the finest cities in the world. The business quarter is at the point of the peninsula. The fashionable quarter is to the North, reaching every year farther inland. As the city increases, the stores keep moving Northwards, taking possession of the houses, and driving the residents farther back. The land is not yet built over up to Central Park, said to be so called because it will be the future centre of the city that is to be....New York is not a difficult city to find your way about in. Along every Avenue runs a line of Street Cars on an iron tramway. The cars take you for ten cents currency, about fourpence English, from one end of the city to the other. The Avenues are the streets which run the length of the city from North to South, parallel to Broadway; and are called First, Second, Third Avenue, numbering from the East. The streets run at right angles to the Avenues; and are called on the one side of Broadway First, Second, and Third East Street, and on the other side of Broadway First, Second, and Third West Street. The whole city is shaped somewhat like a kite, with Broadway for the wooden rib in the middle. The method and arrangement is admirable, but the rate at which you move on wheels would excite the contempt of a London cabby. There are two Hansome cabs in New York, but they do not take; horses are falling down too much just now.",7-10,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 15-6.",London,Macmillan and Co.,1867,Male,England,English,,,1866-12-21,,19th century,1860s,39.9377,-75.167,Philadelphia,"Philadelphia, Pennsylvania",United States of America,Noth Eastern Noth America,North America,"Philadelphia is a most difficult town just now for pedestrians, the doorsteps being all of white marble glazed with ice; and sliding on the pavement may be had in perfection. Spent the best part of the day in slipping about, trying to deliver letters of introduction. The system of naming the streets of Philadelphia and of numbering the houses is extremely ingenious, and answers perfectly when you have made yourself acquainted with it; but as it takes an ordinary mind a week to find it out, the stranger who stops four or five days is apt to execrate it. All the streets run at right angles to one another, so that a short cut, the joy of the accomplished Londoner, is impossible. It is a chessboard upon which the Bishop's move is unknown. Nothing diagonal can be done. The city is ruled like a page of a ledger, from top to bottom with streets, from side to side with avenues. It is all divided into squares. When you are first told this, a vision arises of the possibility of cutting across these squares from corner to corner. Not a bit of it—a square at Philadelphia means a solid block of houses, not an open space enclosed by buildings. When you have wandered about for some time, the idea suggests itself that every house is exactly like the house next to it; although the inhabitants have given up the old uniformity of costume, the houses have not; and without this elaborate system of numbering, the inhabitants of Philadelphia would never be able to find their way home. Nevertheless, if that is the finest town in which its inhabitants are best lodged, Philadelphia is the finest town in the world. It lodges a much smaller population than that of New York in more houses. In no other large town are rents comparatively so cheap. Every decent working-man can afford to have his separate house, with gas and water laid on, and fitted with a bath.",15-6,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
Henry Latham,Black and White: A Journal of a Three Months' Tour in The United States,"Henry Latham, Black and White: A Journal of a Three Months' Tour in The United States (London: Macmillan and Co., 1867), 58-9.",London,Macmillan and Co.,1867,Male,England,English,,,1867-01-03,,19th century,1860s,38.8903,-77.0036,"Washington, D.C.","Washington, D.C.",United States of America,Noth Eastern Noth America,North America,"We went this morning over the Capitol, an enormous edifice still in progress; parts of it are continually built on to, and rebuilt, to meet the wants of the legislature. The two new white marble wings are very beautiful, and nearly complete, and the dome is on the same scale with them, and of the same material. The centre is now out of proportion since the wings were built, and is of stone, painted white to match the rest in colour and preserve it from the frost. If the South had succeeded in seceding, it might have sufficed; but now it is bound to grow, and Congress are going to vote the amount of dollars necessary to make the Capitol complete. When completed it will be magnificent. We are very unlucky in seeing these great marble palaces (for several of the public buildings of Washington are of this material) with the snow upon the ground. Against the pure white snow they appear dingy; under a summer sun they must show to far greater advantage. What ancient Athens appeared like, surrounding its marble temples, I can hardly realise; but the effect of the splendid public buildings in Washington is very much detracted from by the sheds and shanties which are near them. The builders of Washington determined that it should be a great city, and staked out its streets accordingly twice the width and length of any other streets: rightly is it named the city of magnificent distances. But although the Potomac is certainly wide enough, and apparently deep enough, to justify a certain amount of trade, and its situation is more central than that of Philadelphia, the town has never grown to fill the outlines traced for it. To make a Washington street, take one marble temple or public office, a dozen good houses of brick, and a dozen of wood, and fill in with sheds and fields. Some blight seems to have fallen upon the city. It is the only place we have seen which is not full of growth and vitality. I have even heard its inhabitants tell stories of nightly pig-hunts in the streets, and of the danger of tumbling over a cow on the pavement on a dark night; but this must refer to bygone times.",58-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/03380/03380.pdf,,,,,,,,,,,,,,,,,,,,,
