Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 3.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,30.04441,31.23571,Cairo,Cairo,Egypt,Mediterranean; Middle East,Africa,"You must know, then, that Messer Hieronimo Adorno and I went together to Cairo, where, having purchased a certain quantity of coral beads and other merchandize … [travels on].",3,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 3.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,26.16315,32.70868,Cane (Keneh),Qena,Egypt,Mediterranean; Middle East,Africa,"...we started for India, and at the end of a fortnight arrived at Cariz, and found a good port called Cane (Keneh). On our road we met with the ruins of many ancient cities, and many admirable buildings constructed in the time of the gentiles, in which several temples are still standing.",3,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 4.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,26.1013,34.28038,Cosir (Cosseir),"El Qoseir, Red Sea Governorate",Egypt,Mediterranean; Middle East,Africa,"Afterwards we departed from the abovenamed port of Cane, and travelled by land for several days through those mountains and deserts, wherein Moses and the people of Israel wandered when they were driven out by Pharaoh. At the end of these seven days we arrived at Cosir (Cosseir), a port of the Red Sea, and here embarked on board a ship, the timbers of which were sewn together with cords and the sails made of rush mats.",3,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 4.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,15.60803,39.4531,Mazua (Massawa),Mitsiwa,Eritrea,East Africa; Middle East,Africa,"In this ship we sailed for twenty-five days, putting in every evening at very fine but uninhabited ports, and ultimately arrived at an island called Mazua (Massawa), off the right shore of the said sea, distant about a mile from the land, where is the port of the country of Prester John: the lord of this island is a Moor. Here we remained two months and then departed.",4,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 4.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,12.78549,45.01865,Adem,Aden,Yeman,Arabia; Middle East,Asia,"Sailing through the said sea in the manner described above for twenty-five days more, we saw many boats fishing for pearls, and having examined them we found that they were not of so good quality as the oriental pearls. At the end of the said twenty-five days we arrived at the city of Adem, situate on the left shore of the sea and on the mainland. This city is inhabited by Moors, and a very extensive traffic is carried on there.
 The lord of this country is so just and good, that I do not think any other infidel potentate can be compared with him. We abode in this city four months, whence we embarked for India in another ship, fastened together with cords, but the sails were made of cotton.",4,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 5.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,11.25875,75.78041,Calicut,Kozhikode,India,Southern Asia,Asia,"We sailed for twenty-five days with a prosperous wind without seeing land, and then we saw several islands, but did not touch at them; and continuing our voyage for ten days more, with a favourable wind, we finally arrived at a great city called Calicut. We found that pepper and ginger grew here. The pepper trees are similar to the ivy, because they grow round other trees wherever they can attach themselves; their leaves resemble those of the ivy. Their bunches are of the length of half a palm or more, and as slender as a finger : the grain grows very thickly around. The reason why pepper does not grow in our region is, that we have none of the trees to plant. It is not true, as reported amongst us, that the pepper is scorched in order that it may not grow. When it is ripe and gathered in it is green, like ivy ; it is left to dry in the sun, and in five or six days it becomes black and wrinkled as we see it. For the propagation of ginger they plant a piece of a small fresh root, about the size of a small nut, which at the end of a month grows large: the leaf resembles that of the wild lily. 
 
 The lord of the city is an idolater, likewise are all the people. They worship an ox, or the sun, and also various idols, which they themselves make. When these people die they are burnt: their customs and usages are various ; inasmuch as some kill all kinds of animals excepting oxen and cows: if any one were to kill or wound these, he would be himself immediately slain, because, as I have before said, they are objects of worship. Others, again, never eat flesh or fish, or anything that has had life. Every lady may take to herself seven or eight husbands, according to her inclination. The men never marry any woman who is a virgin; but if one, being a virgin, is betrothed, she is delivered over before the nuptials to some other person for fifteen or twenty days in order that she may be deflowered. In this city there are as many as a thousand houses inhabited by Christians, and the district is called Upper India.",4,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 5.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,7.87305,80.77179,Island called Ceylon,Sri Lanka,Sri Lanka,Southern Asia,Asia,"We departed hence in another ship, made like the one above described, and after a navigation of twenty-six days we arrived at a large island called Ceylon, in which grow the cinnamon trees, which resemble the laurel even in the leaf. Here grow many precious stones, such as garnets, jacinths, cat's eyes, and other gems, but not of very good quality, for the fine ones grow in the mountains. We remained here only one day. The lord of the said island is an idolater, like one of the before-mentioned, and so likewise are his people. There are many trees here of the sort which bears the nut of India (cocoa-nuts), which also are found in Calicut, and are properly speaking like palm trees.",5,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 6.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496,,15th century,1490s,12.98784,80.25137,Coromandel,Coromandel Coast,India,Southern Asia,Asia,"Departing thence after twelve days, we reached another place called Coromandel, where the red sandal wood tree grows in such abundance, that they build houses of it. The lord of this place is an idolater, like the preceding. There is another custom in practice here, that when a man dies and they prepare to burn him, one of his wives burns herself alive with him; and this is their constant habit. We remained in
 that place seven months.",5,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 7.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1494,1496-12-01,,15th century,1490s,17.32207,96.46632,Pegu,Bago,Myanmar,Southeastern Asia,Asia,"We departed thence in another ship, made after the fashion of the former, and after twenty days reached a great city called Pegu. This part is called Lower India. Here is a great lord, who possesses more than ten thousand elephants, and every year he breeds five hundred of them. 
 
 This country is distant fifteen days' journey by land from another, called Ava, in which grow rubies and many other precious stones. Our wish was to go to this place, but at that time the two princes were at war, so that
 no one was allowed to go from the one place to the other. 
 
 Thus we were compelled to sell the merchandise which we had in the said city of Pegu, which were of such a sort that only the lord of the city could purchase them. He is an idolator, like the before-mentioned. To him, therefore, we sold them. The price amounted to two thousand ducats, and as
 we wished to be paid we were compelled, by reason of the troubles and intrigues occasioned by the aforesaid war, to remain there a year and a half, all which time we had daily to solicit at the house of the said lord. While we were thus suffering from cold and from heat, with many fatigues and hardships, Messer Hieronimo Adorno, who was a man of feeble constitution, and greatly reduced by these afflictions combined with an ancient malady which tried him sorely, after fiftyfive days' suffering, during which he had neither physician nor medicine, yielded up his spirit to our Lord God. This was at night, on the twenty-seventh day of December, St. John's day, in the year fourteen hundred and ninety-six.
 
 Although the sacraments of the church could not be administered to him, as there was no priest among us, nevertheless, such was his patience and contrition, that I am sure, judging from the excellent life which he had always led, that our Lord God will have received his soul into paradise, and to that effect have I prayed and continually do pray. His body was buried in a certain ruined church, frequented by none; and I declare to you, that for many months I was so grieved and afflicted by his death, that it was a great chance I had not followed him ; but afterwards, considering that the grief which had taken such hold of me could bring no remedy, and being consoled by some men of worth, I exerted myself to recover our property.",6,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
Hieronimo Di Santo Stefano,"Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer.","Hieronimo Di Santo Stefano, ""Account of The Journey of Hieronimo di Santo Stefano, A Gevese, Addressed To Messer Giovan Jacobo Mainer,"" in India in the Fifteenth Century: Being a Collection of Narratives of Voyages to India, in the Century Preceeding the Portuguese Discovery of the Cape of Good Hope, ed. and trans. Richard Henry Major (London: Printed for the Hakluyt society, 1857), 8.",London,Printed for the Hakluyt society,1857,Male,Genoa,,English,1496,1499,,15th century,1490s,-0.58972,101.3431,Sumatra,Sumatra,Indonesia,Southeastern Asia,Asia,"In this I succeeded, but with great trouble and expense, and I set sail in a ship to go to Malacca, and after being on the sea twenty-five days, one morning, in not very favourable weather, we reached a very large island called Sumatra, where grows pepper in considerable quantities, silk, long pepper, benzoin, white sandal wood, and many other articles. As the weather was bad and unsettled, the captain took counsel with the other mariners and with the merchants, and it was resolved to unload our goods in that place. The chief is a Moor, but speaking a different language. In all the other countries where we had been they spoke different languages.",7,,,HathiTrust,https://catalog.hathitrust.org/Record/100159067,,,,,,,,,,,,,,,,,,,,,
