Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1776","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 32-33.",New Haven,Yale University Press,1923,Female,Scotland,,,"October 25, 1774",1774-12-11,,18th century,1770s,58.93209,-2.75436,Orkney Islands,"Orkney Islands, UK",United Kingdom,Western Europe,Europe,"I left you yesterday to view the Scotch Islands, which I accordingly did. We were almost opposite to Shetland, when we came on deck, but it afforded nothing to please my eye, or atone for the cold, that I suffered in looking at its barren heaths, frozen mountains and wild tracts of frightful rocks...",32-33,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1777","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 38-39.",New Haven,Yale University Press,1923,Female,Scotland,,,"October 25, 1774",1774-12-11,,18th century,1770s,59.53346,-1.63347,Fair Isle,"Fair Isle, UK",United Kingdom,Western Europe,Europe,"The Fair Isle, which we passed yesterday, is the last land which belongs to Scotland, and has indeed as little beauty as I expected. The side that lay next us, is one continued chain of perpendicular rugged Rocks, and in many places the upper parts hang over, so that a ship that was to be driven against them, would have very little chance of Salvation. I observed almost in the centre of the Island however, a very safe Bason, which would admit tolerable large Vessels, and very convenient for boats to land from, and I should think it a snug place to carry on a contraband trade... Within our view was one very well-looking house, which, we were told, belongs to the proprietor of the Island ; and at a little distance, a town composed of hutts with a church. I observed several stack-yards, but neither a tree nor a shrub.",38-39,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1778","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 61-62.",New Haven,Yale University Press,1923,Female,Scotland,,,"October 25, 1774",1774-12-11,,18th century,1770s,39.05405,-28.00745,"Graciosa, Azores, Portugal","Graciosa, Azores, Portugal",Portugal,Southern Europe,Europe,"We now saw the Island most distinctly, and must own that it deserves its name, for never did my eyes behold so beautiful a spot. It does not seem in length above five or at most six Miles ; its breadth I could not see. In the centre is a large extensive plane, surrounded with hills in form of an Amphitheatre; the ground rises by an easy ascent all the way from the shore, and in the bosom of the hills stands a very noble house, round which is a great deal of fine laid out policy. It fronts the shore, and is entirely open to the Sea, and tho' the Island is evidently under the power of winter, the beauty of the Verdure is inconceivable ; and when the Vines, which are now leafless and cut down, are in foliage and fruit, it is certainly a garden that, had our first parents been sent to repent in, they would soon have forgot their native Eden. The hills behind the plane were covered with pasture or Vineyard, and we observed forts on two of them, but no other house of any note, tho' some hamlets were scattered here and there, and what we took to be Orange groves by the figure of the tree.",61-62,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1779","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 74.",New Haven,Yale University Press,1923,Female,Scotland,,,"October 25, 1774",1774-12-11,,18th century,1770s,17.12804,-61.86606,Antigua,Antigua,Antigua,Caribbean,North America,"The beauty of the Island rises every moment as we advance towards the bay; the first plantations we ob-served were very high and rocky, but as we came farther on, they appeared more improved, and when we got into the bay, which runs many miles up the Island, it is out of my power to paint the beauty and the Novelty of the scene. We had the Island on both sides of us, yet its beauties were different, the one was hills, dales and groves, and not a tree, plant or shrub I had ever seen before; the ground is vastly uneven, 
 but not very high ; the sugar canes cover the hills almost to the top, and bear a resemblance in colour at least to a rich field of green wheat ; the hills are skirted by the Palmetto or Cabbage tree, which even from this distance makes a noble appearance. The houses are generally placed in the Valleys between the hills, and all front to the sea. We saw many fine ones. There were also some fine walks along the Shore shaded by different trees, of which I am yet ignorant.",74,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1780","Schaw, Janet. Journal of a Lady of Quality: Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776. Yale Historical Publications. Manuscripts and Edited Texts ; VI. New Haven: Yale University Press, 1921, pg.120.",New Haven,Yale University Press,1923,Female,Scotland,,,"December 12, 1774",1775-02-14,,18th century,1770s,17.30092,-62.71909,St. Kitt's Island,Saint Kitt's Island,Island in Saint Kitts and Nevis,Caribbean,North America,"We distinctly saw both Nevise and Montsarat; very fine Islands, but far in-ferior to St. Kitt's, which now appeared crowned with wood-covered Mountains. Noble however as this morning scene might be made in description, it affords not the soft satisfac-tion that the mind feels from the rising sun on a summer morning in your cool Hemisphere, and tho', to my shame be it spoken, that was one of the Arcanas of Nature, into which my curiosity seldom pryed, yet I now recollected with a pleasing regret the soft dawn, the dew-bespangled lawn, with all that delightful coolness, which I am not to expect under a Tropical Sun. 
 We soon came to an anchor in the road of Basterre, in which were riding many fine Vessels. From our situation we had an extensive prospect of that side of the Island, which lay next us, which tho' very beautiful is different from the first view we had of Antigua, which rises on you by degrees. As you go up the bay, the plantations on the rising grounds are noble, and the cane pieces wear a superior green to those at Antigua.",120,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1781","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 219-220.",New Haven,Yale University Press,1923,Female,Scotland,,,"December 4, 1775",1775-12-19,,18th century,1770s,38.52169,-8.8857,"St. Tubes, Portugal","Setúbal, Portugal",Portugal,Southern Europe,Europe,"I have fancied to myself a West India Island as large as a world, I was vastly pleased to behold the noble buildings as we sailed along the coast, till I was informed by our pilot, that they were, in general, bastiles oh sound of horror and fear to a British ear. At last we reached the bay, where we anchored within less than a mile of the Town of St Tubes.The scene altogether was very lively and animating, particularly when joined to the idea of being once more in Europe. The evening was fine, the sun gilding the horizon and giving additional beauty to the green hills. The sky was placid and serene above fifty ships were lying at Anchor, and above a hundred boats en-gaged in the sardine fishing and chanting Vespers. The town was full in prospect and many windmills going above it, which I think a very cheerful object. The coast is extremely bold and the hills and high grounds, covered with wheat or pasture, looked so fresh that they perfectly cheered the senses.",219-220,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1782","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 232-233.",New Haven,Yale University Press,1923,Female,Scotland,,,"December 4, 1775",1775-12-19,,18th century,1770s,38.56501,-8.9008,Leaving St. Tubes ascending towards Convent of Palmella,"Palmalla, Portugal",Portugal,Southern Europe,Europe,"As we advanced nearer the summit, we left behind St Tubes, the sea, the shipping, the large salt-works, the fine ruins, and a country beautifully green with corn and rich pasture-ground. Before us we had the river, Tagus, with the 
 town of Lisbon and all the adjacent country on the opposite shore. On our left hand we had a scene nobly wild and beau-tifully romantick. The mountains presented us with rocks and woods, thro' which flowed many a rapid stream, which fell down in noisy cascades thro' the valleys below. But tho' these valleys boasted their cultivation and invited us to admire vine-yards, orange-groves and olive orchards, yet that where Nature alone held dominion entirely engaged our attention, and we traced the wildness of the mountains, as far as our eyes could penetrate thro' the trees or over the rocks.",232-233,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1783","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 279.",New Haven,Yale University Press,1923,Female,Scotland,,,1775,,,18th century,1770s,34.1869,-77.96357,"Cape Fear River, North Carolina","Cape Fear River, North Carolina",United States,Northern America,North America,"IN the province of North Carolina there are several rivers, which run a considerable way into the country. Upon the south is Cape Fear river, which is navigable for ships of large burden as far as a shoal which they call the Flats, about seven miles above Brunswick town, which is situated twelve miles within the bar. In consequence of this impediment, vessels which have a draught of above nine and a half feet of water cannot go up to Wilmington, which is the next port above and the most considerable town on the river, even at spring tides, till they are lightened to that draught. Above, or rather at Wil- mington, the Northeast and Northwest branches of the river join. The Northwest is the least considerable, and upon the whole extent there is no town, tho' its banks are very well settled. The first town is Cross Creek, about 100 miles above Wilmington. Here the whole trade with the back settlers is carried on for a great way round.",279,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1784","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 232-233.",New Haven,Yale University Press,1923,Female,Scotland,,,1775,,,18th century,1770s,34.1869,-77.96357,"Cape Fear River, North Carolina","Cape Fear River, North Carolina",United States,Northern America,North America,"From Fort Johnston at the mouth of the river to Brunswick is twelve miles. From Brunswick to Wilmington there are two roads: one goes up the right side of the river upon which Brunswick stands and crosses two ferries opposite to Wilmington, occasioned by the river being there divided by a large swampy island, through which there is a very bad road of a mile and a half. The length of this road is reckoned sixteen miles. To go by the other road, one must cross a ferry at Brunswick of a mile over, from whence to Wilming-ton it is about ten miles. Every part of these roads is more or less sandy. Some of them for miles together is very deep, as the surface often is a pure white sand, without a particle of soil to bind it together. This is the case with almost every part of the province near the sea.",279-280,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Schaw,"Journal of a lady of quality; being the narrative of a journey from Scotland to the West Indies, North Carolina, and Portugal, in the years 1774 to 1785","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies, North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 279-280.",New Haven,Yale University Press,1923,Female,Scotland,,,1775,,,18th century,1770s,34.1869,-77.96357,"Cape Fear River, North Carolina","Cape Fear River, North Carolina",United States,Northern America,North America,"Over all these creeks are wooden bridges. Wherever the land is dry, there is little or no brush. The woods in general are in the style of open groves in England, except in such places as have once been cleared and afterwards abandoned. These are always covered with brush. The roads upon the Northwest branch of the river grow more solid every mile above Wilmington, and long before they reach Cross Creek are very hard. The only making they bestow upon the roads in the flat part of the country is cutting out the trees to the necessary breadth, in as even a line as they can, and where the ground is wet, they make a small ditch on either side. The roads through swamp land are made by first laying logs in the direction of the road and covering them cross ways with small pine trees, layd regularly together over sod, with which the logs are previously covered.",280,,,,,,,,,,,,,,,,,,,,,,,,,
