Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 244.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,41.8057,123.4315,"Shin yang, or Mugden, China","Shenyang, China",China,Eastern Asia,Asia,"The first is that of Shin yang , called by the Manchews, Mugden ; it contains all the ancient Lyau tong , and is bounded on the South by the Great Wall, which begins Eastward of Pe-king, by a great Bulwark built in the Ocean; on the East, Northland Welt, it is inclosed only by a wooden Palisade, seven or eight Foot high, and more fit to mark its Bounds, and keep out petty Rob-bers, than to oppose an Army : The Gates are no better, and guarded only by a few Soldiers. The Chinese Geographers have given the Name of Wall to this Palisade , which has occasion’d the Province of Lyau tong to be erroneously placed in some of our Maps, within the Great Wall.",244,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 244.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,39.9042,116.4074,"Pe-king, China","Beijing, China",China,Eastern Asia,Asia,"Not far from the Gates of this City are two magnificent Burying-Places of the first Princes of the reigning Family, who took the Title of Emperor from their beginning to reign in Lyau tong. One is of the Emperor’s Grandfather, and the other of his Great Grandfather: They are built according to the Chinese Architecture; but, what is singular, are inclosed by a thick Wall with Battlements, and are somewhat lower than that of the City: Several Manchew Mandarins of all Ranks are appointed to take care of them, and at set Times to perform certain Ceremonies, in which they observe the same Marks of Respect as if the Princes were still living.",244,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 245.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,40.89743,125.73027,Point of San cha ho,Border between China and North Korea,China; North Korea,Eastern Asia,Asia,"Pursuant to this Rule, we shall say nothing of the Point of San cha ho , so much taken Notice of by Chinese Authors ; it is no more than a Concourse of three ordinary Rivers, which unite in this Place, and under that common Name discharge themselves into the Sea, but is far from being a Novelty. The Lands of this Province are in general very good, producing Plenty of Wheat, Millet, Roots, and Cotton; they also feed Numbers of Sheep and Oxen, which are rarely seen in any of the Provinces of China. They have little Rice, but plenty of Apples, Pears, Nuts, Filberds, and Chesnuts, even in their Forests. The Eastern Part, which borders on the ancient Country of the Manchews and the Kingdom of Korea , is full of Desarts and Boggs...",245,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 245.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,45.79099,126.57407,Cities around the River Songari,"Near Harbin, China",China,Eastern Asia,Asia,"This Country is but thinly peopled, and has only three Cities, very ill built, and encompassed with Mud-Walls. The Chief of them is situated on the River Songari , there called Kirin ula , whence it takes it Name ; for Kirin ula botun signifies, the City of the River Kirin. Here resides the Manchew General, who has all the Privileges of a Viceroy, and commands all the Mandarins as well as the Troops.
 The next much inferior, called Pedne or Petune , stands on the same River, 45 Leagues almost N. W. from Kirin ula hotun ; it is inhabited mostly by Tartarian Soldiers, under a Lieut. General, and by Exiles.
 The other City, which the reigning Family considers as its ancient Patrimony, is situated on the Hurka pira , which runs North into the Songari ula: It is commonly call’d Ninguta , tho its proper Name be Ningunta ; for these two Tartarian Words, signifying seven Chiefs , are expressive of the Rife of their Kingdom, which was first established by the seven Brothers of the present Emperor’s Great Grandfather’s Father ; who, having found means to settle them with all their Families in this Place, soon made himfelf obey’d, thro’ Fear or Love, by the rest of his Nation, which was at that Time disperfed in the Desarts that extend to the Eastern Ocean, and divided into little Hamlets, each of one Family.",245,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 246.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,42.99121,129.87918,Along the Riven Tumen,"Tumen River, Border between China and North Korea",China; North Korea,Eastern Asia,Asia,"Extent of the Territories of these Quel ka Ta tse , whose Country is in other Respects agreeable enough, and, what is very uncommon among Tartars, well cultivated, whether it be owing to Necessity, on ac-count of their Distance from the Monchews, (the nearest of whom are 40 Leagues off, and the Road very bad) or the Example of the Koreans , whose very Hills are cut into Stories, and cultivated to the Top.
 It was a new Sight to us, after we had crossed fo many Forests, and coasted so many frightful Moun-tains, to find ourselves on the Banks of the River Tu men ula, with nothing but Woods and wild Beast on one Side, while the other presented to our view of all that Art and Labour could produce in the best cultivated Kingdoms. We there saw wall’d Cities, and placing our Instruments on the neighbouring Heights geometrically determined the Situation of four of them, which bounded Korea on the North.",246,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 246.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,43.8015,131.9405,Furdan Hotun,"Ussuriysk, Russia",Russia,Eastern Asia,Asia,"The Koreans had built a strong Wall on the Bank opposite to the Tartars , almost like that on the North of China ; but the Part towards Hon chun was quite ruin’d when the Manchews ravaged Korea, which they made their first Conquest ; in Parts more remote it continues almost entire. Beyond the Tu men ula, in our Progress into the ancient Country of the Manchews, we came to a River called Suifond pira the Latitude of which we took at its Fall into the Eastern Ocean ; it is very famous among these Tartars tho’ it scarce deserves Notice. Here we saw the Ruins of a City called Fûrdan botun , accounted once perhaps a fine Place, being situated in an open Plain fit for Tillage: It has only a slight Mud Wall defended by a shallow Ditch. The other Rivers of this Country are much less considerable than Suifond pira, whence doubtless proceeds the Esteem which the ancient Manchews still retain for it.",246,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 248.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,47.3543,123.9182,City of Tsitsikar,"Quiqihar, China",China,Eastern Asia,Asia,"The City of Tsitsikar is inclosed with a strong Palisade, not very high, but lin’d with a pretty good Rampart. The Garrison consists chiefly of Tartars , but the Inhabitants are moftly Chinese, drawn thither by Traffic, or banished for Crimes. The Houses of both are without the wooden Wall, which incloses little besides the Courts of Justice, and Palace of the Tartar General ; they are built of Earth, ranged into pretty wide Streets, and inclosed with a Mud Wall.",248,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 248.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,49.1858,125.2212,Merghen City,"Nenjiang, China",China,Eastern Asia,Asia,"Merghen is above 40 Leagues from Tsitsikar, much thinner of People, and inclosed with a single Wall. The Lands belonging to the last Cities are but indifferent, being a sandy Soil. But those of Saghalian ula hotun yield good Crops of Wheat, being a Plain extending along that fine River [Saghalian] and containing several Villages: The City itself, which stands on the South Side, is built like Tsitsikar, is equally populous, and richer in Commodities.
 About 13 Chinese Li higher, on the North Side, are the Ruins of an ancient City called Aykom, built by the first Emperors of the preceding Family, Tay Ming...",248,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 250.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,47.93871,117.81598,Puir Lake,"Buir Lake, Mongolia",Mongolia,Eastern Asia,Asia,"But of all the Mongu Nations, depending on the Emperor, the most numerous and celebrated are the Kalkas, who possess above 200 Leagues of the Country from East to West, and the Banks of the finest Rivers in this Part of Tartary. The Kalka pira , whence they take their Name, is not much frequented by them: It flows from a famous Mountain, call’d Suelki, or Siolki, 84 Leagues from Parin, and 64 from Tstitsikar: They pretend it gives Rise to several other Rivers, but no way considerable. After passing thro' a Lake called it Puir, changes its Name to Urjon , and runs directly North into a larger, named Kûlon nor. ..The Kerlon, which is not deep, being almost every where fordable, of a sandy Bottom, good Water, and about 60 common Feet in Breadth, washes the richest Pastures in all Tartary. On the Northern Ruins of Banks are the Ruins of a large City, inserted in the Emperor’s Map, where we distinguish Cities of that kind by little uncolour’d Squares.",250,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Baptiste Du Halde, ed.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 251.",London,T. Gardner,1738,Male,France,,English,,,,18th century,1730s,58.2,68.25173,"Tobolskoy, Siberia","Tobolsk, Russia",Russia,Eastern Asia,Asia,"In travelling from hence to Tobolskoy (M), the Capital of Siberia and Northern Tartary, you meet fre-quent Villages, where are commodious Lodgings ; but in travelling from Selingha Southwards, till you come almost to the Great Wall, you are obliged to lodge and diet after the Tartarian Manner.
 The Waters of the Twi pira are clear and healthful, like those of the Kerlon ; it also waters as fertile; Plains as those in the Neighbourhood of the Pula, and after a pretty long Course loses itself in the Ground near a little Lake, without rising or appearing any more.",251,,,,,,,,,,,,,,,,,,,,,,,,,
