Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 256.",London,T. Gardner,1738,Male,France,,English,1688,1707,,17th century; 18th century,,49.1858,125.2212,"Merghen, or Merghin","Nenjiang City, China",China,Central Asia,Asia,"These Tartars live in Huts on the Banks of Rivers, and subsist by Hunting and Fishing, especially the more Eastern Inhabitants, who are somewhat rude and barbarous. The Country is divided into Provinces the most Western is Solon, by the Ruffians call’d Dawra , which is rather the Name of a Nation than a Country. It begins at the Confluence of the Ergonê and Saghalian ula, along which latter it extends above 150 Leagues towards Ningûta. The Governor told me there were not above 10,000 Families in the Pro-vince. They are great Hunters, dextrous Archers, and pay their Tribute in Sable-skins, each Family two, three, or more a Year, according to the Number of able Persons.
 In the whole Country there is but one Town, called Merghen, or Merghin, built and garrison'd by the Emperor ; every where else are nothing but Huts. The Ruffians indeed had a Fortress here, which they called Albazin, and the Tartars Takfa, from a little River on which it stood where it runs into the Saghalian ula. This Fortress occafion’d the War between the Emperor and the Ruffians, the Garrison disturbing the Chinese Sable-Hunters ; but at length the Fort was demolish’d, and the Country yielded to the Emperor by the Treaty of Nipchu.",256,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 274.",London,T. Gardner,1738,Male,France,,English,1688-05-31,,,17th century,1680s,40.25288,116.12622,Nan kew ching,"Nankoucun, Beijing, China",China,Eastern Asia,Asia,"We began with passing the Fortress which shuts up the Entrance of the Mountains. The Walls of this Fortess are bult with Free-stone to the Height of four Feet, and afterwards with large Flints and Rock Stones up to the Battlements, which are of Brick : They are about 35 Foot high, and six or seven thick at the narrow Pass of the Mountains ; but where they stretch on both Sides upon the Rocks (which are so steep that the Goats can scarce climb them) they are neither high nor thick, and indeed are altogether useless there...",274,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 275.",London,T. Gardner,1738,Male,France,,English,1688-06-03,,,17th century,1680s,40.7665,114.87534,Swen wha fu,"Zhangjiakou, China",China,Eastern Asia,Asia,"At the End of this Plain stands the City of Swen wha fu, which is pretty large and very populous ; it is not far from the Yang ho, and hath a double Suburb, inclos’d by Brick Walls, strengthened with Towers pretty near each other ; we crossed one Street as large as most of the great Streets of Pe-king, running the whole Length of the City and full of wooden Triumphal Arches, not above ifor 20 Paces asunder ; there are three Gates at each End of the City, with Places of Arms between. The Walls are more than 30 foot high, and the Folding-doors of the Gates are cover’d with thin Plates of Iron, strengthened by Nails with Heads as big as Eggs. The North Suburb hath one very long and wide Street, with Trees planted in Rows on both sides, which have a very agreeable Effect. The whole Country round is tilled, and the Soil good.",275,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 278.",London,T. Gardner,1738,Male,France,,English,1688-06-12,,,17th century,1680s,40.92478,112.50957,River Imatu,Likely Dahei River,,Eastern Asia,Asia,"The Rivulet upon which we had encamped runs also along this Road, and winds continually in the Valleys between these Mountains, at least I suppose it the same, but am not certain. We crossed it more than ten or twelve times, for it cuts the great Road, and encamped again on its Banks : It is called Imatu. The Mountains between which we passed, great part whereof are steep Rocks, were pretty full of Shrubs : We found some also in the Valleys, but none of any tolerable Bigness, neither did we see any tilled Land, tho’ there were many small Meadows on the Bank-side, abounding with excellent Pasture. The Air was very mild all the Morning ; but as soon as we enter’d among the last Mountains, we found a pretty strong North-west Wind, and towards Noon, when we began to encamp, we had some Drops of Rain, after which it became very hot, till there rose a high Wind at West North-west, which allayed the Heat.",278,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 278.",London,T. Gardner,1738,Male,France,,English,1688-06-13,,,17th century,1680s,40.83746,111.71931,"Octogon Tower, Hokhokol (or Korkokol) Plain","near Hohhot, Mongolia",Mongolia,Eastern Asia,Asia,"This Plain is cultivated in many Places, and here and there are Hamlets of seven or eight little Houses of Earth. After we had travelled in it about 40 Li, we passed near a Tower, built, as they assured me, 400 Years ago : It is still pretty entire, except the Roof, which is ruinous, and the Foundation begins also to decay. It is a regular Octogon with eight Stories, each ol eleven Foot at least, besides the first, which exceeds fifteen without the Coping, so that the whole Height is 100 Foot. This Tower is all of Brick as white as Stone, and well built ; it is embellish’d with several Ornaments of Brick-Work, and a fort of Plaister laid thereon. Its Architecture is quite different from ours, and tho' a little rude, has its Beauty, and pleases the Eye : The first Story is round, and shaped like a Cup, adorn-ed with Foliages ; the rest have eight Fronts, in each of which are two Statues in Demi -Relief, near as big as the Life, but ill done. You go up to the first Story by a Ladder, and there the Staircafe begins. Here probably stood a City, or large Town, for there still remains a wide Compass of Mud Walls, which, tho’ more than half demolish’d, are entire enough to shew that the Tower was built by the Western Tartars , whilst they reign’d in China , under the Family of the Ywen.",278,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 282.",London,T. Gardner,1738,Male,France,,English,1688-06-30,,,17th century,1680s,41.48197,106.90992,Kalkas,"Inner Mongolia, China",China,Eastern Asia,Asia,"The 30th we advanced 75 Li, the first 20 due North, and the rest North North-west, along continued Plains, separated only by small Eminences. The Soil consists of a firm Sand, mixed in some Places with a little Earth : The Country grew more and more desart and barren, affording no good Pasture for the Cat-tle and we saw but one Tree. About 40 Li from whence we fet out we found some Wells with a little Water, and some Grass about them: We saw several Herds of Deer, and Flocks of Partridges on the Plains, especially near the Place where we encamp’d, which was at the Foot of some Hillocks that bound the Plain.",282,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 282.",London,T. Gardner,1738,Male,France,,English,"July 1, 1688",,,17th century,1680s,41.85292,106.3314,Kalkas,"Inner Mongolia, China",China,Eastern Asia,Asia,"we marched 65 Li to the North-west, all through great Plains interspersed here and there with little Eminences, and the Country more and more desart and barren, consisting almoft wholly of burning Sands sometimes firm and sometimes loose, without Tree, Water or Pastures. Just as we had decamp’d we found abundance of those Stones of Rock and Sand condensed, full of yellow Spangles, and glittering like Gold. We saw great Numbers of Deer in these Plains, three of which our People kill’d, and could have killed more if they had not been afraid of fatiguing their Horses. Partridges likewise are here in Plenty : We saw great Coveys between the Heights. Having passed the Hills we encamp’d in a small Plain, which being nothing but Sand, the Heat was intolerable. We had no Water but what we drew out of Pits ; and tho’ it was very good, yet as there was no Pasture, the Cattle suffer’d much. It was very hot all Day, only a little Wind stirred now and then : In the Evening, we had a great Storm, and another towards Midnight, with Rain and Thunder.",282,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 291.",London,T. Gardner,1738,Male,France,,English,1688-09-17,,,17th century,1680s,,,,"Inner Mongolia, China",China,Eastern Asia,Asia,"The 17th we travelled 80 Li, still due E. in the same Plain, which grew more hilly as we advanced, and pitched near a small Meadow full of good Forage, with several Ponds of Water about it. We had not encamp’d so agreeably and commodiously for above three Months before ; the Water was good, but not very fresh.",291,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 292.",London,T. Gardner,1738,Male,France,,English,1688-09-21,,,17th century,1680s,,,,"Inner Mongolia, China",China,Eastern Asia,Asia,"The 21 st we marched 60 Li E. S. E partly among Mountains like the former, and partly in a spacious Plain surrounded with them, towards the middle of which runs a Brook, said to be a Branch of a great Ri-ver, called Lan ho : This Plain, which contained several little Mongol Camps, is a sort of barren Down, till we come to the Brook, beyond which towards the S. E. the Soil is very good, especially by the farther Mountains, where is Plenty of excellent Pasturage. At the N. W. there are two Towers built upon an Eminence ; we encamp’d at the End of the Plain by the Foot of the Mountains, near a Camp ot the Em-peror’s Mongols , who look after his Flocks and Breed of Horses which graze here. It was a very cold, trolly Morning, and fine Weather the rest of the Day, with a fresh Westerly Breeze.",292,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-François Gerbillon, S.J.","A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 293.",London,T. Gardner,1738,Male,France,,English,1688-09-24,,,17th century,1680s,,,,,China,Eastern Asia,Asia,"The 24th we went 30 Li E. S. E. half the Road like that of the two preceding Days, the rest through a very narrow and difficult Pass between Mountains. A Rivulet of very fine Water runs at the Bottom ; on each side are high and very steep Mountains, mostly covered with large Forest-Trees. The Top bears Pines, the Declivities Filbert-trees, and other Shrubs; some are half covered with Alder-trees fcattered here and there, others are naked Rocks at the Top, the whole yielding a Prospect agreeable enough. The Pass turns fometimes a little Southward, fometimes Westward, but lies moftly E. S. E. and S. E. We encamped in it, some on the Skirts of a Mountain, others in the Valley, which widens at the End of 15 Li.",293,,,,,,,,,,,,,,,,,,,,,,,,,
