Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 42-44.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-06-17,,19th century,1830s,40.4401,-79.9998,Pittsburg,"Pittsburgh, Pennsylvania",United States of America,Nothern America,North America,"I was aware that the hills that encompassed this city were filled with bituminous coal, and that one great source of its wealth and prosperity were the factories moved by steam power which could be employed with great effect and cheapness, in consequence of the abundance of this coal. I was also aware that this article constituted the principal fuel which warmed their houses. I therefore expected to see a smoky city , but I was not prepared to see what actually, at first sight, burst upon my view—a vast cloud of smoke rolling up in ten thousand dark columns, and forming a dense, murky canopy, that hung in expanded blackness over the whole town. The city seemed in its sooty and blackened houses, and in its columns of everlasting smoke, like one vast and extended group of furnaces or glass factories. As I continued to gaze upon it, I was reminded of the smoke that went up from the plain of Sodom the morning after the destruction of that city, “when Abraham gat up early and looked over the whole plain.” Our nearer approach to the city did not relieve me from my first impression. Every object and scene, every house and building within the purlieus of the town seemed stained, soiled, and tarnished with the sooty vapour that was ceaselessly ascending from its ten thousand chimneys. Like the frogs of Egypt this dreadful smoke came up into their houses, and there was no escape from it. The walls of the most elegant drawing-rooms bore evidence that the discolouring element had found its way there. The atmosphere every where seemed impregnated with it. I raised the window in my chamber, and the room was almost instantly filled with smoke. Almost as soon as I reached the church on Sunday evening, the doors and windows being open for the admission of air, I perceived the church was filled with a cloud of smoke. Surely Pittsburg is a smoky city. I ask the pardon of its inhabitants for this doleful description. The town certainly bears marks of great thrift and prosperity, and its inhabitants do not lack in sterling excellencies of character. I should be very ungrateful if I did not here record the acknowledgement of the many acts of kindness and hospitality that were extended to me during my temporary stay. In the manner in which the people regarded the unpleasant appendage connected with Pittsburg to which I have just adverted, I saw another evidence of the benevolence and wisdom of the Creator in constituting us with capabilities of adapting ourselves to whatever is around us. The smoky atmosphere, so far from being an annoyance to the citizens of Pittsburg, is constantly spoken of by them as its beauty and glory, and seems associated in their minds with all the delights and interest of home. I have visited the environs of the city, and clambered to the summit of some of the hills out of which the coal is dug. The views from these elevations up the Alleghany and the Monongahela are beautiful. The scenery in every direction around Pittsburg, viewed from these eminences, would be magnificent, were it not for that unchanging cloud of smoke that covers the city as a canopy of darkness.",42-44,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 62-3.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-06-23,,19th century,1830s,39.132,-84.4964,Cincinnati,"Cincinnati, Ohio",United States of America,Nothern America,North America,"We reached this city, not inappropriately called “The Queen of the West,” yesterday morning, and bid adieu to the Elk and its taciturn captain. Upon the whole I have been greatly pleased with Cincinnati. The whole air and aspect of the town has reminded me more of Philadelphia than any city I have seen west of the mountains. Christ Church, in this city, is a noble building, and the interior furnishes a beautiful specimen of architectural taste and skill. St. Paul's Church is also a tasteful structure, although I was not able to obtain a view of the interior. The Roman Catholic cathedral and college make a fine appearance, but the interior of the cathedral greatly disappointed me. The audience room is small, narrow, and mean in appearance. I am happy to say that in passing through this western region I find but one impression among well-informed and intelligent men in relation to the growth and progress of popery here; and that is, that it is making little or no advances, except with the increase of foreign population.",62-3,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 75-6.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-06-27,,19th century,1830s,38.3004,-85.8257,New Albany,"New Albany, Indiana",United States of America,Nothern America,North America,"Indiana is unquestionably destined to become one of the most interesting of the Western States. Its principal towns that stand along on the Ohio, must of course become very important points. This will be particularly the case with New Albany, which is already one of the most populous and flourishing towns in Indiana. It bears on every part of it the marks of a new place, and the manner in which every house and shed within its precincts is crowded, shows that it must have expansion. It is situated about four miles from Louisville, just below the rapids, on a fine broad table of land, which is so far above high water mark, as effectually to secure it from those inundations, occassioned by the sudden rise of the Ohio. Some way back in the rear of the town, and nearly encircling it, rises up in a very picturesque manner, what is here called a knob, an elevated steppe of land, from which we look down upon the town and river, and see them spread out before us as on a map, in distinct and beautiful delineation. Louisville appears in the distance, and the adjacent country, which with the windings, and wooded scenery of the beautiful Ohio, presents a view so exquisite, that the imagination can scarcely conceive any thing more romantic. It is only three or four years since there were but a handful of inhabitants at New Albany: it now numbers six thousand, and is rapidly increasing in population. A very large proportion of its inhabitants are young, enterprising men from the East, who possess moderate means, and have come here to build up their fortunes.",75-6,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 86-7.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-06-30,,19th century,1830s,37.9872,-90.047,St. Genevieve,"St. Genevieve, Missouri",United States of America,Nothern America,North America,"We passed to-day St. Genevieve, a French village, standing on a beautiful hill-side. The loveliest prospect stretched out before the town. We could from this point see the broad Mississippi in its magnificent course, piercing the boundless forests of eternal verdure, and spreading out its watery surface upon which a hundred green islets seemed to float. The town itself, like all the French villages that we have seen on this river, appeared old and dilapidated, and quite destitute of every thing like improvement, or enterprise. I could not but contrast these French villages, in the midst of this rich luxuriant land, with their little Roman Catholic chapels, their low narrow houses, and abundant marks of poverty, with the neat, tidy, thriving villages of New England, which, although they rear their heads from a hard rocky soil, where industry has to be taxed to the utmost to obtain the means of subsistence, present—in their beautiful church edifices—their elegant public buildings, and well constructed private residences—marks of thrift, industry, and comfort, which cannot fail to gladden the heart of the traveller who passes through them. Such is the difference in their influences between Protestantism and Romanism.",86-7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 88-90.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-07-04,,19th century,1830s,38.6251,-90.2339,Saint Louis,"Saint Louis, Missouri",United States of America,Nothern America,North America,"This, unquestionably is destined in time to become THE GREAT CITY OF THE WEST [sic]. Its location is pleasant, and from the manner in which the upper part of the city is now building, I should think it would ultimately compete in regularity and beauty with almost any city in the Union. Its most prominent public buildings at present are the theatre and the Roman cathedral. One of the priests politely showed us through the latter building. The interior would be very grand and imposing, were it not for the gaudy paintings, intended as scriptural illustrations, suspended around the audience room. However much these may catch the attention and awaken the admiration of the ignobile vulgus , they cannot fail to excite any thing but complacency in minds accustomed to the more chaste productions of the pencil. In entering the church, we passed through the basement, where are the confessional boxes and a small 89 altar, on which wax candles were burning. Here we saw one of the sisters of charity, sitting in black vestments, in a solitary dusky nook, as though absorbed in holy meditation. In the church we found another priest, engaged, as far as we could understand, in preparing a class of German boys for confirmation. I learned from an intelligent source that Romanism is making little or no progress among Protestants at St. Louis. They have found it necessary to cut off, or conceal many of its offensive excrescences, so that a friend remarked to me, that he thought that a reformation in spite of themselves, silent and gradual, was going on in the Roman Catholic Church. The fact is, that the great difficulty at St. Louis is, that the mass of the people “care for none of these things.” They are equally indifferent to every form of religion.....One thing struck me as remarkable at the West, and particularly at St. Louis. I refer to the appearance of the heavens at sunset. Nothing can exceed the richness and splendour of a western sunset. I have heard much of an Italian sky, but my imagination never conceived such pictures of beauty and indescribable glory, as are painted on the sky here at the decline of day. The whole hemisphere seems flooded with unearthly radience. The clouds piled up the western sky, appear more brilliant and gorgeous than any or all the colours of earth can make them. And as you look at them, you see, through the clouds, apertures, which seem like golden vistas, through which you look almost into the heaven of heavens.",88-90,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 107-",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-07-08,,19th century,1830s,41.5084,-90.5612,Rock Island,"Rock Island, Illinois",United States of America,Nothern America,North America,"We found ourselves, when we awoke in the morning, at Stevenson. This is another of those places springing up as by the wand of enchantment. It is located at one of the most beautiful points in all the west. Just here Rock River enters the Mississippi, separating the town from Rock Island, on which stands Fort Armstrong. It was in reference to the section of country just around here, that the Black Hawk war took its rise, and all along above was the scene where it raged. I do not wonder that the Indians gave up this tract of country with reluctance. The eye never looked out upon a more beautiful land—the imagination in its most romantic flight never conceived any thing more lovely. On the Iowa side, especially, the country sweeps off from the shore most beautifully in the form of a rolling prairie, covered here and there with small clusters of trees, that give it the aspect and loveliness of a region that had been under the highest cultivation for the last three centuries. And yet five years ago no foot trod there but the Indian's.",107-8,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 107-110.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-07-15,,19th century,1830s,42.4177,-90.4283,Galena,"Galena, Illinois",United States of America,Nothern America,North America,"Fevre River, at Galena, runs through a narrow vale, and is hedged in on either side by ranges of hills. The town is built at the base and on the side of the western ridge, which is here quite precipitous. The valley itself is overflown with every rise of the Mississippi above this point. The waters of the Fevre River between Galena and its junction with the “Father of rivers” are very sluggish—so that the waters of the Mississippi flow up to Galena often three or four times a year, and flood the whole lower part of the town. Since I have been here the third rise which they have had this season occurred, occasioned as it was supposed by the melting of the snows and ice around the sources of the most northern tributaries of the Mississippi. One thing is very remarkable in relation to the whole class of western tributaries to this stream. The freshets to which they are subject, all occur at different seasons, beginning with the southernmost and ending with the most northerly. This is accounted for by the fact, that, as these streams take their rise at different points of latitude in the Rocky Mountains, spring and summer reach the source of each of them in regular progression from south to north, by a few weeks later. This is a most merciful provision: for if the freshets in two or three of these streams were to happen at the same time, the effects would be desolating. Let the Red River, the Arkansas, and the Missouri, pour their swollen streams at the time of their annual freshets, together into the Mississippi, and the whole lower regions for hundreds of miles above and around New Orleans would be one unbroken sea. What a tremendous armament of destruction has the Almighty here! Have not the inhabitants of that city which has seated herself, as a queen at the mouth of this river, reason to remember that the Lord can bury them in a moment in the midst of the sea? He has only to blow with his wind, and the waters will flow, and the depths cover them! Let those who openly and remorselessly trample on every law of God consider this and tremble. Galena is by no means a pleasant town. There are some situations on the hills which environ it that would furnish delightful sites for residences, but at present these 10 are chiefly unoccupied. The streets of this place are nar. row, and after a rain unspeakably muddy. The houses are small, poor, and crowded. There is nothing interesting or attractive about the appearance of the town, except in a business point of view. Galena is the port where almost all the lead raised from the vast mines scattered through this region is brought to be shipped, and will therefore unquestionably be a place of great importance. Its moral character, I fear, is far from what we could wish it. Like many of these western towns, till recently, there has been scarcely the semblance of a Sabbath here. Drinking, duelling, and gambling, have all been common.—And yet there are many here that wish things were different, and are making some successful efforts to cause them to be so.",107-110,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 122-3.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837,,19th century,1830s,41.8732,-87.6802,Chicago,"Chicago, Illinois",United States of America,Nothern America,North America,"About a dozen miles before we reached Chicago, we seemed to descend to another steppe of land, where the prairie was for the most part from two to twelve inches under water. The grass, thus having its roots continually irrigated, looked very rank; we made but very slow progress through it on our way. Though that part of Chicago which is built up, stands on more elevated ground, the anticipated limits of the city extend into this wet prairie. We saw the lots staked out as we passed, which I suppose have been sold at a very high price. I could not but think of the remark of a fellow traveller, who, in speaking of this and several other places, said, “If each of these places do not become as large as Pekin in China, these city lots cannot all be built upon.” Chicago is truly an interesting place. It has sprung up here in three or four years—a city —as by the wand of enchantment. I had heard much of this place, but must confess I was not prepared to find so large and interesting a town. Its situation on either side of the Chicago river is too well-known to need description. It has quite the air of an eastern town. There is a fine brick Episcopal Church just completed. Our stay was very brief in Chicago. Almost the first sound we heard after our arrival, was the ringing of the bell of the large and beautiful steamboat, James Madison , which was on the eve of departure for Detroit and Buffalo. As we might have no other opportunity of going by the lakes for the next ten days, with the specimen of land travelling that we had just had, we were not long in making up our minds whether we would avail ourselves of this boat, or direct our course to Detroit through the Michigan woods. We gave Chicago a very hasty survey, took our passage on board the James Madison, and as the shades of evening gathered over us we found ourselves skimming over the waves of Michigan lake.",122-3,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 123-6.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-07,,19th century,1830s,45.8631,-84.6289,Mackinaw,"Mackinac Island, Michigan",United States of America,Nothern America,North America,"It was towards evening when we approached this picturesque spot—Mackinaw—where the wide expanse of water, and the dark evergreens of the islands, and the thronging multitudes of wild men, gave to this point in my journey a novel appearance. I think this would be a most delightful retreat for an invalid who wanted retirement, a cool, invigorating atmosphere, and inducements to active exercise. It would be impossible for a man to be here long without having new trains of thought awakened in his mind, or without being led to contemplate the human character under several new aspects. Mackinaw is an island of about nine miles in circumference. There is a fort occupying the elevated parts of the town, which is now vacated, the troops having been withdrawn to be present at the treaty at St. Peter's. This circumstance, in connexion with the great number of Indians now present, has created some uneasiness in the minds of the inhabitants of this place, especially as the Indians are very much dissatisfied with the attempt to palm off on to them goods in part for their annuities, when money had been promised. Already has a council been held among them, and the hint has been dropped that they can bring a thousand warriors into the field. The first object that met my eye on the low pebbly shore, as we approached the island, was the beautiful lodges, and well made bark canoes of the Ottawa and Chippewa tribes. The whole appearance of their encampment in this wild spot is picturesque and imposing. Each family had their bark canoe, which was now drawn up on the beach, and lay beside their lodge or tent. In this canoe, made of the outer rind of the birchen tree, they carry their family, and furniture, and all their worldly effects— children, dogs, fishing-tackle, guns, their tent, cooking utensils, and themselves. Their tent, or lodge, consists first of five or six tapering rods, which are set up so as to form a cone, and then around these are placed a coil of matting, made of reeds or flaggs, and arranged in such a manner as to form a series of concentric or circular covering, each lapping upon the other like the scales upon a fish. In the centre of the lodge a fire was kindled, a hole having been left in the upper part through which the smoke could pass off. Around the fire were spread the blankets and bear-skins, which furnished both beds and seats. We entered several tents and were kindly received.",123-126,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
John Clark,Gleanings by the Way,"John Clark, Gleanings by the Way (Philadelphia: W.J. & J.K. Simon, 1842), 128-9.",Philadelphia,W.J. & J.K. Simon,1842,Male,unknown,English,,,1837-07,,19th century,1830s,42.3495,-83.073,Detroit,"Detroit, Michigan",United States of America,Nothern America,North America,"Detroit, is an interesting and beautiful town. The parted stream above the city, and the island around which it winds, as well as the view of Sandwich on the opposite side, with the improved country that stretches around it, are all points of interest upon which the eye loves to linger. The houses in Detroit are generally composed of wood, which are very neatly painted. Several streets running parallel with the river are exceedingly beautiful, especially Jefferson Avenue , which is the Broadway or Chesnut street of Detroit. The Episcopal Church is a very neat gothic building. A second Episcopal Church of a larger size is soon to be erected in another part of the town. The churches and other public buildings in Detroit are certainly highly creditable to the place.",128-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/16848/16848.pdf,,,,,,,,,,,,,,,,,,,,,
