Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 24-6.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-05-01,,19th century,1810s,40.7065,-74.0126,New York City,"New York City, New York",United States of America,Eastern Coast,North America,"I have now spent several weeks in New York, but shall postpone for the present any remarks upon the social, moral, or political characteristics of its inhabitants, in the hope that I shall hereafter have abundant opportunities of more extensive observation; the remaining pages of this letter shall rather be devoted to brief notices of the more remarkable peculiarities of their city. New York is built upon the southern point of Manhattan island, and enjoys a situation in every respect admirably suited for commercial purposes. The Hudson, or North River, passes it upon the one side; a narrow part of Long Island Sound, familiarly termed the East River, washes it upon the other; while in front is a noble bay, expanding between the shores of Long Island and New Jersey, in which the united navies of the world might spread their canvass. Below the bay are the Narrows, facilitating the defence of the harbour, and at various points above and below them are forts of such imposing strength, that it seems impossible that any naval armament can ever reach the city, unless in consequence of the co-operating exertions of a powerful land force. Ice very rarely, now, obstructs the navigation, and about twenty miles from the city the Atlantic opens to the vessels, without a rock or island thereafter to annoy them. With the eastern coast of
 America, there is a convenient and safe communication through Long Island Sound; and the Hudson, having its source in the upper part of the state, affords an inland navigation, even for large vessels, of more than a hundred and fifty miles. The harbour of New York is one of the best in the country, and is capable of almostunlimited extension. The wharfs skirt both sides of the island, and piers project at rightangles into the stream, leaving intermediate slips, which have many of the advantagesof wet docks and are free from several of their inconveniences. The tides rise and fallabout six feet, but there is always water enough abreast of the piers to float the largestmerchantmen. They do not however enjoy the advantage of dry docks, for the tide doesnot ebb sufficiently to empty them and mechanical means have not yet been resorted to;but vessels which need repair are hove down in shallow water, first upon the one side and then upon the other.",24-6,,,,,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 37-8.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-07-01,,19th century,1810s,42.3621,-71.0514,Boston,"Boston, Massachusetts",United States of America,Eastern Coast,North America,"Boston occupies a small peninsula in Massachusetts bay, and possesses a safe and commodious harbour, strongly defended from maritime attacks. The commerce of Boston is very considerable; probably in this respect it ranks as the fourth city in the United States,
 for New York, Philadelphia, and I believe New Orleans, are before it. The town has outgrown the limits of the position which it occupies, and Charlestown upon an opposite peninsula, and South Boston upon the main land, may be regarded as integral parts of the city. Circumscribed, however, as they are, the citizens have had the good taste to reserve a park of upwards of forty acres, upon which no buildings have been allowed to encroach. The Mall, as this is called, is surrounded with spreading elms, and is the finest that is to be found within the limits of any considerable town in the United States. It would be needless to remark how much it contributes to the beauty of the town, and the comfort of the inhabitants, were it not that so simple and so obvious an ornament is strangely overlooked in the larger American cities, notwithstanding the abundance of elbow room which all of them enjoy. Boston has much more of the appearance of a British town than New York. Many of the buildings are of a fine white granite, and most of the others are of brick; the streets are very compactly built, and although many are narrow and crooked, all exhibit a degree of order and cleanliness which will in vain be looked for in New York. On a finely rising ground at the upper part of the Mall, stands the State House, a building of humbler
 pretensions as to size and materials than the New York City Hall, but in situation and architectural outline greatly superior. It is nearly square; in front is a lofty projecting colonnade of the Corinthian order, twelve columns in length, springing from a piazza of rusticated arches, but unhappily bearing only a balustrade, over which rises a small attic story with a pediment; and overtopping all is a large circular dome terminated by a small square lantern. From the lantern of the State House a most commanding view is obtained
 of the surrounding country. In front is Boston bay, studded with nearly forty islands, with fortifications and a light house; the shores which surround its ample basin, advancing and receding with most capricious irregularity, and forming numerous capes and peninsulas,
 on one of the largest of which is the city. The vast amphitheatre around the bay exhibits a country richly variegated with hill and valley, immense forests and cultivated ground; and sprinkled with about twenty little towns of snowy whiteness, among which a dozen of
 spires may be counted.",37-8,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 128-9.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-09-01,,19th century,1810s,39.9418,-75.1674,Philadelphia,"Philadelphia, Pennsylvania",United States of America,Eastern Coast,North America,"The position of Philadelphia, although not equal to that of New York, is yet well chosen in reference to the character of the surrounding country. The city stands upon an isthmus about two miles wide, between the Delaware and the Schuylkill, five miles above their confluence, and about an hundred and twenty miles from the sea. Both rivers are navigable up to the city by the largest merchantmen. The Delaware is here about a mile in width; the tide rises and falls about six feet, and vessels of 1200 tons can come up to the wharfs. In severe winters, the communication with the sea is still occasionally interrupted; but not so frequently as formerly, nor for so long at one time, and as the surrounding country becomes cleared of its forests the severity of the winters will be still
 farther mitigated. The course of the two rivers at the city is very nearly north and south, but almost immediately above, they diverge; the Delaware to the northeast, and the Schuylkill to the north-west, thus materially facilitating the commercial communication with the interior of the State, and the adjoining one of New Jersey. The Delaware is navigable by large sloops and steam boats to Trenton, about thirty miles above, and the Schuylkill, although above the city comparatively shallow and disturbed with rapids, is navigable by small vessels and rafts to a considerable distance. A little deepening of this river in some places, and the cutting of short canals from one stream to another, would open a communication for some hundreds of miles into the interior. The ground on which the city stands, is covered with a stratum of fine clay; the banks of the Schuylkill furnish a plentiful supply of marble, and the country around is rich in timber, so that materials for building are most abundant. The appearance of the city from the river is by no means imposing; rather the opposite. The ground is generally level, and the mass of buildings present a dull heavy uniformity; most of those along the bank are by no means elegant, and only a solitary steeple rises above the dense horizon. The aspect however improves amazingly when you enter the streets, which are wide, straight, and clean, and, with only one exception, cross each other at right angles. The houses are in general of painted brick, but some of the more modern have a flight of marble steps in front, and the lintels of the doors and windows, and even the side walk in front, are of the same beautiful materials.",128-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 150.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-09-01,,19th century,1810s,39.2687,-76.5998,Baltimore,"Baltimore, Maryland",United States of America,Eastern Coast,North America,"Baltimore is built at the top of a small bay in the river Patapsco, near its entrance into the Chesapeake, and consists of two portions, nearly a mile asunder; the upper of which is properly speaking the town, and the lower called Fell's Point is the harbour. The water comes up to the town but it is shallow and in general none but coasters go past the Point. The bay is formed and protected by a peninsular tongue of land which stretches downwards into the river; the entrance is narrow and is completely commanded by a fort,
 which sustained a heavy bombardment during last war. The town is built with considerable regularity, upon portions of three hills and their intervening 220 valleys; many of the streets cross each other at right angles, and they are in general spacious and well paved. A large proportion of the buildings are of brick; the more ancient, in consequence of inattention to painting, have rather a gloomy aspect, but the modern ones resemble in every respect those of New York and Philadelphia. In public buildings Baltimore aspires to distinction, but some of the most considerable are as yet only in progress. A massy brick edifice which is intended for an Exchange has been roofed in; externally it is remarkable for dimensions rather than elegance, and of its internal appearance I can say nothing. Two new churches are going forward, the one destined to be a Romish Cathedral the other a Socinian Chapel. They stand very near each other, rather above the city, and as yet a considerable space is open around them.
 The style of the respective buildings strikes me as somewhat appropriate to the system which it has been erected to support.",150,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 168-70.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-09-01,,19th century,1810s,38.8897,-77.0333,"Washington, D.C.","Washington, D.C.",United States of America,Eastern Coast,North America,"I Have now the honour of addressing you from the metropolis of the United States. It is common here to call Washington ‘the city in the woods,’ I was therefore somewhat surprised to find that there is little or no wood near it. The aspect of the city indeed would have been much improved by a few trees, to fill up the vacancies, and thus afford something for the eye to rest upon between one group of buildings and another. The soil however is poor, and the probability is that there has never been much timber on this spot;
 I have noticed none of the stumps which are usually left when the forests are felled. The position which was selected for the Federal city, is a point of land embraced by the forking of the river Potowmak, about one hundred and twenty miles from its junction with the Chesapeake, and about two hundred and fifty miles from the sea. The principal branch of the river flows down upon the west, and unites with the smaller one from the eastward in front of the city. Ships of war of the largest size can float in safety three or four
 miles above the junction of the streams. It was expected that this situation would have been found particularly favourable to commercial enterprize, and consequently that the population would rapidly increase; hitherto however these hopes have not been realized.
 Georgetown, about a mile above upon the principal branch of the river, monopolizes the inland trade, and Alexandria seven miles below intercepts the foreign; while the barrenness of the surrounding country is discouraging to settlers. The prosperity of Washington therefore seems to be in a great measure dependent on its advantages as the seat of government, and these in a new government, economical even to penuriousness in the salaries of its public officers, cannot as yet be very important....The original plan of the city was on a most extensive scale. A parallelogram more than four miles and a half long, and two miles broad, was regularly divided into streets, avenues, and squares, and should the anticipations of its founders be realized, this will after all be but the nucleus of the future metropolis. The streets are laid out towards the cardinal points, crossing each other at right angles; the avenues intersect these diagonally, so as to avoid the tiresome sameness which is observable in Philadelphia, and extensive squares are to be placed at the crossings of these transverse lines. The avenues are from 130 to 160 feet wide, the streets from 80 to 110.",168-70,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 216.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-10-01,,19th century,1810s,42.6529,-73.7475,Albany,"Albany, New York",United States of America,Eastern Coast,North America,"Albany was, an early Dutch settlement and the streets are filled with Dutch names, of most difficult and cacophonous utterance. The town consisted originally of a single street, skirting the bank of the river, which takes a slight bend here; but it subsequently extended backwards very considerably, and some of the recent streets towards the north are spacious and well built, and as usual lined with poplars. In many places there is a singular mixture of poverty and splendour. A number of the old Dutch erections are still standing; small houses of red and yellow bricks, with the gable end to the street, having a door and window in the ground floor, a single window in the next, and above it the year of their erection embossed upon the surface in huge iron figures, and the whole surmounted with an iron weather-cock rusted upon the rod. There is an air of antiquity about these buildings, which is interesting in a country where antiquity is so rare. The modern erections exhibit the same tasteful style which prevails in New York and Philadelphia. Two or three of the public buildings are of white marble; one of them is surmounted with a very neat dome, but in another the effect of the marble wall is sadly disfigured by the untasteful addition of a red tiled roof. The Capitol, or State House has rather a neat portico, and a dome surmounted with a statue of Justice; it stands at the upper end of a very steep but wide street, running at right angles to the river. Near the Capitol is a very neat Academy with two wings, built of reddish coloured freestone.",216,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 24-6.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-05-XX,,19th century,1810s,40.7065,-74.0126,New York City,"New York City, New York",United States of America,Eastern North America,North America,"I have now spent several weeks in New York, but shall postpone for the present any remarks upon the social, moral, or political characteristics of its inhabitants, in the hope that I shall hereafter have abundant opportunities of more extensive observation; the remaining pages of this letter shall rather be devoted to brief notices of the more remarkable peculiarities of their city. New York is built upon the southern point of Manhattan island, and enjoys a situation in every respect admirably suited for commercial purposes. The Hudson, or North River, passes it upon the one side; a narrow part of Long Island Sound, familiarly termed the East River, washes it upon the other; while in front is a noble bay, expanding between the shores of Long Island and New Jersey, in which the united navies of the world might spread their canvass. Below the bay are the Narrows, facilitating the defence of the harbour, and at various points above and below them are forts of such imposing strength, that it seems impossible that any naval armament can ever reach the city, unless in consequence of the co-operating exertions of a powerful land force. Ice very rarely, now, obstructs the navigation, and about twenty miles from the city the Atlantic opens to the vessels, without a rock or island thereafter to annoy them. With the eastern coast of
 America, there is a convenient and safe communication through Long Island Sound; and the Hudson, having its source in the upper part of the state, affords an inland navigation, even for large vessels, of more than a hundred and fifty miles. The harbour of New York is one of the best in the country, and is capable of almostunlimited extension. The wharfs skirt both sides of the island, and piers project at rightangles into the stream, leaving intermediate slips, which have many of the advantagesof wet docks and are free from several of their inconveniences. The tides rise and fallabout six feet, but there is always water enough abreast of the piers to float the largestmerchantmen. They do not however enjoy the advantage of dry docks, for the tide doesnot ebb sufficiently to empty them and mechanical means have not yet been resorted to;but vessels which need repair are hove down in shallow water, first upon the one side and then upon the other.",24-6,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 37-8.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-07-XX,,19th century,1810s,42.3621,-71.0514,Boston,"Boston, Massachusetts",United States of America,Eastern North America,North America,"Boston occupies a small peninsula in Massachusetts bay, and possesses a safe and commodious harbour, strongly defended from maritime attacks. The commerce of Boston is very considerable; probably in this respect it ranks as the fourth city in the United States, for New York, Philadelphia, and I believe New Orleans, are before it. The town has outgrown the limits of the position which it occupies, and Charlestown upon an opposite peninsula, and South Boston upon the main land, may be regarded as integral parts of the city. Circumscribed, however, as they are, the citizens have had the good taste to reserve a park of upwards of forty acres, upon which no buildings have been allowed to encroach. The Mall, as this is called, is surrounded with spreading elms, and is the finest that is to be found within the limits of any considerable town in the United States. It would be needless to remark how much it contributes to the beauty of the town, and the comfort of the inhabitants, were it not that so simple and so obvious an ornament is strangely overlooked in the larger American cities, notwithstanding the abundance of elbow room which all of them enjoy. Boston has much more of the appearance of a British town than New York. Many of the buildings are of a fine white granite, and most of the others are of brick; the streets are very compactly built, and although many are narrow and crooked, all exhibit a degree of order and cleanliness which will in vain be looked for in New York. On a finely rising ground at the upper part of the Mall, stands the State House, a building of humbler pretensions as to size and materials than the New York City Hall, but in situation and architectural outline greatly superior. It is nearly square; in front is a lofty projecting colonnade of the Corinthian order, twelve columns in length, springing from a piazza of rusticated arches, but unhappily bearing only a balustrade, over which rises a small attic story with a pediment; and overtopping all is a large circular dome terminated by a small square lantern. From the lantern of the State House a most commanding view is obtained of the surrounding country. In front is Boston bay, studded with nearly forty islands, with fortifications and a light house; the shores which surround its ample basin, advancing and receding with most capricious irregularity, and forming numerous capes and peninsulas, on one of the largest of which is the city. The vast amphitheatre around the bay exhibits a country richly variegated with hill and valley, immense forests and cultivated ground; and sprinkled with about twenty little towns of snowy whiteness, among which a dozen of spires may be counted.",37-8,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 128-9.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-09-XX,,19th century,1810s,39.9418,-75.1674,Philadelphia,"Philadelphia, Pennsylvania",United States of America,Eastern North America,North America,"The position of Philadelphia, although not equal to that of New York, is yet well chosen in reference to the character of the surrounding country. The city stands upon an isthmus about two miles wide, between the Delaware and the Schuylkill, five miles above their confluence, and about an hundred and twenty miles from the sea. Both rivers are navigable up to the city by the largest merchantmen. The Delaware is here about a mile in width; the tide rises and falls about six feet, and vessels of 1200 tons can come up to the wharfs. In severe winters, the communication with the sea is still occasionally interrupted; but not so frequently as formerly, nor for so long at one time, and as the surrounding country becomes cleared of its forests the severity of the winters will be still
 farther mitigated. The course of the two rivers at the city is very nearly north and south, but almost immediately above, they diverge; the Delaware to the northeast, and the Schuylkill to the north-west, thus materially facilitating the commercial communication with the interior of the State, and the adjoining one of New Jersey. The Delaware is navigable by large sloops and steam boats to Trenton, about thirty miles above, and the Schuylkill, although above the city comparatively shallow and disturbed with rapids, is navigable by small vessels and rafts to a considerable distance. A little deepening of this river in some places, and the cutting of short canals from one stream to another, would open a communication for some hundreds of miles into the interior. The ground on which the city stands, is covered with a stratum of fine clay; the banks of the Schuylkill furnish a plentiful supply of marble, and the country around is rich in timber, so that materials for building are most abundant. The appearance of the city from the river is by no means imposing; rather the opposite. The ground is generally level, and the mass of buildings present a dull heavy uniformity; most of those along the bank are by no means elegant, and only a solitary steeple rises above the dense horizon. The aspect however improves amazingly when you enter the streets, which are wide, straight, and clean, and, with only one exception, cross each other at right angles. The houses are in general of painted brick, but some of the more modern have a flight of marble steps in front, and the lintels of the doors and windows, and even the side walk in front, are of the same beautiful materials.",128-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
John M. Duncan,Travels Through Part of the United States and Canada in 1818 and 1819,"John M. Duncan, Travels Through Part of the United States and Canada in 1818 and 1819 (London: Hurst, Robinson, & Company, 1823), 150.",London,"Hurst, Robinson, & Company",1823,Male,England,English,,,1818-09-XX,,19th century,1810s,39.2687,-76.5998,Baltimore,"Baltimore, Maryland",United States of America,Eastern North America,North America,"Baltimore is built at the top of a small bay in the river Patapsco, near its entrance into the Chesapeake, and consists of two portions, nearly a mile asunder; the upper of which is properly speaking the town, and the lower called Fell's Point is the harbour. The water comes up to the town but it is shallow and in general none but coasters go past the Point. The bay is formed and protected by a peninsular tongue of land which stretches downwards into the river; the entrance is narrow and is completely commanded by a fort,
 which sustained a heavy bombardment during last war. The town is built with considerable regularity, upon portions of three hills and their intervening 220 valleys; many of the streets cross each other at right angles, and they are in general spacious and well paved. A large proportion of the buildings are of brick; the more ancient, in consequence of inattention to painting, have rather a gloomy aspect, but the modern ones resemble in every respect those of New York and Philadelphia. In public buildings Baltimore aspires to distinction, but some of the most considerable are as yet only in progress. A massy brick edifice which is intended for an Exchange has been roofed in; externally it is remarkable for dimensions rather than elegance, and of its internal appearance I can say nothing. Two new churches are going forward, the one destined to be a Romish Cathedral the other a Socinian Chapel. They stand very near each other, rather above the city, and as yet a considerable space is open around them.
 The style of the respective buildings strikes me as somewhat appropriate to the system which it has been erected to support.",150,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/6788a/6788a.pdf,,,,,,,,,,,,,,,,,,,,,
