Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 8-10.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1824-12-18,,19th century,1820s,39.293,-76.6141,Baltimore,"Baltimore, Maryland",United States of America,Nothern America,North America,"On the 18th Dec., at two o'clock, the pilot laid the vessel alongside the wharf, when, in an instant its deck was covered with people of all sorts, looking about and asking questions. After packing my luggage, I went into the town to procure something to eat, lodgings, &c., when I felt myself a stranger, on a foreign, although a kindred strand. After dining heartily on some excellent sausages, with some pleasant mild ale, I took a ramble through the city; but I hardly knew how to walk, the pavement seemed to have the motion of the vessel. Baltimore is a large town, with some handsome public and private buildings; the streets are spacious, airy, and clean; the centres pitched with rock stone, and the side walks paved with red brick, of which also houses are mostly built. Pratt Street, along the water side, was all in a bustle, and apparently full of business, but the method of doing it evidently differs considerably from the manner in England. At one church, and two meeting-houses (no chapels here); some of them elegant buildings, with very respectable-looking congregations. Dined with the captain, whose treatment was hospitable. The manners of the Americans appear widely different to the English, particularly of the females, who are more easy and unembarrassed, yet reserved, in their address, than the retiring diffidence of the latter. Took lodgings at a respectable ship carpenter's, at three dollars, or 13 s. 6 d. sterling, per week, board, washing, and mending including. —A clear, bright, frosty air this morning. Thermometer in my sleeping room 43. Went to the custom-house, with the captain, to clear my luggage. Paid half a dollar to a notary (a very polite, agreeable person) for drawing up an inventory and certificate of my luggage, and 20 cents (one-fifth of a dollar, or about 11 d. sterling) on presenting it, when the only question asked was, Will you swear this is a correct statement, and that the articles are for your own private use? I merely answered in the affirmative. Had a ramble through the town and its environs. Like the appearance of the Americans generally, and think the place prosperous, as tho people appear to be all employed and busy, and have the air of ease and content in their countenances, with but little superciliousness. The markets are well supplied with meat as to quantity, but the quality not quite, so good as in England, excepting the pork, which is fine; some little good beef, but veal and mutton very indifferent, nor is trouble taken to set it off to the best advantage. The vegetables brought to market now are chiefly potatoes, beets, and cabbages, great quantities of the latter, and mostly drumheads; some few carrots, turnips, onions, sweet potatoes, &c. at moderate prices. A great many negroes about the markets and wharfs, who appear far more lively and as independent as the whites, but are treated by the latter as inferior beings; will not eat at the same table, or walk in their company, and have separate places of worship. There are five market houses in Baltimore, some of them large, and all conveniently built, very similar to the old Fleet Market in London. The centres, which are spacious, are occupied on each side by the butchers; on the outside of the butchers' stalls is also a passage on each side, with stalls on either hand, where vegetables, country produce, flour, meal, &c., ready-made clothes, shoes, tin-ware, &c. are exposed. The fish markets are at the ends of the others, and generally well supplied. To-day are their Christmas markets, at which there is great plenty of every thing—some good beef, pork excellent, mutton thin and small, veal (calf) hardly fit to eat, killed too young.",,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 28-9.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-06-14,,19th century,1820s,39.9483,-75.1576,Philadelphia,"Philadelphia, Pennsylvania",United States of America,Nothern America,North America,"Arrive in Philadelphia, a place the more interesting for the generous and noble character of its worthy founder; one may easily discern the sound judgment of PENN, in his choice of a site for building the city. Far enough up the river to be out of danger of surprise from an enemy's fleet; on ground sufficiently high and dry for health, with an easy slope to the water for convenience of trade, &c., and the country round rich and fertile. There are several English families leaving hereabouts, I am informed, for the province of Upper Canada, to procure land of government. Took a walk into the country; the soil in the vicinity of the town is a strong sandy loam; saw some excellent crops of wheat, barley, and rye, partly lodged or laired. Wheat will be twelve or fourteen days before ripe, and rye eight or ten. People busy with their hay and clover, which are pretty good crops, but they have stood till they are too old before cutting, which appears to be a too general practice where I have been; but the heat of the climate, and, consequently, quick growth and ripening of the grass, necessarily prevent the whole being cut down in proper order. Engaged board and lodging at the New England Hotel at 2 s. 3 d. per day. Nothing particularly striking in the town; no elegant public springs or monuments, &c., that I could see, as at Baltimore: streets not so spacious, but more regular and compact than the latter. The country too flat for shew, the finest object being the river and its opposite shore, about half a mile across, with a little island in the middle of it. Steam and team boats continually crossing and re-crossing. They are double boats, or two placed side by side, the paddles working between, with a deck across both, to take waggons, carriages, &c. You may drive into them seated in any vehicle, and out on the opposite side on coming to shore, without the least danger. A large bell is rang every time they make the shore, stop about ten minutes, ring again and off.",28-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 30-1.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-06-17,,19th century,1820s,40.7378,-73.9918,Manhatten,"New York City, New York",United States of America,Nothern America,North America,"Had a walk through the town and vicinity: it is situated on the south-east end of Mahatten Island, which is apparently about two miles across, and several in length. North or Hudson River runs on one side, and East River on the other, at the end of which they join. A very great number of vessels, of all kinds and sizes, lying at the wharfs on both sides of the town, and a great deal of business going forward, more like London than any other place I have seen. Broadway is a fine street, as are also some others. Markets are well supplied, but appear to be much crowded. At the back of the town there are evident marks of an overwhelming flood. On the highest parts of the island the soil is washed off the rocks, and huge stones laid bare, or tumbled together in the ravines. Another such a place near Trenton, on high land. Almost all the roads leading to a town in America are full of houses on their sides, called “taverns,” or “liquor,” “beer and cake,” or “grocery” stores. My notice was attracted to-day by one with a small kitchen garden before it, with a few benches for seats, with Waterloo Gardens in printed capitals over the gate! as a magnet, I suppose, to attract the contents of Johnny Bull's purse. New York is a place of great trade, and will still increase, it is so well situated. Open at all times to the sea—at the confluence of several fine rivers, and the canal from Albany to Lake Erie greatly augments it. The state of New York is the richest in the Union, and the climate the most genial and moderate for Europeans. The prices of wheat, flour, &c. here, at Baltimore and Philadelphia, are nearly the same. As building in summer is always going on, house-carpenters, brick-makers, and bricklayers, generally find employment almost anywhere, except in the depth of winter, at 4 s. 6 d. to 7 s. or 8 s. per day; also shoemakers, tailors, and persons well acquainted with any useful common trade, may meet with employ in some place or other.",30-1,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 35.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-06-23,,19th century,1820s,43.0997,-75.2331,Utica,"Utica, New York",United States of America,Nothern America,North America,"Utica, one of the largest and prettiest, has two or three churches, and other places of worship, with large and neat houses, some few of brick, but the greater part of frame, and painted in various shades of yellow and stone colouring, which gives them a gay and lively appearance. In some of these new towns, the streets are as yet only ridged, or “turnpiked,” in the centre; others are gravelled, but none, I believe, yet paved. Land worth from 6 to 25 or 30 dollars per acre, or from 30 s. to 7 l. 10 s. Cows from 2 l. 4 s. to 4 l. 10 s. each; sheep 4 s. 6 d. to 9 s ; horses from 4 l. 10 s. to 16 or 17 l.",35,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 36.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-06-27,,19th century,1820s,42.8901,-78.859,Buffaloe,"Buffalo, New York",United States of America,Nothern America,North America,"After seeing my trunks safe, I walked to Buffaloe, a great shipping port for the western States, situate on or near the Upper Lakes. Buffaloe was burnt in the war, and some other places, by the British, in retaliation for the burning and plundering the Canada side by the Americans. It is now rebuilt, and is a thriving place. The wind being brisk and westward, drives down the lake the big rolling waves, which break on the pier and beech with a thundering noise.",36,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 38-9.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-06-28,,19th century,1820s,43.1685,-79.0577,Queenston,"Queenston, Niagara-on-the-Lake, Ontario",Canada,Nothern America,North America,"The village of Queenston is situated at the foot of this mountain or ridge, where the Falls evidently have been, seven miles from the present one; the river here is amazingly deep at the foot of the mountain. This village is situated at the head of the Ontario navigation, and though small has been a thriving place, but now in a state 39 of decay; the town of Niagara, seven miles below, at the mouth of the Niagara river, having engrossed all the trade, excepting the forwarding of merchandise up, and produce down from the upper part of the province. Queenston is in a pleasant and very healthy situation, and the country pretty well cleared back; the houses are in a state of dilapidation.",38-9,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 75-6.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-11-05,,19th century,1820s,43.2166,-79.9897,Ancaster,"Ancaster, Ontario",Canada,Nothern America,North America,"From the west you approach Ancaster without any rise of ground, but on arriving at it you find yourself on the edge of an eminence, or mountain. The country before you, and on each hand, is broken, precipitous and romantic, and in summer must be beautiful, and no doubt healthy. This ridge or mountain runs north-west towards Lake Huron circuitously, and south-east across the Niagara at Queenston, before noticed, and onward through Lockfort, in the States. Ancaster is a large thriving handsome village, with some smart buildings, good houses, and a neat new church situated on the brow of the hill, down which a small but constant spring-stream runs, supplying two distilleries, a brewhouse, and a large mill, &c. This place, I am told, mostly belongs to one of four brothers, Scotchmen, of the name of Crooks, who have all been members of the colonial assembly. Passed on along a meandering road over hill and through dale, to Dundas, a pretty little, yet fast increasing, village, situated in a vale, by the side of a clear stream, two miles from Ancaster.",75-6,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 76-7.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-11-09,,19th century,1820s,43.6954,-79.4517,York,"York, Ontario",Canada,Nothern America,North America,"At York, the present capital of Upper Canada, being in 43 degrees 35 minutes north, contains between 2000 and 3000 inhabitants, and is a fast increasing and improving place, having a number of good buildings, villas, &c. The government offices are large, and built of brick. The houses and other buildings, although generally small, are neat, and better furnished than what I have seen in some other places. The country round the town is rather too flat for show. No distant object strikes the eye except the lighthouse, the shores of the lake, and the peninsula on the opposite side of the bay, which are pleasing. The town has been unhealthy till of late; a swamp at the back of it was the cause. It is now drained, and the place is healthy. There are two churches, one of the establishment and the other Roman Catholic, and two or three meeting houses. In Canada, as in the States, the Presbyterians, Methodists, and Baptists, appear the most numerous, except in particular places, (but I may be incorrect, as I have no data to guide me), yet the Episcopalians, or Church of England Congregationalists, (Independents), and Roman Catholics, are pretty numerous; besides others, such as Quakers, Dunkards, (who are Germans) Universalists, Unitarians, and some new sects, “Davidites,” and Christians, &c. &c. On my leaving the Province a grand Law-Hall was building, and a new House of Assembly and College to be commenced immediately, which makes a demand for stone cutters and masons, and is a great stimulus to the place; there is also a talk of a new Episcopal church being shortly erected.",76-7,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 80.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1825-12-10,,19th century,1820s,43.2526,-79.0632,Fort George,"Fort George, Ontario",Canada,Nothern America,North America,"Left York in a schooner, to cross the Lake to Niagara (or Fort George) for 4 s. 6 d. , about thirty-six miles; arrived in the evening. Niagara is pleasantly situated on apparently a dry healthy soil, at the outlet of the noble river from which it derives its name. This was the first place burnt during the last war by the American General M'Clare. It is a very smart, neat, clean place, with some large stores and good taverns. The air is milder than on the other side of the lake, and the snow never falls so soon nor so deep. Niagara to Queenston, and indeed round the head of the lake to Dundas, Hamilton, and Ancaster, is a fine country, genial air, healthy, well watered, and settled. Land from 30 s. to 4 l. 10 s. per acre. Fruit is plentiful, good, and cheap. Apples are pared, quartered, and cored, then strung on a thread to dry, either by the sun or fire. The peaches have their stones taken out and dried in the same way, and otherwise preserved.",80,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
Joseph Pickering,"Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830","Joseph Pickering, Emigration, or No Emigration; Being the Narrative of the Author, (an English farmer) from the Year 1824 to 1830 (London: Longman, Rees, Orme, Brown, and Green, 1830), 87.",London,"Longman, Rees, Orme, Brown, and Green",1830,Male,England,English,,,1826-04-02,,19th century,1820s,42.104,-83.105,Amherstburg,"Amherstburg, Ontario",Canada,Nothern America,North America,"Entered the Detroit river about noon, and was soon at the town of Malden, or Amherstburgh, three miles from its mouth; a smart, neat, French-built town, opposite the fine small island of Bois Blanc, and others. There is good and safe anchorage between the island and main shore, well adapted for wharfs and other conveniences for naval or commercial purposes. The houses have long steep roofs, after the French fashion: some neat gardens round the town, enclosed with paling. The inhabitants are the greater part French, the first settlers. This place is well situated for trade, in the very mildest and southernmost part of the province, latitude 42½; but it wants some enterprising spirits to make it flourish rapidly. Considerable quantities of tobacco are grown in the neighbourhood, which it is evident will soon become quite a staple article. Potatoes are selling here at 2 s. 3 d. per bushel, and brought out of the States, like many other articles.",87,,,Library of Congress,https://tile.loc.gov/storage-services/service/gdc/lhbtn/13760/13760.pdf,,,,,,,,,,,,,,,,,,,,,
