Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,17 May N.S. 1864,17 May N.S. 1864,,19th century,1860s,41.29293,-95.51335,Silver Creek,Silver Creek,United States of America,Northern America,North America,"This morning the boys were not ready to start having some repairing to do. We drove on to Silver creek for dinner. This is a narrow stream, winding its way like a silver thread among the green hills. The water is as clear as a crystal. Most of these prairie streams are deep and narrow. Drove out to Musketo Creek one mile and a half from Council Bliffs and struck our night camp.",15,,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,18 May N.S. 1864,23 May N.S. 1864,,19th century,1860s,41.26194,-95.86083,"Council Bluffs, IA","Council Bluffs, IA",United States of America,Northern America,North America,"We arrived at Council Bluffs about 9 o'clock and the boys about 12 o'clock. We cant get across the river for several days. Hundreds of teams are waiting their turn, and frequently fights and confusion ensue. A sad accident happened to day. A little girl was josteled out of the wagon as it drove on to the ferry boat. was run over and killed They had started from this place; They returned to bury their child. We are camped under some alder trees on the north street of the city Mr. D. is getting an entire new set of wheels put up, insured to stand the trip -- cost about 35$ he is also trying to buy another span of horses, for it is perfect folly for us to start with only two, but it does seem as if he could not just suit him self, if he cannot than we will in all probability return home ward. -- While here I have been baking, washing ironing, &c. Sunday evening we took a walk to the top of a bluff north of the city. The old Indian paths are yet to be seem. We had a full view of the City and surronding country. There is a range of bluffs on each side of the City which is situated about 3 miles from the river. As I gazed on the busy throng below, my thougths were carried back to the dusky race, which, a short time ago, in this very spot, erected their ""wigwams,"" whose council fires have died out and they are being driven to the remotest corner of the continent. Here a fine city has sprung up like magic, which bids fair to be one of the greatest of the west.","16, 17, 18","https://www.loc.gov/resource/g4154c.pm002090/?st=image&r=-0.856,-0.01,1.877,0.884,0",,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,23 May N.S. 1864,25 May N.S. 1864,,19th century,1860s,41.25653,-95.9345,"Omaha, NE","Omaha, NE",United States of America,Northern America,North America,"As we are about to strike out upon the plains on our long and tedious journey, it is expedient to secure evry needful article, before leaving Omaha. Groceries of evry kind are very dear; also hardware, and such goods as are in demand for emigrants. Omaha is a great outfitting place, and is fast becoming a wealthy place. It is not over ten years since the first houses were built here and now large business houses, handsome and costly dwellings, hotels, and churches adorn evry street. The State House is a magnificent building situated on the top of a bluff commanding a full view of the city and surrounding country.","19, 20",,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,25 May N.S. 1864,25 May N.S. 1864,,19th century,1860s,41.29371,-96.28267,"Elk Horn River, NE","Elkhorn River, NE",United States of America,Northern America,North America,"Passed Elk Horn City and camped for the night at Bridgeport on the Elk Horn river. making 33 miles. The roads are somewhat hilly but hard and smooth. Our new horses ""Bill"" & ""Dick"" prove to be noble work animals, and we think if there is a team on the road, that will make the trip, it is ours. The Elk Horn is a beautiful stream, winding its way southward through a fertile valley, and emptying into the Platte. We tried to catch some fish but were unsuccessful.",21,,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,26 May N.S. 1864,27 May N.S. 1864,,19th century,1860s,41.39111,-97.19914,"Platte River, NE","Platte River, NE",United States of America,Northern America,North America,"Kept along the Platte, some times on the bank, but generally, from a mile to a half mile distant. The Platte is a wide and shallow stream, shifting about among numerous Islands and at certain seasons of the year, almost loosing itsself. The prairie comes directly up to the river, there seldom being any high banks with only here and there narrow skirts of cotton wood [...] Indians are becoming quite numerous but are friendly. The country is now thicker settled than any since we left Omaha Crops and gardens are looking well. Made 27 miles and Camped near a store on the Platte.","22, 23",,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,28 May N.S. 1864,28 May N.S. 1864,,19th century,1860s,41.43029,-97.35939,"Columbus, NE","Columbus, NE",United States of America,Northern America,North America,"Started at six o'clock this morning & reached Columbus, situated on the Loupe Fork of the Platte, about 9 o'clock. This is the last town we will pass through on our route The Pawnees are very numerous here, are peacable, but outlandish beggars. There are about 150 teams waiting for their turns to ferry, some few are fording. The ferry is coining money at one dollar a team. Your go over at a time. The distance to ferry is only about two rods, and the rest of the distance has to be forded. We got over about 2 o'clock, all safe. Here we passed quite a number of large Companies, one of which was managed by Mr. Wm Ellis of Montrose. They pled with us to join them, but as it was mostly an ox train we could not join with them.","23, 24",,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,31 May N.S. 1864,31 May N.S. 1864,,19th century,1860s,40.92639,-98.34201,Grand Island City,"Grand Island, NE",United States of America,Northern America,North America,"This morning we passed Grand Island City, which consists of two or three houses, but situated as it is, in the heart of a fine farming County, it bids fair some day, to be a flourishing town. Passed a wind mill in opperation. Travelled along Wood river nearly all day. Saw two mills on this stream. Passed a newly made grave, -- an emigrant who had fallen by the way. This afternoon the wind blew very hard, and the sky was over cast with dark and threatening clouds. Drove our wagons under the shelter of some trees on the bank of Wood river and camped for the night along with a company of freighters from Ohio, with whom we have made arrangements to travel.","26, 27",,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,2 June N.S. 1864,2 June N.S. 1864,,19th century,1860s,40.69388,-99.17816,Outside Kearney City,"Kearney, NE",United States of America,Northern America,North America,"Just as we crossed Deep ravine creek we passed through a village of prairie dogs, our boys shot three of them. Some of the emigrants eat them. I fried a young ""purp "", but the idea of eating dog meat rather set our stomaches against it. We are camped for the night at a clear slough of water, but I must give you a discription of these funny little animals, and their cities or communities They are a species of the ""mar- mot"", about as large as a guinea pig, of a brown or sandy color with heads like a terrier pup, which, I supose, has given them the name of dogs. They have a short stumpy tail, which is kept in a perpetual jerk when they are excited. They select for their city a level sandy plain, where they can easily dig their burrows. Their towns often rival in population the largest cities in Europe. There is frequently considerable regularity in ther streets. Their houses consist of little mounds, often two or three feet high, with a hole in the center, two or three feet deep vertically. Then extending to their apartments. As soon as they see such a monster as man, each one scampers off to his own house, and squats down in his hole, peeping out and barking lustily at the intruder, till he approaches too close, when they suddenly turn a sumer sault in to their burrows. If you are still, in a short time, they will look out again to reconnoiter. What is very strange, the owl and rattle snake are their constant companions, but we surmise for no good purpose, no doubt only to devour young pups.","29, 30, 31",,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,3 June N.S. 1864,4 June N.S. 1864,,19th century,1860s,40.72169,-99.4891,Buffalo Creek,"Overton, NE",United States of America,Northern America,North America,"June 3 - We drove on to buffalo creek making 27 miles. Here we found a great many emigrants camped, and heards of cattle, and mules in evry direction. we found plenty of water, but had to take our horses a long distance toward the bluffs for grass.
 
 June 4 - This morning the line of emigrants stretches over a mile in length, all having camped on Buffalo creek This is a great resort for Buffalo, hence the name of the stream. The plain is lined with their heads having been slaugherd by hunters and Indians. Good roads the most of the time, being level and hard Passed over a low range of sandy bluffs. The plains are now assuming a different appearance, and vegetation of other kinds are appearing, prickley pears, & various kinds of wild flowers are blooming by the way. We again reach the Platteandat noon and all are busy wat- ering their horses. We are resting on a nice grassy spot while our noble horses are grazing.","32, 33",,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
Kate Dunlap,The Diary of Kate Dunlap,"Dunlap, Kate, and Joni Poppitz Stimpson. ""Dunlap, Kate, 1837-1901."" BYU Library Digital Collections, 2002. Computer Text Data, available in PDF, https://contentdm.lib.byu.edu/digital/collection/Diaries/id/4238/.",,,Unpublished,Female,United States of America,English,,4 June N.S. 1864,5 June N.S. 1864,,19th century,1860s,40.76173,-99.8066,Lake Utah,,United States of America,Northern America,North America,"The surrounding scenery is one an artist would like to paint. It is a broad smooth meadow land, dotted over with tented camps of emigrant trains, and herds of cattle and horses feeding at liberty in all di- rections North of us, like a far distant cloud, in the horizen, lie the bluffs of the Platte, while south of us a few rods, rolls the turbulent waters of the same. Yesterday we passed a newly made grave on a little elevation of ground near the bank of the Platte, and a pine board at the head bearing the following inscription, * ""S.C. Park, who fell a victem from a shot discharged accidently, from his own rifle"". We have seen several other graves by the way, but when we consider the vast number of emigrants on the road, it is no wonder that some fall by the way.
 * We have since heard this man was not shot accidently, but was killed by some of his party.",,,,BYU Digital Collections,,,,,,,,,,,,,,,,,,,,,,
