Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 2.
  Fol. 355.",London,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,30.0057,31.2299,"Babylon, or Alcayr","Cairo, Egypt",Egypt,Nothern Africa,Africa,"WHen we arryued there, I marueyled more then I am able to say : yet when I approached so neare the citie that I myght wel see into it, it seemed to me much inferior to the reporte and fame that was thereof: for the greatnesse thereof, seemed nothyng agreeable to the bruite, and appeared no more in circuite then the citie of Rome, although much more peopled, and better inhabited. But the large fieldes of the subu-rbes haue deceyued many, beyng dispersed with in maner in-numerable villages, which some haue thought to haue been part of the citie, whiche is nothyng so. For those villages and di-spersed houses, are two or three myles from the citie, and round about it on euery syde.","Cap. 2.
  Fol. 355.",734-736,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Fol. 356.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,33.8938,35.5018,Berynto,Beirut????,Lebanon,Western Asia,Asia,"THe riches, fayrenesse and magnificence of Babylon aforesayde, and the straunge souldiers Mamalnkes, as things know-en we will now pretermit. Therefore departing from Babylon, and returnyng to Alexandria, where we agayne ente-red into our sea, we came to Berynto, a citie on the sea coast of Syria Phoenicia, where we spent many days. This is inhabited of Mahume-tans, and plentifull of all thinges. The sea beateth on the walles of the towne : it is not compassed with walles, but on the West syde towarde the sea. Here found we nothyng memorable, but only an olde place ruinate, where they say Sainct George deliuered the kynges daughter from a cruell Dragon, whiche he slue, and restored her to her father.","Cap. 3.
  Fol. 356.",735,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Fol. 356.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,34.4346,35.8362,Tripoli,"Tripoli, Lebanon",Lebanon,Western Asia,Asia,"Departyng from hence, we sayled to Tripoli. This is a citie of Syria, Eastwarde from Berynto two dayes sayling. The inhabitauntes are subiecte to the Lieutenant or gouernour of Syria, and are Mahumetans. The soile is very fertile, and for the great trafique of merchaun-dies, incredibly aboundeth with all thinges.","Cap. 3.
  Fol. 356.",735,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 5. Fol. 357.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,33.5138,36.2765,Damasco,"Damascus, Syria",Syria,Levant; Western Asia,Asia,"IT is in maner incredible, and passeth all be-leefe to thinke howe fayre the citie of Damas-co is, and how fertile is the soyle. And there-fore allured by the marueilous beautie of the citie, I remayned there many dayes, that learnyng theyr language, I might knowe the maners of the people. ... There is a very strong fortresse or Castell, which a certayne Ethruscan, borne in the citie of Florence, buylded at his owne charges, while he was there ý chiefe Hexarchatus or gouernour, as appeareth by the flower of a Lilie there grauen in marble beyng the armes of the citie of Florence. The citie is compassed with a deep fosse or diche, with foure goodly high towres. They passe the dyche with a hangyng brydge, which is lifted up or lette downe at theyr pleasure.","Cap. 5.
  Fol. 357.",737,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap.15. Fol. 365.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,21.3891,39.8579,Mecha,Mecca,Saudi Arabia,Arabian Peninsula; Western Asia,Asia,"The citie is very fayre and well inhabited, and contayneth in rounde fourme syxe thousande houses, as well buylded as ours, and some that cost three or foure thousande peeces of golde : it hath no walles. About two furlongs from the citie is a mount, where the way is cutte out, whiche leadeth to a playne beneath. It is on euery syde fortified with mountains, in the stead of walles or bulwarks, and hath foure entries. ... The 18 daye of Maye, we entred into the citie by the north syde : then by a declynyng way, we came into a playne. On the south syde are two mountaynes, the one very neere the other, di-stant onely by a little valley, which is the way that leadeth to the gate of Mecha. On the east syde, is an open place betweene two mountaynes, lyke vnto a valley,and is the waye to the moun-tayne where they sacrifice to the Patriarkes Abraham & Isaac. 
  ...
  ...this citie is greatly cursed of God, as appereth by the great barrennesse thereof, for it is destitute of all maner of fruites and corne. It is scorched with drynesse for lacke of water, and therefore the water is there growen to suche pryce, that you can not for twelue pence buye as much water as wyll satisfy your thyrst for one day.","Cap.15.
  Fol. 365.",754-756,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 1. Fol. 371.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,16.8894,42.5706,Gezan,"Jazan, Saudi Arabia",Saudi Arabia,Arabian Peninsula; Western Asia,Asia,"FOrasmuche as hytherto wee haue spoken somewhat of the maners of the people and cities of Arabia Fœlix, it may nowe seeme conuenient to finishe the rest of our vyage with such thinges as we haue seene in the sayde countrey of Arabia. Therefore after sixe saylyng, we came to a city na-med Gezan. It hath a commodious porte, and very fayre, where we found about fourtie and fyue Brigantines and Foistes of dy-uers regions. The citie is harde by the sea syde, and the Prince thereof, is a Mahumetan. The soile is fruitful, lyke vnto Ita-lie : It beareth Pomegranates, Quinses, Peaches, Apples of Assyria, Pepons, Melons, Oranges, Gourdes, and dyuers other fruites : Also Roses, and sundry sortes of floures, the fayrest that ever I sawe : It seemeth an earthly Paradyse.","Cap. 1.
  Fol. 371.",765,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Fol. 371.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,15.349479,42.585547,Camaran,"Kamaran, Yemen",Yemen,Arabian Peninsula; Western Asia,Asia,"THe same day sayling forwarde, we came to an Iland na-med Cameran, which conteyneth ten myles in circuite. In it is a towne of two hundred houses, the inhabitantes are Mahumetans : it hath aboundance of freshe water and fleshe, and the fayrest salte that euer I sawe. The porte is eight myles from the continent, it is subiecte to the Soltan of Amanian of Arabia Fœlix.","Cap. 3.
  Fol. 371.",766,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 7. Fol. 375.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,13.0578,44.8833,Lagi,"Lahij, Yemen",Yemen,Arabian Peninsula; Western Asia,Asia,"THe daye folowyng, mountyng vppon a Camell, and makyng a iorney of .xxv. myles, I came to a certayne city named Lagi, situate in a great playne, well peopled, hauyng abundaunce of Olieues, and fleshe, with also great plentie of corne, after our maner: but no vines, and great scarse-nesse of woodde. The inhabitauntes are vnciuile and rusticall people, of the nation of vagabunde and feelde Arabians, and therfore but poore.","Cap. 7.
  Fol. 375.",773,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 7. Fol. 375.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,13.606381,44.929706,Aiaz,"somewhere near Al Hummaydah, Yemen",Yemen,Arabian Peninsula; Western Asia,Asia,"Departing frō hence one dais iorney, I came to an other citie named Aiaz, situate vppon two hylles, with a great plaine betweene them, and hath in it a notable fountayne, and therefore diuers nations resort thither as to a famous mart. ... On the toppe of both the hylles, are very strong fortresses...","Cap. 7.
  Fol. 375.",774,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
Lewes Vertomannus,"The History of trauayle in the VVest and East Indies : and other countreys lying eyther way towardes the fruitfull and ryche Moluccaes. As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: VVith a discourse of the Northwest passage. In the hande of our Lorde be all the corners of the earth. Psal. 94.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the West and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: With a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 7. Fol. 375.",,By Richarde Iugge,1577,Male,Italy,,,1503,1507,,16th century,1510s,,,Dante,????,,Arabian Peninsula; Western Asia,Asia,"... two dayes iorney from thence is the citie of Dante, well fortified both by arte and nature, situate in the toppe of a very great mountaine.","Cap. 7.
  Fol. 375.",774,,Hathi Trust,,,,,,,,,,,,,,,,,,,,,,
