Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,PresumedGender,BirthCountry,Language(Original),LanguageofTranslation,Date-Travel_Begin,Date-Travel_End,Calendar-Conversion-Dates,Century,DecadeMaterialCovers,Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Region,Continent,TranscriptionofDescription,Pages,Graphic,Page_Graphic,Repository,URI,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-07-31,1821-08-11,,19th century,1820s,50.2028082,-5.1611688,Falmouth,Falmouth,United Kingdom,Western Europe,Europe,"After touching at Plymouth, and revisiting all the wonders of the break-water and new watering place, we sailed afresh, but when off Ushant, were driven back to Falmouth by a heavy gale of wind. There we remained till the 11th of August, when, with colours half-mast high, on account of the death of Queen Caroline, we finally left the channel, and on the 18th about noon came in sight of Porto Santo.
 
 We passed it on the side where the town founded by Don Henry of Portugal, on the first discovery of the island, is situated, and regretted much that it was too late in the day to go in very near it. The land is high and rocky, but near the town there is a good deal of verdure, and higher up on the land, extensive woods; a considerable quantity of wine is made there, which, being a little manufactured at Funchal, passes for true Madeira. As usual in Portuguese colonial towns, the church and convent are very conspicuous.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1807","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-18,1821-08-23,,19th century,1820s,32.6513012,-16.910688,Funchal roads,Funchal,Portugal,Southern Europe; Mediterranean; Atlantic,Atlantic,"When we passed Porto Santo, and the Desertas, and anchored in Funchal roads, I was disappointed at the calmness of my own feelings, looking at these distant islands with as little emotion as if I had passed a headland in the channel. Well do I remember, when I first saw Funchal twelve years ago, the joyous eagerness with which I feasted my eyes upon the first foreign country I had ever approached, the curiosity to see every stone and tree of the new land, which kept my spirits in a kind of happy fever.
  ""Sweet Memory, wafted by thy gentle gale,
  Oft up the stream of time I turn my sail,
  To view the fairy haunts of long lost hours,
  Blest with far greener shades, far fresher flow'rs."" Rogers.
 Now I look on them tamely, or at best only as parts of the lovely landscape, which, just at sunset, the time we anchored, was particularly beautiful. Surely the few years added to my age have not done this? May I not rather hope, that having seen lands whose monuments are all history, and whose associations are all poetry, I have a higher taste, and more discriminating eye? One object never palls—that ocean where the Almighty ""Glasses himself in tempests,"" or over which the gentle wings of peace seem to brood. The feeling that there was a change, however, either in the scene or in me, was so strong, that I ran to my cabin and sought out a sketch I had made in 1809. I compared it with the town. Every point of the hill, every house was the same, and again Nossa Senhora da Monte, with her brilliant white towers shining from on high through the evening cloud, seemed to sanctify the scene, while a few rough voices from the shore and the neighbouring ships chaunted the Ave Maria.
 
 Early in the morning of the 19th, we took a large party of the midshipmen on shore to enjoy the young pleasure of walking on a foreign land. To them it was new to see the palm, the cypress, and the yucca, together with the maize, banana, and sugar-cane, surrounded by vineyards, while the pine and chesnut clothe the hills. We mounted the boys on mules, and rode up to the little parish church, generally mistaken for a convent, called Nossa Senhora da Monte. My maid and I went in a bad sort of palankeen, though convenient for these roads, which are the worst I have seen; however, the view made up for the difficulty of getting to it. The sea with the Desertas bounded the prospect: below us lay the roadstead and shipping, the town and gardens, and the hill clothed with vineyards and trees of every climate, which deck the ashy tufa, or compact basalt of which the whole island seems to be composed. Purchas, who like Bowles, believes the story of the discovery of Madeira by the Englishman Masham and his dying mistress, says, that shortly after that event, the woods having taken fire burned so fiercely, that the inhabitants were forced out to sea to escape from the flames. The woods, however, are again pretty thick, and some inferior mahogany among it is used for furniture. The pine is too soft for most purposes. In the gardens we found a large blue hydrangea very common: the fuschia is the usual hedge. Mixed with that splendid shrub, aloes, prickly pear, euphorbia, and cactus, serve for the coarser fences; and these strange vegetables, together with innumerable lizards and insects, tell us we are nearing the tropics.
 
 We spent a very happy day at the hospitable country house of Mr. Wardrope, and our cavalcade to the town at night was delightful. The boys, mounted as before, together with several gentlemen who had joined us at Mr. W.'s, enjoyed the novelty of riding home by torch-light; and as we wound down the hill, the voices of the muleteers answering each other, or encouraging their beasts with a kind of rude song, completed the scene. The evening was fine, and the star-light lovely: we embarked in two shore boats at the custom-house gate, and, after being duly hailed by the guard-boat, a strange machine mounting one old rusty 6 lb. carronade, we reached the ship in very good time.
 
 [Decripton of some religous buildings - have individual entries.]
 
 Of late years superstition has been used as an instrument of no small power in revolutions of every kind. Even here it has played its part. A small chapel, dedicated to St. Sebastian, had been removed by the Portuguese government in order to erect a market-place, where all articles of daily consumption were to be sold, a small tax being levied on the holders of stands. This innovation was of course disagreeable to the people, and on the night of the revolution, in November last, some of their leading orators accused the market-place of having, by rudely thrusting out St. Sebastian, occasioned the failure of the vineyards, and threatened the ruin of the island. The market-place was instantly devoted; it was down in a few seconds, and a chapel to St. Sebastian begun. Men, women, and children worked all night, and the walls were raised to at least two-thirds of the intended height; but day brought weariness, and perhaps the morning breeze chilled the fever of enthusiasm. The voluntary labourers worked no more, and no subscription adequate to the hire of workmen to complete it has yet been raised: so that the new St. Sebastian's stands roofless, and the officiating priest performs his masses with no other canopy than the heavens.
 
 [Text continues about revolution.]",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1808","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-20,1821-08-20,,19th century,1820s,32.648333,-16.908333,cathedral (Funchal),Cathedral of Funchal,Portugal,Southern Europe; Mediterranean; Atlantic,Atlantic,"20th. We walked a good deal about the town, and entered the cathedral with some feelings of reverence, for a part of it at least was built by Don Henry of Portugal, who founded and endowed the college adjoining. The interior of the church is in some parts gaudy, and there is a silver rail of some value. The ceiling is of cedar, richly carved, and reminds me of some of the old churches at Venice, which present a style half Gothic half Saracenic. Near the church a public garden has lately been formed, and some curious exotic trees placed there with great success.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1809","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-20,1821-08-20,,19th century,1820s,32.6482379,-16.900089,chapel of skulls,Capela dos Ossos,Portugal,Southern Europe; Mediterranean; Atlantic,Atlantic,"In rambling about the town, we naturally enquired for the chapel of skulls, the ugliness of which had shocked us when here formerly, and were not sorry to find that that hideous monument of bad taste is falling fast to ruin. I cannot imagine how such fantastic horrors can ever have been sanctified, but so it is; and the Indian fakir who fastens a real skull round his neck, the Roman pilgrim who hangs a model of one to his rosary, and the friar who decks his oratory with a thousand of them, are one and all acted upon either by the same real superstition, or spiritual vanity, craving to distinguish itself even by disgusting peculiarities.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1810","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-23,1821-08-25,,19th century,1820s,30.4662212,-16.26632,sailed yesterday from Funchal,Random spot between Funchal and Tenerife,,Atlantic; West Africa,Atlantic,"23d.—We sailed yesterday from Funchal, and soon lost sight of the
  ""Filha do oceano
  Do undoso campo flor, gentil Madeira."" Diniz.
 At night, I sat a long time on the deck, listening to the sea songs with which the crew beguile the evening watch. Though the humorous songs were applauded sufficiently, yet the plaintive and pathetic seemed the favourites; and the chorus to the Death of Wolfe was swelled by many voices. Oh, who shall say that fame is not a real good! It is twice blessed—it blesses him who earns, and those who give, to parody the words of Shakspeare. Here, on the wide ocean, far from the land of Wolfe's birth, and that of his gallant death, his story was raising and swelling the hearts of rough men, and exciting love of country and of glory by the very sound of his name. Well may he be called a benefactor to his country who, by increasing the list of patriotic sailors' songs, has fostered those feelings and energies which have placed Britain's ""home upon the mountain wave, and her march upon the deep.""
 
 The charms of night in a southern climate have been dwelt upon by travelled poets (for I call Madame de Stael's writings poetry), and even travelled prose writers; but Lord Byron alone has sketched with knowledge and with love, the moonlight scenery of a frigate in full sail. The life of a seaman is the essence of poetry; change, new combinations, danger, situations from almost deathlike calm, to the maddest combinations of horror—every romantic feeling called forth, and every power of heart and intellect exercised. Man, weak as he is, baffling the elements, and again seeing that miracle of his invention, the tall ship he sails in, tossed to and fro, like the lightest feather from the seabird's wing—while he can do nothing but resign himself to the will of Him who alone can stay the proud waves, and on whom heart, intellect, and feeling, all depend!",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1811","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-25,,,19th century,1820s,28.3894352,-16.525327,roadstead of Oratava,La Orotava,Spain,Atlantic; West Africa,Atlantic,"25th.—Nothing can be finer than the approach to Teneriffe, especially on such a day as this; the peak now appearing through the floating clouds, and now entirely veiled by them. As we drew near the coast, the bay or rather roadstead of Oratava, surrounded by a singular mixture of rocks, and woods, and scattered towns, started forth at once from beneath the mists, which seemed to separate it from the peak, whose cold blue colour formed a strong contrast to the glowing red and yellow which autumn had already spread on the lower grounds.
 
 We anchored in forty fathoms water with our chain-cable, as the bottom is very rocky, excepting where a pretty wide river, which, though now dry, rolls a considerable body of water to the sea in the rainy season, has deposited a bed of black mud. There are many rocks in the bay, with from one to three fathoms water, and within them from nine to ten. The swell constantly setting in is very great, and renders the anchorage uncomfortable.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1812","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-26,,,19th century,1820s,28.2737988,-16.642009,Teneriffe,Tenerife,Spain,Atlantic; West Africa,Atlantic,"26th.—- I went ashore with Mr. Dance, the second lieutenant, and two of the young midshipmen, for the purpose of riding to the Villa di Oratava, which is situated where the ancient Guanche capital stood. We landed at the Puerto di Oratava, several miles from the villa: it is defended by some small batteries, at one of which is the very difficult landing-place, sheltered by a low reef of rocks that runs far out, and occasions a heavy surf. I took my own saddle ashore: and being mounted on a fine mule, we all began our journey towards the hill. The road is rough, but has evidently once been made with some pains, and paved with blocks of porous lava; but the winter rains have long ago destroyed it, and it does not seem to be any body's business to put it in repair.
 
 The first quarter of a mile on either hand presented a scene so black and stony, that I was surprised to learn that we had been passing through corn land; the harvest was over, and the stubble burned on the ground. The produce here is scanty; but being so near the port, it repays the labour and expense of cultivation. We saw the botanical garden so much praised by Humboldt; but it is in sad disorder, having been for some time entirely neglected. However, the very establishment of such a thing brings in new plants, and perhaps naturalises them. Here, the sago-palm, platanus, and tamarind, as well as the flowers and vegetables of the north of Europe, flourish so well as to promise to add permanently to the riches of this rich island. As we ascended towards the villa the prospect improved; the vineyards appeared in greatest beauty, every other crop still standing in the luxuriant valleys, the rocky cliffs of the mountains clothed with wood, and every thing glowing with life. Wheat, barley, a few oats, maize, potatoes, and caravansas, all grow freely here. The food of the common people consists chiefly of Polenta, or maize flour, used nearly as the Scotch peasants use their oatmeal, in cakes, brose, or porridge, which last is suffered to grow cold, and then most commonly cut in slices and toasted. After the maize, potatoes are the favourite food, together with salt fish. The potatoe is always in season, being planted every month, and consequently producing a monthly crop. The fishery employs from forty-five to fifty vessels of from seventy to ninety tons' burden, from the island of Teneriffe alone; the fish are taken on the coast of Africa, and salted here.
 
 To a stranger the sight of the long walls of black porous lava, built terrace-wise to support the vegetable mould, is very striking; but the walls cannot be called ugly, while the clustering vine and broad-spreading gourd, climb and find support on them: these, however, soon disappeared, and were replaced by field and garden enclosures. After a pleasant but hot ride, we arrived at the villa about noon, and went to the house of Señor Don Antonio de Monteverde, who accompanied us to M. Franqui's garden, to see one of the wonders of the island, the famous Dragon Tree. Humboldt has celebrated this tree in its vigour; it is now a noble ruin. In July, 1819, one half of its enormous crown fell: the wound is plaistered up, the date of the misfortune marked on it, and as much care is taken of the venerable vegetable as will ensure it for at least another century. I sat down to make a sketch of it; and while I was drawing, learned from Mr. Galway the following history of the family of its owner, which a little skill in language and a little adorning with sentiment might convert into a modern novel.—About the year 1760, the Marquis Franqui, upon some disgust, made over his estates in trust to his brother, and emigrated to France, where he remained until 1810, regularly receiving the proceeds from his estates in Teneriffe. Meantime, during the early period of the revolution, he married; and his only child, a daughter, was born. This marriage, however, was only a civil contract, such being then the law of France, and with a woman divorced from another, who was still living. But neither the validity of the union nor the legitimacy of the child was ever questioned; and the Marquis Franqui returning to his native country, brought with him his daughter, introducing and treating her as his heiress. She appeared to be received as such by his family; and at his death he appointed trustworthy guardians to her and her estates, one of whom is her husband's father. No sooner, however, was the Marquis dead, than his brother claimed his property, alleging that the church had never sanctioned the Marquis's marriage, and that the daughter consequently, as an illegitimate child, could have no claim on his estates. He therefore commenced a lawsuit against her and her guardians, and the suit is still pending. Meantime the court receives the rents; the garden, the chief ornament of the town, is running wild, and the house is deserted.
 
 The dragon tree is the slowest of growth among vegetables; it seems also to be slowest in decay. In the 15th century, that of Oratava had attained the height and size which it boasted till 1819. It may have been in its prime for centuries before; and scarcely less than a thousand years must have elapsed, before it attained its full size. Excepting the dragon trees at Madeira, the only many-headed palm I had seen before was that at Mazagong in Bombay. It is crowned, however, with a leaf like that of the palmetto; but the tufts of the dragon tree resemble the yucca in growth. The palm tree at Mazagong, like the adansonia in Salsette, is reported to have been carried thither by a pilgrim from Africa, probably from Upper Egypt, where late travellers mention this palm.
 
 [Text continues to describe ""recent law passed by the Spanish Cortes for the suppression of religious houses"" and printing presses.]
 
 We returned to the port by a longer road than that by which we left it. In the hedges, the boys, with no small delight, gathered fine ripe black-berries, which were growing among prickly pear and other tropical plants. ... [Description of local celebration.]
 
 Halfway down the hill, we entered a ravine, the dry bed of a winter torrent, where there were rue, lavender, prickly pear, hypericum, and spurge; but not a blade of grass had survived the summer's drought. We passed a heap of black ashes, which anywhere but at the base of the peak would be called a respectable mountain. It has not been cold long enough to be disguised by vegetation; and though on one side the vine is beginning to clothe its rugged surface, yet the greater part is frightfully barren. [Text goes on in a similar fashion.]",,Dragon Tree and Peak of Teneriffe.,https://www.gutenberg.org/cache/epub/21201/images/003tb.png,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1814","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-28,,,19th century,1820s,28.2616023,-16.119131,Canary Islands,Canary Islands,Spain,Atlantic; West Africa,Atlantic,"28th. This morning left the ""still vext"" bay of Oratava, and before sunset saw Palma and Gomera. The Canary Islands, supposed to be the Fortunate Islands of the ancients, were discovered accidentally in 1405. Betancour, a Frenchman, took possession of them for Spain; but the natives were brave, and it cost both the Spaniards and Portuguese, who possessed them by turns, much blood and treasure to conquer the country and exterminate the people, for their wars ended in nothing less. Purchas complains that he could not obtain the reading of some travels by an Englishman who had visited the Peak; the good pilgrim's curiosity had been strongly excited by the particulars he had learnt from books, and the journals of some of his friends who had travelled, which he has carefully related: they are such as to make me regret that he has not recorded more, and that I cannot see more. We brought with us from Oratava one of the finest goats I ever saw; I presume she was a descendant of the original flock which the supreme deity of the Guanches created to be the property of the kings alone: she is brown, with very long twisted horns, a very remarkable white beard, and the largest udder I ever saw.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1815","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-08-29,,,19th century,1820s,27.7321144,-17.999984,island of Hierro or Ferro,El Hierro,Spain,Atlantic; West Africa,Atlantic,"29th. Passed the island of Hierro or Ferro, the old first meridian; which honour, I presume, it enjoyed from having been considered as the most western land in the world until the discovery of America. We were very close to it, and all agreed that we never saw so hard-looking and inaccessible a place. We saw some fine woods, a few scattered houses, and one village perched upon a hill, at least 1500 feet above us. The Peak of Teneriffe still visible above the clouds.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
Maria Graham,"Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1816","Maria Graham, Journal Of A Voyage To Brazil, And Residence There, During Part Of The Years 1821, 1822, 1805 (London: Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street, 1824).",London,"Longman, Hurst, Rees, Orme, Brown, And Green, Paternoster-Row; And J. Murray, Albemarle-Street",1824,Female,England,English,,1821-09-01,,,19th century,1820s,22.2726631,-23.516716,400 miles from Cape Blanco,400 miles from Cape Blanco,,Atlantic,Atlantic,"Sept. 1st. The flying-fish are become very numerous, and whole fleets of medusæ have passed us; some we have picked up, besides a very beautiful purple sea-snail. This fish has four horns, like a snail, the shell is very beautifully tinted with purple, and there is a spongy substance attached to the fish which I thought assisted it to swim: it is larger in bulk than the whole fish. One of them gave out fully a quarter of an ounce of purple fluid from the lower part of the fish. A fine yellow locust and a swallow flew on board; and as we believe ourselves to be four hundred miles from the nearest land, Cape Blanco, we cannot enough admire the structure of the wings that have borne them so far.
 
 Our school for the ship's boys is now fairly established, and does Mr. Hyslop, our school-master, great credit; that for the midshipmen is going on very well, being kept in the fore-cabin under the captain's eye. The boys have his presence, not only as a check to idleness or noise, but as an encouragement to industry. He is most anxious to make them fit to be officers and seamen in their profession, and good men and gentlemen both at sea and on shore. Happily they are all promising; but if G—— should disappoint us, I never will believe in youthful talent, industry, or goodness more. Our days pass swiftly, because busily. The regular business of the ship, the school, astronomical observations, study of history and modern languages, and nothing permitted to pass without observation, fill our time completely.
 
 Lord Bacon says, ""It is a strange thing that in sea voyages, where there is nothing to be seen but sky and sea, men should make diaries; but in land travel, wherein so much is to be observed, for the most part they omit it, as if chance were fitter to be registered than observation."" However, for once, his lordship has only seen, or perhaps only spoken, in part. Sea and sky must be observed before we can know the laws by which their great changes or chances are regulated. Observations on the works of man, as cities, courts, &c. may be omitted, for we know their authors, and can have recourse to them, their motives, and their history, whenever we please; but the great operations of nature are so above us, that we must humbly mark them, and endeavour to make their history a part of our experience, in order that we pass safely through their vicissitudes. Hence it is, that the commonest details of the early navigators, their sunrise and sunset, their daily portionings of food and water, are read with a deeper interest than the liveliest tour through civilised countries and populous cities; that Byron's passage through Chiloe continues to excite the most profound sympathy; while Moore's lively view of society and manners in France or Italy, are now seldom or languidly read. The uncertainty, the mystery of nature, keep up a perpetual curiosity; but I suspect that if we knew the progress and dependance of her operations, as well as we do those of an architect or brick-layer, the history of the building of a theatre or a dwelling-house might vie in interest with that of a sea voyage.
 
 The books we intend our boys to read are,—history, particularly that of Greece, Rome, England, and France; an outline of general history, voyages, and discoveries; some poetry, and general literature, in French and English; Delolme, with the concluding chapter of Blackstone on the history of the law and the constitution of England; and afterwards the first volume of Blackstone, Bacon's Essays, and Paley. We have only three years to work in; and as the business of their life is to learn their profession, including mathematics, algebra, nautical astronomy, theory and practice of seamanship, and duty as officers, with all the technicalities belonging to it,—this is all we dare propose.",,,,Project Gutenberg,https://www.gutenberg.org/ebooks/21201,,,,,,,,,,,,,,,,,,,,,
